book|书
bishop|主教
blade|刀片
blank|空白的
bleak|荒凉的
bloom|开花
blouse|女衬衫
blueprint|蓝图
blunt|钝的
blush|脸红
bold|大胆的
bolt|螺栓
bond|纽带
bonus|奖金
bookcase|书柜
booth|货摊
border|边界
bosom|胸部
botanical|植物学的
boundary|边界
bowel|肠道
bowl|碗
bowling|保龄球
brace|支架
breadth|宽度
breast|胸部
breeze|微风
brick|砖
bride|新娘
brilliant|杰出的
brim|边缘
brisk|轻快的
brittle|易碎的
broken|破碎的
bronze|青铜
brood|一窝
brook|小溪
brow|眉毛
brush|刷子
bubble|气泡
bucket|桶
budget|预算
bulb|灯泡
bulk|大部分
bullet|子弹
bunch|一束
bundle|捆
burden|负担
bureau|局
bush|灌木
business|生意
buzz|嗡嗡声
bandlingo|于2025年12月22号完成开发的手表词典快应用
beryllium|元素周期表的第4个，铍，缩写Be
boron|元素周期表的第5个，硼，缩写B
bromine|元素周期表的第35个，溴，缩写Br
barium|元素周期表的第56个，鋇，缩写Ba
bismuth|元素周期表的第83个，鉍，缩写Bi
berkelium|元素周期表的第97个，錇，缩写Bk
bohrium|元素周期表的第107个，𨨏，缩写Bh
beautify|美化
beautifully|美丽地
believable|可信的
believably|可信地
breakage|破损
brokenly|破碎地
businesslike|务实的
busying|使忙碌
biodiversities|生物多样性
biodiverse|生物多样的
biodiversely|生物多样地
bacterium|细菌
bacterial|细菌的
bacterially|细菌地
biome|生物群系
biomes|生物群系
biomic|生物群系的
biomically|生物群系地
bioluminescent|生物发光的
bioluminescence|生物发光
bioluminescently|生物发光地
biodegradable|可生物降解的
biodegradability|可生物降解性
biodegradably|可生物降解地
bioremediation|生物修复
bioremediations|生物修复
bioremediational|生物修复的
bioremediationally|生物修复地
britain|英国
britains|英国
british|英国的
britishly|英国地
brazil|巴西
brazils|巴西
brazilian|巴西的
brazilianly|巴西地
bangladesh|孟加拉国
bangladeshes|孟加拉国
bangladeshi|孟加拉国的
bangladeshily|孟加拉国地
bhutan|不丹
bhutans|不丹
bhutanese|不丹的
bhutesely|不丹地
belgium|比利时
belgiums|比利时
belgian|比利时的
belgianly|比利时地
bora|波拉
boras|波拉
boran|波拉的
boranly|波拉地
beijing|北京
beijings|北京
beijingly|北京地
bangkok|曼谷
bangkoks|曼谷
bangkokly|曼谷地
baghdad|巴格达
baghdads|巴格达
baghdadly|巴格达地
beirut|贝鲁特
beiruts|贝鲁特
beirutly|贝鲁特地
berlin|柏林
berlins|柏林
berlinly|柏林地
brussels|布鲁塞尔
brusselsly|布鲁塞尔地
bern|伯尔尼
berns|伯尔尼
bernese|伯尔尼的
bernesely|伯尔尼地
boston|波士顿
bostons|波士顿
bostonly|波士顿地
bankruptcy|破产
breach|违约
behavior|行为
biography|传记
ball|球
bat|球棒
basket|篮筐
basketball|篮球
baseball|棒球
boxing|拳击
billiards|台球
board|棋盘
being|存在
benevolence|仁慈
body|身体
beginner|初学者
bluetooth|蓝牙
backup|备份
browser|浏览器
bye|拜拜
background|背景
bruise|瘀伤
bleeding|出血
bland|淡而无味的
baked|烘烤的
boiled|煮的
braised|焖的
boulevard|林荫大道
briefcase|公文包
babble|喋喋不休
bachelor|单身汉
backbone|脊梁
backdrop|背景
backfire|适得其反
backlash|强烈反对
backlog|积压
backpack|背包
backslash|反斜杠
backspace|退格
backtrack|原路返回
baffle|使困惑
bail|保释
bait|诱饵
bake|烘烤
bale|大包
balk|畏缩不前
ballad|民谣
ballpoint|圆珠笔
ballyhoo|大肆宣传
balm|香膏
balmy|温和的
banality|平庸
bandit|强盗
bane|祸根
banish|放逐
banister|栏杆
banshee|女妖
bantam|小型
banter|打趣
barge|驳船
barley|大麦
barmaid|酒吧女招待
baroque|巴洛克
barrack|兵营
barrage|弹幕
barren|贫瘠的
barricade|路障
barter|物物交换
bashful|害羞的
basil|罗勒
basin|盆地
bask|晒太阳
bass|低音
bastard|私生子
bastion|堡垒
baton|警棍
battalion|营
batter|面糊
battlefield|战场
bauble|小装饰品
bawdy|淫秽的
bayonet|刺刀
bazaar|集市
beacon|信标
bead|珠子
beagle|比格犬
beak|鸟嘴
beaker|烧杯
beanstalk|豆茎
bearable|可忍受的
bearer|持有人
bearing|轴承
beastly|野蛮的
beater|打手
beckon|招手
becoming|合适的
bedridden|卧床不起的
bedrock|基岩
bedside|床边
beet|甜菜
beetle|甲虫
befall|降临
befit|适合
befuddle|使糊涂
begrudge|嫉妒
beguile|欺骗
behead|斩首
behold|注视
beige|米色
belfry|钟楼
belie|掩饰
belittle|贬低
belligerent|好战的
bellow|咆哮
belongings|财物
bemoan|哀叹
bemuse|使困惑
bench|长凳
beneath|在下面
benediction|祝福
benefactor|恩人
beneficiary|受益人
benign|良性的
bent|弯曲的
benumbed|麻木的
bequeath|遗赠
bequest|遗产
berate|严厉斥责
bereave|剥夺
bereavement|丧亲
bereft|丧失的
beret|贝雷帽
berth|铺位
beseech|恳求
beseem|适合
beset|困扰
beside|在旁边
besiege|围攻
besmirch|玷污
bestial|野蛮的
bestow|赠予
bestowal|赠予
betoken|预示
betrayal|背叛
betroth|订婚
betrothal|订婚
betrothed|未婚夫
beware|当心
bewilder|使迷惑
bewitch|使着迷
biannual|一年两次的
bib|围兜
bible|圣经
bibliography|参考书目
bicentenary|二百周年
bicker|争吵
bidder|投标人
biennial|两年一次的
bier|棺材架
bifocal|双焦点的
bifurcate|分叉
bigamy|重婚
bigot|偏执者
bigotry|偏执
bigwig|大人物
bijou|珠宝
bike|自行车
bikini|比基尼
bilateral|双边的
bile|胆汁
bilingual|双语的
bilious|胆汁质的
billboard|广告牌
billow|翻滚
bin|垃圾箱
binary|二进制的
binder|活页夹
binding|有约束力的
binge|狂欢
bingo|宾果
binocular|双筒望远镜
biochemistry|生物化学
biological|生物的
biologist|生物学家
biomedical|生物医学的
biopsy|活检
biosphere|生物圈
biotechnology|生物技术
biped|两足动物
birch|桦树
birdcage|鸟笼
birdseed|鸟食
birthplace|出生地
birthright|与生俱来的权利
bisect|平分
bistro|小酒馆
bit|位
bitch|母狗
bittern|麻鸦
bittersweet|苦乐参半
bittorrent|比特流
bivariate|双变量的
blabber|喋喋不休
blackboard|黑板
blacken|使变黑
blackjack|21点
blackmail|勒索
blackout|停电
blacksmith|铁匠
bladder|膀胱
blameless|无辜的
blanch|漂白
blandishment|奉承
blandness|温和
blare|刺耳声
blaspheme|亵渎
blasphemy|亵渎
blatant|公然的
blather|胡说
blaze|火焰
blazer|运动夹克
blazing|燃烧的
bleach|漂白剂
bleat|咩咩叫
blemish|瑕疵
blench|退缩
blender|搅拌机
blessed|受祝福的
blessing|祝福
blight|枯萎病
blighted|枯萎的
blindfold|蒙住眼睛
blinker|信号灯
blip|光点
bliss|极乐
blister|水泡
blithe|无忧无虑的
blitz|闪电战
blizzard|暴风雪
bloat|肿胀
bloated|肿胀的
bloater|腌熏鱼
blob|一团
bloc|集团
blockade|封锁
blockage|堵塞
blockbuster|大片
blockhead|笨蛋
bloke|家伙
blond|金发的
bloodbath|大屠杀
bloodhound|猎犬
bloodshed|流血
bloodstream|血流
bloodthirsty|嗜血的
bloody|血腥的
blooming|开花的
blooper|失误
blot|污渍
blotch|斑点
blubber|哭泣
bludgeon|大棒
bluff|虚张声势
blunder|大错
blunderbuss|老式火枪
blurb|简介
blurt|脱口而出
bluster|咆哮
boar|野猪
boarder|寄宿生
boarding|寄宿
boardroom|会议室
boaster|吹牛者
boatman|船夫
boatswain|水手长
bob|短发
bobbin|线轴
bobble|晃动
bode|预示
bodice|紧身胸衣
bodily|身体的
boding|预兆
bodyguard|保镖
bog|沼泽
boggle|使困惑
boggy|沼泽的
bogus|假的
bohemian|波西米亚的
boiler|锅炉
boisterous|喧闹的
boldface|黑体
bolster|支撑
bombard|轰炸
bombardier|投弹手
bombardment|轰炸
bomber|轰炸机
bombproof|防弹的
bombshell|炸弹
bonanza|财源
bondage|奴役
bondholder|债券持有人
bonfire|篝火
bonnet|软帽
bonsai|盆景
bony|骨感的
boo|嘘声
booby|傻瓜
boobytrap|诡雷
boodle|伪钞
boohoo|哭声
bookbinder|装订工
bookmark|书签
bookshelf|书架
bookstore|书店
bookworm|书呆子
boombox|音响
boomerang|回旋镖
boon|恩惠
boondocks|荒野
boor|粗鲁的人
boost|推动
booster|支持者
bootleg|非法制造
bootlicker|马屁精
booze|烈酒
bopper|音乐迷
borage|琉璃苣
borax|硼砂
boredom|厌倦
borer|钻工
borough|行政区
borrower|借款人
boson|玻色子
bossy|专横的
botanist|植物学家
botch|拙劣的工作
botfly|肤蝇
botheration|烦恼
bottomless|无底的
bottoms|裤子
botulism|肉毒中毒
boudoir|闺房
bough|大树枝
boulder|巨石
bouncer|保镖
bouncing|跳跃的
bounteous|慷慨的
bounty|赏金
bouquet|花束
bourbon|波本威士忌
bourgeois|资产阶级的
bourgeoisie|资产阶级
bourn|小溪
bourse|证券交易所
bout|回合
boutique|精品店
bovine|牛的
bovver|骚乱
bowdlerize|删改
bower|凉亭
bowler|保龄球手
bowline|称人结
bowman|弓箭手
bowne|准备
bowwow|汪汪叫
boxer|拳击手
boxful|满箱
boxoffice|票房
boxspring|弹簧床垫
boyar|贵族
boyhood|少年时代
boyish|孩子气的
boyfriend|男朋友
bracelet|手镯
bracer|护腕
bracing|令人振奋的
bracken|蕨
bracket|括号
brackish|咸的
brag|吹嘘
braggart|吹牛者
braggadocio|吹牛
braid|编织
braille|盲文
brainchild|脑力创作
brainstorm|头脑风暴
brainwash|洗脑
braise|炖
bramble|荆棘
bran|糠
brandish|挥舞
brandnew|全新的
brandy|白兰地
brash|傲慢的
brassiere|胸罩
brassy|厚脸皮的
brat|顽童
bravado|虚张声势
bravo|好极了
brawl|争吵
brawn|肌肉
brawny|强壮的
bray|驴叫
brazen|厚颜无耻的
brazier|火盆
breadbasket|粮仓
breadboard|面包板
breadcrumb|面包屑
breakable|易碎的
breakdown|崩溃
breaker|碎浪
breakneck|极快的
breakout|爆发
breakthrough|突破
breakup|分手
breakwater|防波堤
breastplate|胸甲
breaststroke|蛙泳
breathless|屏息的
breech|臀部
breeder|饲养员
breeding|饲养
breezy|有微风的
brethren|兄弟们
breve|短音符
brevity|简洁
brewer|酿酒师
brewery|啤酒厂
briar|荆棘
bribery|贿赂
bricklayer|砌砖工
brickwork|砖石工程
bridal|新娘的
bridegroom|新郎
bridewell|监狱
bridle|马笼头
brie|布里奶酪
briefing|简报
briefly|简短地
brig|双桅船
brigade|旅
brigadier|准将
brigand|强盗
brightness|亮度
brimful|充满的
brimstone|硫磺
brine|盐水
brink|边缘
briny|咸的
brisket|胸肉
bristle|鬃毛
broach|提出
broadcaster|广播员
broadcasting|广播
broadloom|宽幅地毯
broadminded|心胸宽广的
broadsheet|大幅报纸
broadside|侧舷
brocade|织锦
broccoli|西兰花
brochure|小册子
broil|烤
broiler|烤肉店
brooch|胸针
broody|沉思的
broomstick|扫帚柄
broth|肉汤
brothel|妓院
brotherhood|兄弟情谊
brotherinlaw|姐夫
brougham|四轮马车
brouhaha|骚动
browbeat|欺凌
brownie|布朗尼
brownish|带褐色的
browse|浏览
bruin|熊
bruiser|强壮的人
brunette|深褐色头发的
brunt|冲击
brushfire|灌木火灾
brushwood|灌木丛
brushwork|笔触
brusque|唐突的
brutal|残忍的
brutality|残忍
brutalize|虐待
brute|野兽
brutish|野蛮的
bubbling|冒泡的
buccaneer|海盗
buck|雄鹿
buckboard|四轮马车
bucker|反抗者
bucketful|满桶
buckle|扣环
buckler|小圆盾
buckram|硬麻布
buckshot|大号铅弹
buckskin|鹿皮
bucktooth|龅牙
buckwheat|荞麦
bucolic|田园的
buddhism|佛教
buddhist|佛教徒
budding|萌芽的
buddy|伙伴
budge|稍微移动
buffalo|水牛
buffer|缓冲
buffet|自助餐
buffoon|丑角
buffoonery|滑稽
bugaboo|吓人的东西
bugbear|怪物
buggy|童车
bugle|军号
bugler|号手
buildup|积累
bulbous|球茎状的
bulge|凸起
bulimia|暴食症
bulkhead|舱壁
bulky|庞大的
bullfight|斗牛
bullfighter|斗牛士
bullfrog|牛蛙
bullhorn|扩音器
bullion|金条
bullpen|牛栏
bullring|斗牛场
bullock|阉牛
bulrush|芦苇
bulwark|堡垒
bum|流浪汉
bumble|跌跌撞撞
bumblebee|大黄蜂
bumboat|供应船
bummer|令人失望的事
bump|碰撞
bumper|保险杠
bumpkin|乡巴佬
bun|小圆面包
buncombe|废话
bung|塞子
bungalow|平房
bungle|搞砸
bunion|拇囊炎
bunk|床铺
bunkhouse|简易宿舍
bunkum|废话
bunny|小兔子
bunt|顶撞
buoy|浮标
buoyancy|浮力
buoyant|有浮力的
burdensome|繁重的
burdock|牛蒡
bureaucracy|官僚主义
bureaucrat|官僚
burg|城镇
burger|汉堡
burglar|窃贼
burglary|入室盗窃
burgle|盗窃
burial|埋葬
burlap|粗麻布
burlesque|滑稽戏
burly|魁梧的
burner|燃烧器
burnish|擦亮
burnoose|斗篷
burnout|倦怠
burr|刺果
burro|小驴
burrow|洞穴
bursar|财务主管
bursary|财务处
burton|滑车
burweed|刺果草
burying|埋葬
busboy|餐馆工
bushel|蒲式耳
bushfire|灌木火灾
bushwhack|伏击
businessman|商人
busk|街头表演
busker|街头艺人
busman|公交司机
bust|半身像
bustard|大鸨
bustier|紧身胸衣
bustle|忙碌
busybody|爱管闲事的人
butane|丁烷
butchery|屠宰场
butler|管家
butt|烟蒂
buttercup|毛茛
butterfingers|拿不住东西的人
buttermilk|酪乳
butternut|灰胡桃
buttock|臀部
buttonhole|扣眼
buttress|扶壁
butyl|丁基
buxom|丰满的
buyer|买方
bygone|过去的
bylaw|地方法规
byline|署名
byproduct|副产品
bypass|绕过
byplay|附带动作
bypath|小路
byre|牛棚
byroad|小路
bandbbs|米坛社区，创立于2019年3月23日
byword|谚语
backward|向后的
bankrupt|破产的
banner|横幅
bias|偏见
blog|博客
boom|繁荣
bore|使厌烦
bug|漏洞
bulletin|公告
by|由
bottles|瓶子
behaviour|行为
because|因为
began|开始
built|建造
babies|婴儿
building|建筑物
beans|豆
became|变成
based|以…为基础的
been|是
blanks|空白处
but|但是
believed|相信
birds|鸟
believes|相信
bottled|瓶装的
books|书
benefits|好处
behaviors|行为
brains|大脑
behind|在…后面
before|//在…以前
businesses|企业
birthday|生日
bizarre|古怪的
bipartisan|两党的
beforehand|预先
banker|银行家
baby|一家中年龄最小的人
barometer|气压计
baron|男爵
bull|买空的证券投机商
bitterness|苦味
basement|地下室
boycott|联合抵制 n. 抵制行动
booklet|小册子
batch|一批
bully|恃强欺弱者 vt. 威吓
band|乐队
blossom|vi. 开花
beverage|饮料
bud|vi. 发芽
barn|谷仓
bottom|底(部)
bath|沐浴
bar|条
below|adv&prep. 在…下面
boot|引导
brass|黄铜
beloved|心爱的
beg|乞讨
bell|铃
beef|牛肉
beer|啤酒 vi. 喝啤酒
breathe|呼吸
by-pass|旁路
biased|有偏见的
bill|帐单 v. 开帐单
bur|刺果
beaver|海狸(毛皮)
barb|鱼钩 v. 装倒钩于
bantu|班图人
billfish|长嘴鱼
beringia|白令海和楚可奇海海域
burgess|(英国)市民
basically|基本上
behavioral|行为的
boy|男孩
broadway|n& a. 百老汇大街(的)
baltic|a波罗的海的
basalt|玄武岩
boule|人造宝石
brightly|明亮地
brea|布雷亚(美国加州地名)
brilliance|光辉
biographer|传记作者
baboon|[动]狒狒
blowhole|喷水孔
bluefin|金枪鱼
babylonian|巴比伦人(的)
biotic|有关生命的
bison|(美洲)野牛
bathhouse|公共浴室
broadly|宽广地
biologically|生物学地
bushman|丛林居民
broadleaf|阔叶烟草
bluish|带蓝色的
brant|黑雁
brewster|酿造者
battleship|战舰
basaltic|玄武岩的
befriend|待人如友
bubbly|多泡的
bulldozer|推土机
berg|冰山
bullrush|芦苇
basketry|篓编织品
badly|严重地
bedcover|被面
bonito|鲣
burin|冰凿
birdlike|敏捷轻快的
brilliantly|辉煌地
basketmaking|篮子编织
baedeker|旅行指南
burgher|公民
bipedal|两足动物的
burgeon|嫩芽 v. 萌芽
bandanna|大手帕
bongo|非洲产大羚羊
biographical|传记的
bravely|勇敢地
balkan|巴尔干半岛(的)
breathtaking|令人赞叹的
boss|老板
backbreaking|非常辛苦的
breadfruit|面包果树
bedpan|便盆
bard|吟游诗人
biogeochemical|生物地球化学的
basketwork|编织物
boxlike|象箱子一样的
brusquely|唐突地
beau|花花公子
blackbird|山鸟类
bergere|围手椅
beng|大麻
belter|非常好
butte|孤立的丘
bureaucratization|官化
belle|美女
barrelful|一桶之量
balsam|香液
behaviorist|行为主义者
beluga|(欧洲)白色大鳇鱼
broker|掮客
boomer|生育高峰中出生的人
bituminous|沥青的
briskness|敏捷
bluntly|坦率地
bis|二度
businesswoman|妇女实业家
bluebird|北美产的蓝知更鸟
biter|咬人的动物
bandleader|伴舞乐队的指挥
ballroom|舞厅
blower|吹制工
bulldoze|威吓
bryn|布琳
biochemical|生物化学的
bilingualism|双语现象
bellows|风箱
beneficent|有益的
backhand|反手击球
bountiful|慷慨的
backlighting|逆光
benevolent|慈善的
behaviorism|行为主义
bicameral|两院制的
breathing|呼吸
by-product|副产品
blues|布鲁斯音乐
b|[计] 基地址, 数据库, 基极, 二进制, 块, 字组, 布尔, 总线, 占线, 字节
buying|[经] 买气; 买进
boys|男孩子们；小伙子们（boy的复数）
boards|木板, 板子；纸板（board复数形式）
brands|品牌；烙印（brand的复数）
beginning|开始
blogs|博客, 网志（网站上记有活动、意见等的个人记录）( blog的名词复数 )
brought|bring的过去式和过去分词
bought|买来的
bytes|位元组, 字节数（byte的复数）；字节
bc|公元前
banks|银行；斜床；岸, 堤（bank的复数形式）
beta|希腊字母表的第二个字母
banking|银行业务
brian|布莱恩（男子名）
bags|许多
breaking|[计] 断开, 停止, 设断点
bars|马齿龈；（木、金属等的）条；栅栏；酒吧（bar的复数形式）
bids|商业智能开发工具集（Business Intelligence Development Studio）；本迪克斯综合数据系统（Bendix Integrated Data System）
buildings|建筑物（building的复数）
batteries|电池（battery的复数形式）
bbc|英国广播公司
becomes|变为, 成为( become的第三人称单数 ); 适合; 使（人）显得漂亮; 使好看
babes|<书>婴儿( babe的复数形式 ); 无助的人; 需要人抱的婴儿; <美俚>姑娘
broadband|[计] 宽带
boxes|小木箱, 盒子
ben|内室
blonde|(头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
booking|预约演出合同
bears|空头（卖空的证券交易投机）；熊（bear的复数）
begins|开始( begin的第三人称单数 ); 着手; 创始; 创办
babe|小孩, 天真幼稚的人
blowjob|口交
brothers|哥们儿, 兄弟
boobs|乳房
buyers|买主；采购者；买方市场；购货者（buyer的复数）
bands|法官；乐队
biggest|最大的（big的最高级）
baltimore|巴尔的摩
bruce|布鲁斯
br|[计] 总线请求
bits|后台智能传输服务（Background Intelligent Transfer Service）；建设集成时序供应（Building Integrated Timing Supply）；二进制数字（Binary digits）
blocks|积木；黑金石；街区；[音]双头木鱼；楼群（block的复数）
bodies|（文章、文件等的）正文；（人或动物的）身体；主体部分（body的复数）
bidding|命令, 邀请, 出价
barbara|芭芭拉（女子名）
blogger|写博客的人；博客使用者
birmingham|伯明翰
bio|个人简历, 小传
beds|床上用品, 床组（bed复数）
breasts|胸脯；乳房（breast的复数）
bills|账单；议案（bill的复数）
blowjobs|口交
ba|文学士
bugs|疯狂的, 发疯的
brings|带来；使发生（bring的三单形式）
bestiality|兽性, 兽行, 兽欲
biz|[计] biz机构
betting|打赌
breaks|地形突变；岩层中之小断层（break的复数）
bringing|带来( bring的现在分词 ); 促使; 提供; 使朝（某方向或按某方式）移动
busty|大胸脯的, 胸部丰满的
burning|燃烧的, 象燃烧一样的
bb|滚珠轴承（ball bearing）；铅笔芯（double black）
boats|船艇；船（boat的复数）
bedrooms|火车卧铺单间；卧室（bedroom的复数）
bonds|镣铐, 监禁
buttons|纽扣；按钮（button的复数形式）
bmw|德国宝马汽车公司（Bavarian Motor Works）
booty|战利品, 获得之物
builder|建立者
bulgaria|保加利亚
balls|胡说八道
billy|警棍, 伙伴
blvd|大马路；林荫道
bigger|更大的（big的比较级）
billing|节目次序, 广告
bs|理学士
bi|[计] 成批输入, 总线接口
bristol|布里斯托尔(英国西部港口)
bandwidth|频带宽度, 通带宽度
baskets|篮子（basket的复数）
barry|巴里（男子名）
basics|最简单但最重要的部分, 基本, 基础训练
bestsellers|(bestseller 的复数) n. 畅销书
brokers|经纪人（broker复数）
blogging|写网志；博客
britney|布兰妮（女歌手）
bt|英国电信（British Telecom）
beads|玻璃粉
berkeley|伯克利（姓氏）；贝克莱（爱尔兰主教及哲学家）；伯克利（美国港市）
bikes|自行车( bike的名词复数 )
builders|生成器；施工人员（builder的复数）
bedding|被褥, 寝具, 床上用品, 基床
brad|角钉, 曲头钉
byte|字节, 位组
branches|分支机构；分支（branch的复数）
broke|一文不名的
browsing|[计] 浏览, 翻阅, 监视
barcelona|巴塞罗那
bargains|交易；廉价品；特价品（bargain的复数）
bp|[化] 碱基对
brooklyn|布鲁克林区(纽约行政区)
bbw|线控制动
boundaries|分界线( boundary的名词复数 ); 范围; 使球越过边界线的击球（得加分）; 疆界
benjamin|[医] 安息香
balanced|公平的, 平衡的
boob|笨蛋, 蠢材
brooks|布鲁克斯（姓氏）
blair|布莱尔（男子名）
burns|络腮胡子
brunswick|不伦瑞克(德国城市)
botswana|博茨瓦纳（非洲中南部国家）
baseline|基线, 基准
beatles|披头士合唱（摇滚乐队）
barnes|巴尔内斯（姓氏）
bahamas|巴哈马群岛
borders|边界；边缘地区（border的复数）
butts|短硬黄麻根纤维；臀部粪污毛；笑柄；粗端；大桶（butt的复数）
bobby|警察
beliefs|信仰；信?（belief的复数）
bases|pl. 基础, 军事基地, 主要成分, 根据
begun|begin的过去分词
beaches|海滩；海滨（beach的复数形式）
baptist|施洗礼者, 浸礼会教友
bios|基本输入输出系统
bolivia|玻利维亚
barriers|障碍( barrier的复数形式 ); 屏障; 栅栏; 分界线
bra|奶罩
brisbane|布里斯班（澳大利亚东部城市）
bryan|布赖恩（男子名）
bridges|桥梁；纽带（bridge的复数）
bdsm|绑缚与调教、支配与臣服、施虐与受虐（bondage & discipline, dominance & submission, sadism & masochism）
boolean|[计] 布尔的, 逻辑的, 布尔型
barbados|巴巴多斯(岛)
buf|[计] 缓冲器
bones|骨骼, 尸体
backed|有背的；有财力支持的
bosnia|波斯尼亚；波士尼亚
browsers|浏览器（browser的复数）
brighton|布赖顿（英国南部城市）
bookmarks|书签（bookmark的复数）
bathrooms|浴室( bathroom的复数形式 ); 盥洗室; （带抽水马桶的）厕所; 卫生间
berry|浆果
bermuda|百慕大岛
bk|[医] 锫(97号元素)
britannica|大英百科全书
beverly|贝弗莉（女子名）
bernard|伯纳德（男子名）
biol|biologi or biologisk (Dano-Norwcgian=biology or biologist) （丹麦-挪威语）生物学或生物学家; biological 生物（学）的; biologist 生物学家
bloggers|博客
belarus|白俄罗斯, 白俄罗斯共和国
backgrounds|背景图片, 背景（background的复数形式）
buried|埋葬的；[地]埋藏的
bradley|布兰得利（男子名）
bali|巴厘岛
belize|伯利兹城（拉丁美洲国家）
bookings|[经] 未交定货
benz|奔驰(汽车)
breeds|品种；族类（breed的复数形式）
bailey|城郭, 外栅
bulgarian|保加利亚人；保加利亚语
bennett|班尼特（男子名, 等于Benedict）
biographies|列传, 传记（biographie的复数形式）
bm|医学士, 不列颠博物馆
bahrain|巴林岛
betty|贝蒂（女子名）
belongs|属于( belong的第三人称单数 ); 是…的成员; 应被放在; 适应
bracelets|手镯, 臂镯( bracelet的复数形式 )
belkin|贝尔金
blackberry|刺, 黑莓
brandon|布兰登（男子名）
bon|（法）好的
beth|贝丝（女子名, 等于Elizabeth）
bradford|布拉德福德（英格兰北部城市）
builds|修建( build的第三人称单数 ); 建造; 开发; 创建
bloomberg|[人名] 布隆伯格
banners|旗帜广告；横幅；广告横幅（banner复数）
bd|[计] 空白显示, 框图, 布尔差分
beats|音乐节拍；差拍振动；心脏跳动（beat的复数）
batman|勤务兵
beverages|饮料( beverage的复数形式 )
bo|体臭, 汗臭, 狐臭, 暂时无法满足的订货, 戏院票房, 戏院售票处, 分支机构
blocked|堵塞的；被封锁的
belfast|贝尔法斯特
bucks|雄鹿队（篮球队名）；巴克斯（英国伦敦附近的一个郡名）
buses|公共汽车（bus的复数形式）
boating|划船
broader|广大的；一片的比较级
beings|人; 生物（ being的复数形式 ）; 存在; 思想感情; 身心
biblical|圣经的
blocking|[计] 组成块; 粘连
buys|购买, 购得( buy的第三人称单数 ); 做出牺牲以获得; 够支付; 买通
burlington|伯灵顿, 柏林顿（美国地名）
boc|中国银行（Bank of China Limited）
brochures|小册子( brochure的名词复数 ); （某地、某旅馆等的）情况介绍手册; （印成小册子的）论文
benchmark|[计] 基准程序; 基准
beginners|初学者；生手；首创者（beginner的复数）
bedford|贝德福德（英格兰一郡及该郡之首府）；贝德福德（美国俄亥俄州城市）；贝德福德（男子名）
banned|被禁的
briefs|三角裤
bibliographic|书目有关的, 书目的
boxed|醉酒的
blah|废话
baking|烘焙, 一次烘焙的量
baths|公共澡堂, 公共游泳池
brakes|刹车系统；制动；刹车（brake的复数）
blowing|[机] 吹制
bras|宽带接入服务器（Broadband Remote Access Server）
belts|带子；皮带（belt的复数）
blacks|黑人（black的复数）
burke|秘密地除去, 秘密地消灭, 压制
bw|细菌战
brunei|文莱
blades|刀刃；扁叉；刀片（blade的复数）
