zoo|动物园
zakat|[宗]天课,扎卡特(伊斯兰教徒每年一次的慈善捐款)
zeolite|沸石
zygotes|(zygote 的复数) n. 合子, 受精卵
zooplastic|动物组织移植术的
zygosphene|[解]椎弓突
zincoid|锌的, 似锌的
zokor|鼢鼠
zymophyte|发酵菌
zionistic|Zionism的变形
zeolites|(zeolite 的复数) n. 沸石
zobo|cow+yak 母牛+牦牛（代号）
zygotene|[生](细胞减数分裂前期的)偶线期,合线期
zumbooruk|旋回炮
zibeth|[医] 香猫, 灵猫香
zooerythrin|羽红素
zoril|非洲艾虎
zinciferous|含锌的
zoniferous|分成地带的, 分成区域的
zymogens|(zymogen 的复数) n. 酶原, 发酵性细菌
zeunerite|翠砷铜铀矿
zowie|int. <美>好! 呦(表示激动,热情,赞叹等的感叹词)
zygotactic|相对性别接合子梗间互趋性的
zoolatry|动物崇拜
zoographical|动物志学
zamia|泽米
zinfandel|馨芳葡萄酒
zenography|木面学
zither|齐特琴
zincographic|锌版术的
zoogenous|(=zoogenic)由动物传染的, 源于动物的
zygotaxis|[动]接合向性
zygomaticus|颧肌
zymogenic|产生酶原的, 发酵的, 酶原的
zeoscope|[医] 沸点检醇器
zephaniah|希伯来的先知
zax|石斧
zips|拉链( zip的名词复数 ); 能量; 速度; 零
zoomorphize|给予动物形象,兽形化
zenanas|(zenana 的复数) n. 闺房, 女用薄衣料
zelkova|[植]榉属,光叶榉树
zoon|(群体动物的)个体动物
zygoptera|束翅亚目
zing|尖啸声, 活力
zombi|蛇神, 起死回生的魔力, 僵尸, 回魂尸, (美)鸡尾酒, 木鸡, 讨厌的家伙
zooplasty|动物组织形成术, 动物组织移植术
zwieback|<德>n.烤干面包( 常用鸡蛋甜面包烤成的一种面包片)
zealed|热心, 热情, 热忱
zealanders|Zealand的变形
zouave|轻步兵
zincing|<化>锌( zinc的现在分词 )
zwieselite|褐磷锰铁矿
zoolater|动物的崇拜者
zoogeology|化石动物学
zealousness|热忱；积极；狂热
zoolatrous|动物崇拜的
zonaesthesia|[医] 束勒感, 束带状感觉
zer|玉米赤霉醇（zeranol）
zoospermatic|精虫的, 精子的
zabaglione|萨白利昂(意大利甜食)
zoarcidae|[网络] 绵鳚科；绵科
zootrophic|动物(细胞内寄生)营养的
zootechny|动物饲养学, 畜牧学
zingiberene|姜烯
zymologic|[医] 酶学的
zygomorphous|两侧对称的
zombis|（某些非洲和加勒比地区的宗教及恐怖故事中）靠巫术起死回生的僵尸( zombie的名词复数 )；无生气的人, 麻木迟钝的人
zoophily|[精神病] 嗜兽癖, 动物爱好
zoopsia|[医] 动物幻视
zaptiah|土耳其警察
zeltinger|捷尔定酒（一种葡萄酒）
zambo|印地安人与黑人之混血儿
zilch|一无所有, 小人物, 无, 零
zantedeschia|马蹄莲属
zygosity|[生]接合性
zoometric|动物测定
