sun|太阳
sympathy|同情
sculpture|雕塑
style|风格
surrealism|超现实主义
shadow|阴影
symmetry|对称
script|剧本
stage|舞台
screenplay|剧本
sequence|场景
scene|场景
shot|镜头
setting|背景
symbolism|象征
sociology|社会学
sports|体育运动
suspension|停赛
stadium|体育场
soccer|足球
skiing|滑雪
skating|滑冰
sprint|短跑
sailing|帆船
surfing|冲浪
shooting|射击
spectator|观众
supporter|支持者
stamina|耐力
sponsorship|赞助
society|社会
supervision|监督
solution|解决方案
standing|排名
status|状态
scope|范围
scale|规模
segment|分段
staff|员工
surroundings|周围环境
space|空间
surface|表面
site|地点
spot|地点
situation|情况
state|状态
scheme|方案
skepticism|怀疑
spirituality|精神性
sensation|感觉
self|自我
soul|灵魂
spirit|精神
significance|重要性
speaker|扬声器
salary|薪水
subscription|订阅
summary|摘要
survey|调查
storm|暴风雨
survivor|幸存者
substance|物质
steel|钢
silk|丝绸
scissors|剪刀
stapler|订书机
sleeve|袖子
sunglasses|太阳镜
sticky|粘性的
secret|秘密
snicker|窃笑
splash|溅
sprinkle|撒
skin|皮肤
simulation|模拟
sample|样本
scenery|风景
side|侧面
statement|声明
scald|烫伤
sprain|扭伤
salt|盐
sour|酸的
salty|咸的
spicy|辣的
steamed|蒸的
stewed|炖的
smoked|熏的
stale|不新鲜的
spoiled|变质的
seasonal|季节性的
suburban|郊区的
square|广场
sector|部门
slice|切片
stone|石头
sand|沙子
sludge|淤泥
slurry|稀泥
suitcase|手提箱
specimen|标本
sacred|神圣的
sanction|制裁
scandal|丑闻
scenario|情景
seminar|研讨会
senate|参议院
session|会议
shame|羞耻
shell|壳
shift|转变
shore|岸
shortage|短缺
shuttle|穿梭
sin|罪
skim|略读
slavery|奴隶制
slope|斜坡
solemn|庄严的
somehow|不知何故
somewhat|有点
sovereign|主权
span|跨度
spectacle|壮观
spectrum|光谱
speculate|推测
sphere|球体
spite|恶意
spokesman|发言人
spy|间谍
stance|立场
startle|惊吓
stereotype|刻板印象
storage|存储
stranger|陌生人
strategic|战略的
subsequent|随后的
substantial|大量的
subtle|微妙的
suburb|郊区
suicide|自杀
summarize|总结
summit|峰会
surplus|盈余
sword|剑
symbol|符号
strategies|策略
says|说
still|仍然
spent|用过的
starting|开始
statements|陈述
something|某事物
same|相同的
states|国家
significant|重要的
some|一些
surveyed|调查
started|开始
showed|显示
shows|表演
seems|似乎
second|num
someone|某人
sales|销售
shown|显示
savings|存款
should|应该
seen|看见
soon|不久
sharing|分享
systems|系统
she|她
skills|技能
so|如此
schools|学校
saturday|星期六
since|自…以来
sometimes|有时
stories|故事
selves|自己
suggests|建议
smartphones|智能手机
sounds|声音
scientists|科学家
studies|研究
sheet|床单
struggling|挣扎的
students|学生
situations|情况
showing|展示
series|系列
studied|学习
stockbroker|股票经理人
supervisor|督导
stray|走失[流浪]的动物
stove|炉子
scarcity|缺乏
severity|严重性
successively|接连着地
stabilize|使稳固
subsidy|补助
superficial|表面的
subordinate|从属的
smuggle|走私
scaffolding|脚手架
skyrocket|猛增
spacious|宽敞的
slightly|轻微地
specialize|专业从事
shrank|收缩(shrink过去式)
surpass|超过
sexism|性别歧视
specification|说明
squalor|肮脏
segregation|隔离
simultaneous|同步的
suspicious|怀疑的
shareholder|股东
simultaneously|同步地
sympathetic|同情的
shrewd|精明的
sheer|纯粹的
straightforward|直接的
seasick|晕船的
strap|用带绑住
standardize|标准化
skyscraper|摩天大楼
sway|影响
shady|阴凉的
shepherd|引导
subsequently|随后
sanitation|卫生环境
specialist|专家
stimulus|刺激
suffice|足够
superb|壮丽的
shipment|装载的货物
stalk|主茎
sincerity|真诚
sofa|长沙发
shipbuilding|造船（业）
senseless|愚蠢的
shadowy|有影的
superiority|优越（性）
stiffness|硬度
salute|（向…）行军礼
singular|异常的
sharply|严厉地
scarlet|猩红色 adj. 猩红的
subscript|写在下方的 n. 下标
sideways|斜向一边地
southwards|向南方
striking|显著的
shower|下阵雨
snail|蜗牛
stationery|信笺
situated|位于…的
stern|艉
stubborn|顽固的
solidarity|团结
sweetness|甜蜜
scrap|碎片
shorthand|速记
scout|搜索
slumber|睡眠
snob|势利小人
snobbish|势利的
sorrowful|使人伤心的
subdue|使屈服
sweeten|使变甜
shrine|神殿
serpent|蛇（尤指大蛇或毒蛇）
sift|筛
shark|鲨鱼
sardine|沙丁鱼
scan|扫描
stroll|散步
spherical|球形的
slit|切开 n. 狭长的切口
siren|汽笛
saturn|土星
sensitivity|敏感（性）
superstition|迷信
spiral|螺旋（形）的
stairway|楼梯
streamline|流线
stereo|立体声 adj. 立体声的
slang|俚语
similarity|类似
shabby|破旧的
stammer|口吃地说 n. 口吃
spatial|空间的
shameful|可耻的
sheriff|郡长
symposium|座谈会
shortcut|近路
symphony|交响乐
soy|大豆
sturdy|牢固的
stability|稳定
shrill|尖声的 v. 尖声地叫
sham|假冒
stillness|寂静
successor|继承人
succession|继承（权）
souvenir|纪念品
strait|海峡
seaport|海港
seaside|海滨（胜地）
salmon|鲑
shrub|灌木
skeleton|骨骼
studio|播音室
sentiment|感情
satellite|附属国
seam|缝口
stew|炖 n. 炖菜
symmetrical|对称的
solo|独唱
stainless|不锈的
shipwreck|船舶失事
sensor|传感器
strife|冲突
supersonic|超声的
shovel|铲
senator|参议员
sermon|布道
stuffy|不透气的
seemingly|表面上
sullen|绷着脸不高兴的
saturation|饱和（状态）
siege|包围
scar|瘢痕
shutter|百叶窗
stout|肥胖的
scripture|《圣经》
shrimp|（小）虾
shaft|（工具的）柄
squat|（使）蹲下
slander|诽谤
scoff|嘲笑
sneer|冷笑
scramble|爬行
sake|缘故
staircase|楼梯
suite|套间
syndrome|综合病症
swap|n&v. 交换
successive|连续的
skull|颅骨
scrutiny|详细检查
solicitor|初级律师
suspicion|怀疑
standpoint|立场
statesman|国务活动家
sightseeing|观光
soluble|可溶的
sparkle|vi. 发光
staple|主要的
sieve|筛子
segregate|vt. 使隔离
supplementary|增补的
streak|vi. 飞跑
setback|挫折
sober|未醉的
salvation|拯救
stationary|固定的
squad|班
sergeant|中士
spine|脊柱
slogan|标语
serial|连续的
spouse|配偶
scorn|轻蔑
subculture|亚文化
submarine|水底的
stump|vi. 脚步沉重地走 n. 树桩
scoop|舀出
strand|股
slippery|滑的
saleable|适合销售的
slot|狭缝
subjective|主观的
slum|贫民窟
slick|圆滑的
superintendent|主管人
sensational|轰动的
scary|可怕的
sip|小口地喝
slump|vi. 大幅度下降
solitary|单独的
savage|残暴的
specialty|特产
sue|控告
susceptible|易受影响的
saturate|vt. 使湿透
sane|心智健全的
sympathize|(sympathise)(with)同情;共鸣
speciality|(specialty) 特色食品; 特产
sometime|将来(或过去)某个时候 adj. 以前的
semiconductor|半导体
sportsman|运动员
salesman|售货员
source|来源
scholar|学者
sex|性
seat|座位
servant|仆人
superfluous|多余的
spur|鼓舞
statistical|统计的
super|特级的
spelling|拼写
sunday|星期日
shortcoming|缺点
sir|先生
steward|管家
stripe|条纹
september|九月
southeast|东南的
seldom|很少
sunrise|日出
spade|铁锹
sore|疼痛的
strenuous|紧张的
soda|苏打
sock|短袜
sunset|日落
saddle|鞍
skate|滑冰
steamer|轮船
sly|狡猾的
shilling|先令
scarce|缺乏的
spoon|匙
skillful|熟练的
straw|稻草
stool|凳子
southwest|西南方 adj. 西南的 adv. 往西南
squirrel|松鼠
sarcastic|挖苦的
spit|吐痰
spear|矛
shoe|鞋
scarcely|几乎不
stocking|长袜
spaceship|[航] 宇宙飞船
sweater|毛线衣
sociable|社交的
stair|楼梯
snowstorm|暴风雪
stamp|邮票
sorrow|悲伤
sophomore|大学二年级生
swarm|挤满
slipper|拖鞋 vt. 用拖鞋打
supper|晚餐
shopkeeper|店主
satire|讽刺
saint|圣人
spacecraft|[航] 宇宙飞船
sunshine|阳光
slender|细长的
storey|[建] 楼层
statue|雕像
smog|烟雾
saucer|茶托
socialism|社会主义
swan|天鹅
so-called|所谓的
scattered|离散的
stagnant|因停滞或不流动而发臭的
salient|显著的
summarise|概括
sulphur|硫
statical|静态的
sum|合计
stratum|地层
seventeenth|第十七
stud|镶嵌
sculptor|雕刻家
sophisticate|诡辩的
sunlight|日光
snowfall|降雪
seawater|海水
stencil|模版
suddenly|突然地
sumerian|闪族人[语]
statistic|统计数值
sandstone|沙岩
salinity|盐分
sixteenth|第十六
scandinavian|斯堪的纳维亚人[语]
shale|页岩
spore|孢子
sanctuary|避难所
separation|分离
sedimentary|沉积的
southwestern|西南的
sociologist|社会学家
seafloor|海底
silt|淤泥 v. (使)淤塞
surveyor|测量员
stoneware|瓷器
shelve|搁置
specialization|特殊化
steamboat|汽船
southeastern|东南方的
seep|渗出
sloth|懒惰
semiarid|半干旱的
sibling|兄弟姐妹
sahara|撒哈拉沙漠
speculation|思索
scandinavia|斯堪的纳维亚（北欧地名）
southward|向南 a向南的
storytelling|说书
snowflake|雪花
songbird|鸣禽
starling|欧掠鸟
steadily|稳定地
strictly|严格地
silversmith|银器匠
sixteen|十六
supernatural|超自然(的)
superorganism|[生]超个体(指群居昆虫等的群体)
sedimentation|沉淀
seabed|海底
seaway|海上航道
steppe|特指西伯利亚一带没有树木的大草原
subtractive|减去的
slush|烂泥 v溅湿
simplification|简化
silicate|硅酸盐
surrounding|围绕物
stagecoach|公共马车
sandy|沙的
severely|严格地
seafarer|船员
sect|宗派
sadness|悲哀
sulfate|硫酸盐
steamship|汽船
stunt|特技
subsurface|地下的
semiskilled|半熟练的
speculative|推测的
silica|[化]硅石
sedentary|久坐的
shaman|萨满教的道士
stylize|使风格化
substantially|大体上
scavenger|清道夫
stave|桶材
stony|多石的
shellfish|贝
somewhere|某处
strut|高视阔步 v. 昂首阔步地走
stylistic|风格上的
softwood|软木材
slate|板岩
satiric|讽刺的
starvation|饥饿
spruce|云杉
stiffen|弄硬
slab|厚板
sizable|相当大的
scotland|苏格兰(英国的一部分
sailfish|旗鱼
swordfish|旗鱼
scottish|苏格兰人(的)
saline|含盐的
stimulation|激励
symbolize|象征
saltwater|盐水的
sac|〈生〉囊
synchronization|同步化
signaler|信号员
sinkhole|污水池
subside|下沉
socially|社交上
spinal|脊椎骨 n. 脊髓麻醉
smother|窒息
suburbanization|市郊化
succulent|多汁的
spout|喷出
sensory|知觉的
substantiated|证实
savannah|(南美)大草原
spearhead|充当先锋
swirl|旋转
sociobiology|生物社会学
soviet|苏维埃(的)
sculptural|雕刻的
spectacularly|壮观地
seashore|海岸
seller|售货者
shoemaking|制鞋
sprawl|伸开
sparse|稀少的
statuary|雕象
sanskrit|n& a. 梵语(的)
seedling|幼苗
spawn|产卵 n. 卵
sewage|污水
sierra|[地]齿状山脊
storefront|店头
showman|戏剧制作人
shoemaker|鞋匠
scurry|疾行
subtropical|亚热带的
slop|溢出
spontaneously|自发地
swimmer|游泳者
sulfuric|[化] 硫磺的
subspecies|[生]亚种
sinuous|蜿蜒的
sap|树液  vt耗尽
situate|位于
sixth|第六
shoreline|海岸线
sedge|[植]莎草
seismic|[地]地震的
sorghum|[植]高粱属的植物
subsistence|生存
sophistication|老练
sunflower|[植]向日葵
stark|荒凉的
seriousness|严肃
sterile|贫脊的
seaweed|海草
smelt|熔解
streambed|河床
successional|接连著的
salinization|盐渍化
shrinkage|收缩
shin|胫骨
swiftly|很快地
sentimental|感伤的
snowdrift|雪堆
seventy|七十
sparsely|稀疏地
surmise|猜测
subtlety|微妙
streetcar|路面电车
speculator|投机者
skillfully|巧妙地
supposedly|推测地
supercontinent|[地]超大陆
streptomycin|链霉素
stag|牡鹿vi不带女伴参加晚会
syllable|音节
sequoia|[植] 美洲杉
skeletal|骨骼的
serpentine|蜿蜒的
semitic|/a闪族人(语) (的)
synonymous|同义的
soilless|不用泥土(培植)的
specially|专门地
someday|有朝一日
sulfide|<美>[化]硫化物
sensibility|敏感性
supersede|代替
scuba|水中呼吸器
sunlit|被日光照射了的
separately|分别地
stature|身高
spurge|[植]大戟
scat|迅速走开 n. 爵士音乐中无意义的音节的演唱
squarely|方形地
sexually|性别地
subsidize|资助
spew|喷涌
shun|避开
sleepiness|想睡
subsist|生存
squander|浪费 n. 浪费
somerset|翻筋斗 vi. 翻筋斗
secular|长期的
sharper|磨具
subtropic|亚热带的
scenic|舞台的
subtitle|说明对白的字幕 v. 给…加字幕
semicircular|半圆的
snout|猪嘴
sleeper|睡眠
sandal|凉鞋
substantiate|使实体化
smear|涂污
succinct|简洁的
sectional|可组合的
sate|使心满意足
sepal|萼片
snippet|小片
structurally|在结构上
shorebird|岸禽类鸟
spoilage|损坏
solder|焊料 v. 焊接
sumptuous|奢侈的
synchrotron|同步加速器
stringent|严厉的
supervisory|监督的
sleek|圆滑的
secrecy|秘密
silhouette|侧面影象
stereotypical|老一套的
stonework|石雕工艺
stipulate|规定
sandbar|沙洲
seafood|海产食品
semimolten|半熔的
starfish|海星
spinet|古时的小型竖琴
supremacy|地位最高的人
saguaro|仙人掌之一种
stretcher|担架
suspender|吊裤带
sterilize|杀菌
socialization|社会化
screening|放映 v. 遮蔽
substrate|（土地）底层
sustenance|食物
synchronize|同步
songwriter|歌曲作家
spotlight|聚光灯
scant|缺乏的
secretin|分泌素
spatter|溅污 n滴落
siliceous|硅酸的
seeker|搜索者
sonar|声纳
springboard|跳板vi利用跳板
supplier|供应者
stately|庄严的
southernmost|最南的
synonym|同义字
scraping|刮
scanty|缺乏的
shortwave|短波
southerner|南方人
sago|西米
sugarcane|[植]甘蔗
spillage|溢出
smelter|熔炉
shoshone|美国休休尼族印第安人;休休尼语
smoky|冒烟的
subtraction|减少
southerly|向南方的 ad在南方
shopper|购物者
stagecraft|编剧才能
sentimentalized|流于感伤
stint|紧缩
subjugate|使屈服
seclusion|隔离
stocky|矮壮的
suitably|合适地
seashell|海贝壳
sensitively|易感知地
superorganisms|[生]超个体(指群居昆虫等的群体)
sill|基石(岩床底面)
salmonberry|美洲大树莓
snugly|舒适温暖地
stratify|(使)成层
separable|可分离的
supermodel|超级名模
stubble|短须
solely|独自地
subfreezing|低于冰点的
soloist|独奏者
sickness|疾病
sparrow|[鸟]麻雀
syrup|糖浆
sewerage|排水设备
singleton|一个
stabilization|稳定性
swiftness|迅速
seabird|海鸟(如海鸥)
slat|板条v打击
stabilizer|稳定器
superbly|雄伟地
shipwright|造船者
steadfastly|踏实地
stratosphere|平流层
stronghold|要塞
seedy|多种子的
substantive|独立存在的
setup|装备
schist|[地]片岩
symbolically|象征(性)地
stealthy|鬼鬼祟祟的
silvery|含银的
salal|[植](产于北美洲太平洋沿岸的)沙龙白珠树
saffron|[植]藏红花
storyteller|说故事的人
slider|滑雪者
subglacial|冰川下的
sod|草地
supplementation|增补
sugarlike|类糖的(糖似的)
survivability|残存性
stratification|分层
sewer|排水沟
sundial|日昝仪
securely|安全地
sobriquet|假名
socialize|使社会化
speechwriter|演讲稿撰写人
shyness|羞怯
sash|腰带
skylight|天窗
subjugation|镇压
speck|斑点
surmount|克服
stratagem|战略
stamford|斯坦福德[美国康涅狄格州西南部城市]
sonic|音速的
smoothly|平稳地
shoeshine|鞋油
spidery|蜘蛛(网)一般的
seepage|渗流
slapstick|闹剧
synthesizer|综合者
springtime|春天
sled|(小)雪撬
swampy|沼泽的
shapeless|不成形的
seaman|海员
stilt|高跷
stele|石碑
stubbornness|倔强
softball|垒球运动
shakespeare|莎士比亚(1564-1616
sturdiness|强健
schoolroom|教室
stench|恶臭
slime|粘土
starlike|星形的
slimy|黏滑的
storeroom|储藏室
sunburst|从云隙射下的阳光
stifle|窒息
sufficiency|充足
summarization|摘要
solidly|坚硬地
speckle|小斑点  vt点缀
sovereignty|君主
sociability|好交际
seduce|勾引
solitude|孤独
scour|四处搜索
sluggishly|缓慢的
stinger|刺激者
slay|杀死
scruffy|肮脏的
statuette|小雕像
scraggly|零乱的
slapdash|匆促的
shrubby|灌木的
scrubbiness|褴褛的
sunbaked|晒干的
syntax|语法
shroud|裹尸布
seacoast|海滨
snowy|雪的
summertime|夏季
stepper|行走的人或动物
supposition|假定
smoothness|平坦
spontaneity|自发性
sully|玷污
slothful|偷懒的
soundly|完全地
sweaty|出汗的
sage|智慧的  n智者
salesperson|售货员
seaboard|海岸
sty|猪栏 v住在猪圈里
spiny|多剌的
serigraphy|绢印
serene|平静的 n宁静
sidewalk|人行道
sensationalism|追求轰动效应
struggler|奋斗者
spiky|大钉似的
sapiens|（拉）现代人的
scam|诡计 v诓骗
stash|存放 n隐藏处
speedy|快的
sender|寄件人
spoonful|一匙
symphonic|交响乐的
scavenge|打扫
subdivision|细分
stormy|暴风雨的
stagnate|(使)淤塞
shudder|震动 vi战栗
sparingly|节俭地
squirt|喷出
strikingly|醒目地
supremely|无上地
satirist|讽刺作家
sanctimonious|伪装虔诚的
secondhand|a&ad  二手的
scowl|愁容
subterranean|地下的
serrate|锯齿状的
subclass|[生]亚纲
simplistic|过分简单化的
singly|单独地
shaper|造形者
spheroidal|球状的
signer|签名人
silurian|〈地〉志留纪的
sweatshop|血汗工厂(指工人劳动条件差
sideline|副业
scruple|踌躇
sadden|悲哀
skeletally|骨骼的
sociably|和蔼可亲地
snipe|[鸟]鹬
stonemason|石匠
smite|重击
subduction|[地]潜没(指地壳的板块沉到另一板块之下)
sheepskin|羊皮(革
stickpin|领带夹(指插于领带上的装饰别针)
succinctly|简洁地
sawyer|锯木匠
sear|烤焦的
spank|鞭策前进 v. 轻快的移动 n. 拍击
sargeant|萨金特
scholarly|学者气质的
sentimentalism|感情主义
stylish|时髦的
storehouses|仓库
splinter|尖片
seagoing|适于远航的
sequester|使隐退
serum|浆液
slavish|奴隶的
synapsis|[生]染色体结合
stewpot|双把炖锅
spar|争论
selfless|无私的
syntactic|句法的
superstitious|迷信的
snide|伪造的
seismograph|地震仪
sneaky|偷偷摸摸的
sweeping|彻底的
suborn|收买
salamander|火蜥蜴
shrivel|枯萎
somber|昏暗的
syllabus|教学大纲
solvent|有溶解力的
semantic|语义的
scornful|轻蔑的
stampede|狂奔
sporadic|偶发的
staunch|坚定的
suspense|担心
shred|碎片
staggered|交错的
slacken|松弛
slog|艰难行进
sneaker|鬼鬼祟祟的人
stellar|星的
stardom|明星的身份
shirk|逃避
staggering|巨大的
stigma|污点
succumb|屈服
saucy|无礼的
salon|营业性的厅
suffragist|妇女政权论者
schematic|图解的
synchronizer|同步装置
swindle|诈骗
subversive|颠覆性的
sensual|感觉的
scourge|鞭笞
scroll|卷轴
sluggish|行动迟缓的
seismology|地震学
simmer|充满
sleigh|雪橇
stingy|吝啬的
scrupulous|多顾虑的
semiotics|符号学
sapphire|天蓝色
seasoning|调味品
startling|惊人的
squabble|发生口角
superimpose|使重叠
swoop|猛扑
swoon|vi&n.  昏厥
stanza|节
secede|正式脱离
smelting|冶炼
sledding|进展
smirk|假笑
