phone|手机
phase|阶段
passion|热情
prospect|前景
pessimism|悲观
prayer|祈祷
psyche|心灵
pioneer|先驱
performer|表演者
prestige|声望
printer|打印机
privacy|隐私
promotion|晋升
pending|待处理
priority|优先
poll|投票
president|总统
pattern|图案
paperclip|回形针
pin|别针
pocket|口袋
peek|偷看
pout|撅嘴
pour|倾倒
pupil|瞳孔
particle|粒子
proton|质子
prototype|原型
pill|药片
pickled|腌制的
polar|极地的
province|省
plaza|广场
path|小路
portion|一部分
piece|片
pebble|鹅卵石
pitch|沥青
pigment|颜料
package|包裹
parcel|包裹
packet|小包
pouch|小袋
purse|钱包
pace|步伐
palm|手掌
pan|平底锅
panic|恐慌
parliament|议会
passage|通道
pathway|途径
patrol|巡逻
patron|赞助人
pave|铺路
peak|顶峰
peasant|农民
peculiar|奇怪的
peer|同龄人
pension|养老金
percentage|百分比
petition|请愿
phenomenon|现象
phrase|短语
pipeline|管道
plea|恳求
plug|插头
poison|毒药
politics|政治
pond|池塘
portable|便携的
portray|描绘
pose|姿势
poverty|贫困
powder|粉末
prairie|草原
pregnant|怀孕的
prejudice|偏见
preliminary|初步的
premise|前提
premium|保险费
presence|存在
presume|假设
prevail|盛行
primarily|主要地
primitive|原始的
privilege|特权
procession|队伍
proclaim|宣布
profession|职业
proportion|比例
prosperity|繁荣
publication|出版物
publish|出版
patients|病人
places|地方
pet|宠物
phones|电话
participants|参与者
probably|大概
percent|百分之…
paragraph|段落
policies|政策
phantom|幽灵
parts|部分
published|出版
programs|节目
products|产品
plans|计划
prices|价格
people|人
pets|宠物
playing|玩耍
perhaps|或许
paragraphs|段落
per|每
paying|支付
parents|父母
paid|有偿的
problems|问题
passages|段落
possession|拥有
proximately|近似
priceless|无价的
preference|偏爱
prematurely|早熟地
preindustrial|工业化以前的
prevalence|流行
permanent|永久的
perpetual|永久的
pessimistic|悲观的
prolonged|长时间的
permeate|渗透
payroll|工资总额
philosopher|哲学家
pronoun|代词
publicity|宣传
prevailing|流行的
predominantly|占主导地位地
presidency|总统任期
publicize|宣传
pasture|牧场
plough|犁
privileged|有特权的
paradox|悖论
ponder|仔细考虑
paradise|天堂
potentially|潜在地
persistent|持续的
precision|精确性
paralyze|瘫痪
puzzling|迷惑的
proposition|提议
postdoctoral|博士后的
prioritize|优先
pragmatic|务实的
precedent|先例
pessimist|悲观主义者
prolong|延长
principally|主要
periodic|周期的
peripheral|外围的的
perimeter|周（边）
platform|政纲
predominant|占优势的
prophet|预言家
prophecy|预言
preset|预先装置
postal|邮政的
postulate|假定
prescription|药方
proverb|谚语
pickle|腌制食品
propaganda|宣传
pacific|性情温和的
puppy|小狗
pamphlet|小册子
pilgrim|香客
petty|细小的
physically|身体上
plague|瘟疫
peril|危机
propulsion|推进
presumably|推测起来
projector|投影仪
popularity|通俗性
purify|提纯
peculiarity|特性
proficient|熟练的
proficiency|熟练
pantry|食品柜
positively|确定的
persuasion|劝说
pious|虔诚的
predecessor|前辈
pertinent|恰当的
periodical|期刊
persecute|迫害
practicable|能实行的
pumpkin|南瓜
promptly|敏捷地
perplex|迷惑
pore|毛孔
propeller|螺旋桨
prevalent|流行的
prism|棱镜
pants|裤子
peacock|孔雀
pneumatic|空气的
polymer|聚合物
prohibition|禁止
prudent|谨慎的
parachute|降落伞
persistence|坚持
poultry|家禽
polarity|（人、意见或观念的）截然相反
piston|活塞
pulley|滑轮
pal|好朋友
pedestrian|行人
pest|害虫
pirate|海盗
provision|规定
photoelectric|光电的
pipe|管乐器
pluck|鼓起（勇气）
plateau|高原
pineapple|凤梨
plump|丰满的
partition|分开
propagation|繁殖
propagate|传播
porcelain|瓷 adj. 瓷的
perpendicular|垂直的
puff|喘气
penetration|穿入
proceeding|程序
panther|豹
patriot|爱国者
patriotic|爱国的
pathetic|哀婉动人的
pendulum|（钟等的）摆
panel|（选定的）专门小组
perch|（禽鸟的）栖木
pier|码头
pope|（罗马天主教的）教皇
pyjamas|（宽大的）睡衣裤
pedlar|（挨户兜售的）小贩
plunder|掠夺
plausible|似有道理的
provocative|挑衅的
posture|vi. 摆出姿势
provided|假如
permissible|可允许的
peg|小钉
premier|首要的
pastry|油酥面团
paperback|平装本
pact|契约
pollutant|污染物质
prosperous|繁荣的
pastime|消遣
proximity|接近
predestine|vt. 预先确定
pretext|借口
porch|门廊
paralysis|麻痹
pistol|手枪
planet|行星
priest|神父
processing|处理
peninsula|半岛
poisonous|有毒的
paternity|父权
pole|杆
preferable|更可取的
prune|vt. 修剪
pearl|珍珠
pregnancy|怀孕
pudding|布丁
perfume|香水
promising|有希望的
purity|纯净
preparatory|预备的
planetary|行星的
plaster|灰浆
prescient|预知的
preview|预映
preclude|vt. 排除
premature|比预期时间早的
prone|易于…的
puppet|木偶
prince|王子
pardon|原谅
partly|部分地
princess|公主
pyramid|金字塔
prosper|成功
pronunciation|发音
policeman|警察
pronounce|发…的音
political|政治的
preceding|在前的
postman|邮递员
paradigm|典范; 范例; 示例
porter|守门人
preposition|介词
panorama|全景
palace|宫
prisoner|囚犯
penny|便士
pride|自豪（感）
permission|允许
practically|实际地
physician|[医] 医师
preface|前言
practitioner|开业者
pink|粉红色
pity|怜悯
pint|品脱
precaution|预防
pile|堆
plight|困境
pillar|柱子
plural|复数的 n. 复数
pigeon|鸽子
punctual|准时的
pneumonia|肺炎
pulse|[电子] 脉冲
pad|衬垫
pea|豌豆
pie|馅饼
pit|矿井
pot|壶
pub|酒馆
postcard|明信片
picnic|野餐 v. 去野餐
pail|桶
pickup|收集
physicist|物理学家
pound|英镑
poster|海报
playground|运动场
passenger|旅客
psychiatry|精神病学
peanut|花生
postage|邮资
plentiful|丰富的
pork|猪肉 vt. 与女子性交
petroleum|石油
pavement|人行道
plantation|栽植
petrol|（英）汽油
plaintiff|原告
paw|爪
passerby|过路人
pheromone|<生化>信息素
photograph|照片
pastoralist|田园诗的作者
philadelphia|费城(美国宾西法尼亚州东南部港市)
paleolithic|旧石器时代的
prehistoric|史前的
pullman|卧车
plankton|浮游生物
pottery|陶器
projection|发射
pastoralism|田园主义
pleistocene|[地]更新世(的)(一段时期)
parlor|客厅
pueblo|印第安人村庄
pellet|小球
paleontologist|古生物学者
potash|碳酸钾
proxy|代理人
potter|陶工
precipitation|仓促
publisher|出版者
partially|部分地
pennsylvania|宾夕法尼亚州（美国州名）
precisely|正好
plover|千鸟
perceptual|感性的
proterozoic|原生代(的)
proponent|支持者
primate|灵长类(动物)
pterosaur|翼龙
populate|构成人口
porous|多孔渗水的
properly|适当地
psychodynamic|精神动力的
poet|诗人
peepshow|西洋镜
plow|耕
polygon|[数]多角形
persian|波斯人[语]
perfectly|理想地
putrefy|(使)化脓
predominate|占优势
progressively|日益增多地
phonograph|留声机
pollinator|授花粉器
putt|短打
pry|探查
prolific|多产的
purely|仅仅
porosity|多孔性
poorly|不舒服的  ad贫穷地
popularly|大众地
pinpoint|确定
preschooler|(美)学龄前儿童
piecework|计件工作
polynesian|波利尼西亚人
prehistory|史前时代
planetarium|天文馆
parasitism|寄生状态
prowl|巡游
personally|亲自
penicillin|[微]青霉素（一种抗菌素
prestigious|享有声望的
peruvian|秘鲁人(的)
presidential|总统的
pastoral|田园生活的
predation|掠食
permanence|永久
patronage|赞助
pollen|花粉
participation|参加
printmaking|版画复制(术)
populous|人口稠密的
pangaea|泛古陆
plumb|（用铅垂）测量
permian|[地]二叠纪(的)
privately|秘密
penchant|喜好(倾向)
protrude|突出
portability|可携带
photoflash|（照相）闪光灯
perishable|容易腐烂的
perry|梨子酒
potent|强有力的
providence|深谋远虑
pianist|钢琴家
peregrine|游隼 a外来的
prodigious|巨大的
petal|花瓣
proportionately|相称地
pram|婴儿车
prerequisite|先决条件
prizefight|职业拳击赛
plummet|铅锤 vi垂直落下
pacifier|调停者
pul|普尔(阿富汗辅币单位)
pinniped|鳍足类的
porcupine|[动]豪猪
percussion|碰撞
perpetuate|使永存
prairies|大草原
pigmentation|染色
postwar|战后的
protectionist|保护贸易论(者)
portrayal|描画
personalize|个人化
primordial|原始的
plasma|血浆
pantomime|哑剧
paleoecologist|古生态学家
primal|最初的
persuasively|有说服力的
prohibitive|禁止的
prospector|探勘者
preferentially|优先的
preschool|未满学龄的n幼儿园
pulverization|弄成粉
phosphorescence|磷光
platelet|[解] 血小板
politically|政治上地
prerecord|事先录音
pointillist|点彩派画家
predispose|(使)易罹患
preposterous|荒谬的
pane|窗格玻璃
predictability|可预见性
portraitist|肖像画家
periphery|外围
plank|厚木板(条)
plutonic|火成岩的
progression|行进
ppm|abbr. 百万分率
purification|净化
precarious|危险的
petrifaction|石化
ptarmigan|松鸡类
percolate|滤过之液体
pinhead|针头
paradoxically|相矛盾地
pedagogy|教学
paucity|极小量
poorhouse|救济院
porpoise|[动]海豚
piling|打桩
platypus|[动]鸭嘴兽
phoenix|凤凰
pluto|冥王星
patchy|补丁的
patricia|帕特丽夏（女子名）
petrochemical|石化的 n. 石化产品
prolifically|丰富地
peat|泥煤
prostrate|降伏的
protector|保护者
peru|秘鲁
popularize|普及
plentifully|丰富地
predicament|困境
pendant|垂饰
postmaster|邮局局长
preform|预先形成 n. 粗加工的成品
preoccupation|全神贯注
puddle|水坑
proboscis|鼻子
polyphony|复调音乐
paraphrase|解释 n. 释义
proportionally|成比例地
photogrammetry|照相测量法
puffin|[鸟]角嘴海雀
portraiture|肖像画法
priestess|女祭司
purposely|故意地
permeability|渗透性
permeable|有浸透性的
preponderance|优势
practicality|实用性
pictorial|图示的 n. 画报
peacetime|和平时期 adj. 和平时期的
ponderous|笨重的
phylum|(生物分类学上的)门
passageway|过道
phosphate|磷酸盐
preferential|优先的
premiere|初次公演 n. 初次的演出 adj. 杰出的
periodization|(历史等的)时期(或时代)划分
perceptive|感知的
painstaking|辛苦 adj. 辛苦的
pretension|借口
pancreatic|胰的
pancreas|[解]胰腺
pomegranate|[植]石榴
pylon|塔门
perennial|终年的
photodissociation|[物][化]光离解
pedagogic|教师的
prickly|多刺的
perm|/n电烫（头发）
preferably|更好地
peculiarly|古怪地
physiologically|生理上
processor|加工业者
pluralism|复数
photosphere|光球
preen|整理羽毛
primacy|首位
predetermine|预先确定
pennycress|[植]菥蓂
petiole|叶柄
paramount|极为重要的
pawnee|波尼族人(语)
parish|教区
patriarch|家长
primeval|原始的
psychoanalyst|心理分析学者
perceivable|可知觉的
posit|安置
puritan|清教徒 a清教徒的
permafrost|[地]永久冻结带
presage|预兆 v预示
peal|钟声  v(使)鸣响
professionalism|职业水准或特性
polychrome|彩饰的 n多彩艺术品
provincialism|地方风尚
portend|预示
predetermined|预订的
preservative|防腐剂
petticoat|衬裙
pinhole|针孔
pliable|柔顺的
proclivity|倾向
philippine|菲律宾的
pony|矮种马
pristine|质朴的
permineralization|完全矿化
pistachio|[植]阿月浑子树
propriety|适当
polarize|(使)偏振
patty|小馅饼
photojournalism|摄影新闻工作
preparedness|有准备
persuasive|说服者a善说服的
plethora|过剩
purge|清洗(除) n清洗
problematic|问题的
panhandle|狭长地带 v乞讨
pantomimic|哑剧的
pulp|酱
pathology|病理学
publicly|公然地
pique|生气
predate|提早日期
pretentious|自命不凡的
palatable|味美的
protagonist|提倡者
proudly|骄傲地
ploy|花招
politely|有礼貌地
ponytail|马尾辫(一种发型)
phonetic|语音的
pickaxe|鹤嘴锄
pestilential|引起瘟疫的
postmodern|后现代主义的
plum|[植] 李子
prearrange|预先安排
pavlova|奶油水果蛋白饼
pretense|借口
propensity|倾向
postgraduate|研究生
participator|参加者
patriarchal|家长的
programmer|程序师
paycheck|薪水支票
philology|语言学
pearly|珍珠似的
playful|爱玩耍的
prosaic|单调乏味的
profusion|丰富
pesky|讨厌的
purposefully|有目的地
proficiently|熟练地
putrefaction|腐败
pasteurization|加热杀菌法
pedagogical|教学(法)的
penal|刑事的
primer|初级读本
pelt|投掷
pella|斗篷
pike|长枪
pervasive|普遍的
placental|胎盘的 n有胎盘哺乳动物
printmaker|版画复制匠
parkway|公园道路
preexist|先前存在
preeminent|卓越的
postdate|填迟的日期 n事后日期
prepay|预付
percussive|冲击的
phenomenal|现象的
prohibitively|禁止地
proboscidean|长鼻类的 n长鼻目动物
precursor|先驱
pinon|矮松
pleasantly|令人愉快地
pressurize|增压
prod|刺
platitudinous|平凡的
platitude|陈词滥调
plaint|[诗]悲叹
prominence|突出
peddler|小贩
prodigy|惊人的事物
profitability|收益性
packer|包装工人
proprietorship|所有权
plainspoken|老实说的
predominance|优势
petrify|石化
pentagon|五角形
profoundly|深深地
profiteer|奸商 v. 牟取暴利
promoter|促进者
plantlike|似植物的
peart|有精神的
philanthropist|慈善家
purplish|略带紫色的
plasticity|可塑性
pont|(南非的)缆拉渡船
pivotal|重要的
pointe|（芭蕾舞中的）足尖舞
primatology|灵长类动物学
potentiality|(用复数)潜能
palimpsest|重写本
posthumously|在死后
philosophic|哲学的
poikilotherm|[动]变温动物
poikilothermic|[动]变温的
proprietor|所有者
playwright|剧作家
physic|医术 vt. 治愈
potion|一服
pivot|枢轴 v. 在枢轴上转动
proactive|积极主动的
penmanship|书法
part-time|兼职的
podium|讲坛
pliant|柔软的
pernicious|有害的
picky|挑剔的
psychoanalysis|心理分析
precautionary|预防的
palate|上腭
patriarchic|家长的
perquisite|津贴
polygamous|一夫多妻的
packed|拥挤的
plaudit|喝彩
prelude|前奏曲
preliterate|文字出现以前的
pensive|沉思的
pathological|病态的
pesticide|杀虫剂
placid|平静的
pocketbook|钱袋
pastel|彩色蜡笔的
puritanical|极守道德的
pinnacle|山顶
plumage|鸟类羽毛
piracy|海盗行为
pronounced|显著的
proofread|校对
perspicuous|明白易懂的
pointed|尖的
patronize|以高人一等的态度对待
potency|影响力
prostitution|卖淫
pharaoh|法老
plaque|匾额
polygamy|一夫多妻制
patriarchy|父权制
posthumous|死后的
picturesque|如画的
pm|出纳员, 军需官
p|便士
posted|贴出；布置；通告（post的过去分词）
pages|页数；青年侍从（page的复数）
posts|标杆；岗位；帖子；邮件（post的复数）
pictures|电影院
photos|照片, 图片；相册（photo的复数形式）
pc|个人计算机
porn|色情描写, 黄色书刊, 色情画, 色情照片, 色情文学
provides|提供, 供给, 供应( provide的第三人称单数 ); 规定; 提供[(+for)]; 装备
powered|有动力装置的, 用动力推动的, 产生动力的, 产生...动力的
pro|正面地
projects|项目；企划；工程（project的复数）
points|转轨器, 道岔
paul|保罗（男子名）
pics|[计] 生产信息控制系统
players|队员, 参与者；迷你音碟机, 雷射唱盘（player的复数形式）；玩家（player的复数形式）
pdf|概率分部函数（Probability Distribution Function）
pre|炼油工程师（Petroleum Refining Engineer）
pa|私人秘书, (露天)扩音系统
paypal|贝宝（全球最大的在线支付平台）
publications|出版物（publication的复数）
properties|性能；道具, 内容（property的复数形式）
peter|逐渐消失, 逐渐减少
pussy|〈非正式〉猫咪；〈侮辱〉女阴；〈侮辱〉娘娘腔
partners|合作伙伴；合伙人；伙伴（partner的复数形式）
providing|以...为条件, 假如
prev|上一个（previous）
proposed|被提议的；所推荐的
parties|当事人；聚会；党派；政党机关；同行者（party的复数）
php|个人网页（Personal Home Page）；服务器端编程语言（Professional Hypertext Preprocessor）；菲律宾比索；水解聚丙烯酸胺
phentermine|[化] 芬特明; 苯丁胺; 苯叔丁胺
purposes|目的；意志（purpose的复数形式）
papers|文件, 官方文件
pst|太平洋标准时间
procedures|程序；规程（procedure的复数）
packages|程序包；包装；包裹（package的复数）
pp|包裹邮递, 包裹邮件, 邮包, 包裹邮务处, 过去分词
pricing|[经] 定价, 标价
publishing|出版, 刊印, 发行
persons|人员；人们（person的复数）
particularly|特别, 格外, 尤其, 详细地, 细致地
provider|供应者, 供养人, 伙食承办人
po|邮局, 邮政汇票
processes|过程；进程（process的复数）
produced|创作；产生；制造（produce的过去式和过去分词）
providers|供应者, 提供者, （尤指）维持家庭生计者( provider的复数形式 )
practices|练习( practice的名词复数 ); 实践; （医生或律师的）业务; 惯例
porno|色情（书刊、电影等, 等于pornography）
plants|植物；工厂（plant的复数形式）
placed|放置（place的过去分词形式）
printing|印刷, 印刷术, 印花
played|玩耍；演奏；播放；参加竞赛（play的过去分词）
posters|招贴, 海报( poster的复数形式 ); 印成的大幅画
passed|已被传递的；已经通过的；已经过去的
pic|照片, 图片, 影片
professionals|专业人员（professional的复数）
payments|惩罚；薪资；支付；付款（payment的复数形式）
protocol|草案, 礼仪, 协议
provisions|存粮, 给养, 口粮, 食物, 粮食
principles|原则, 原理, 道义, 节操
pr|与公众的关系, 公关
protected|受保护的
portal|入口, 大门
parameters|参数；参量（parameter的复数）
profiles|配置文件；个人档案；剖面图（profile的复数）
performed|执行, 表演（perform的过去分词形式）
posting|[计] 记入, 记录, 稿件, 邮件
previously|先, 先前, 以前, 前, (非正式)过早, 过急, 在前, 在...以前, 在先
positions|定位；位置（position的复数）
panasonic|日本松下公司
printed|印刷的, 印好的, 印花样的
printers|打印机；印刷厂；印花平纹坯布（printer的复数）
prints|打印；图片, 相片；报刊, 印刷品；印花布（print的复数）
pda|[计] 个人数字助手
pieces|匹头, 毛束；件片块个工件零件
parks|帕克斯（人名）
patterns|模式（pattern的复数形式）
playstation|游戏机
personals|人事广告栏；人事栏
perl|实际抽取与汇报语言（Practical Extraction and Reporting Language）
proceedings|诉讼, 事项, 行径, 事件, 活动, 项目, 会议录, 记录汇编, 活动记录
printable|可印刷的, 适于出版的
portland|波特兰(美港口)
pdt|太平洋夏季时间
presents|出品；礼物（present的复数）
ph|氢离子指数
plays|戏剧集；戏剧（play的复数）
pt|[计] 点, 处理时间, 可编程序终端
psp|掌上游戏机（SONY推出的掌上娱乐平台）；起动前操纵台（Prestart Panel）
planned|计划了的, 预定的, 根据计划的, 有组织的
publishers|出版商, 出版公司；出版社（publisher的复数）
purchased|已经购买的
performing|表演的, 履行的
polls|投票；民意调查；投票模块（poll的复数形式）
packaging|包装, 包装业, 包装术
ps|[计] 实际顺序, 图象系统, 电源, 保护状态
periods|周期（period的复数）
preferences|[计] 参数选择
powers|权势；力量（power的复数形式）
photographs|照片；逼真的描绘（photograph的复数）
pittsburgh|匹兹堡
preferred|首选的
patrick|帕特里克（男子名）
puerto|垭口, 港口, 山口
putting|投掷；（高尔夫球）打球入洞
penis|阳物, 阴茎
pcs|[计] 个人通信业务
para|[经] 帕拉
pounds|磅, 英镑；重击（pound复数形式）
pg|部分不适合儿童观看的(电影)
programmes|（演出或活动的）程序( programme的复数形式 ); 计划; 节目; 课程
python|大蟒, 巨蟒
proposals|提议( proposal的复数形式 ); 推荐; 求婚; 赞成提案
purchasing|[计] 采购的
productions|生产( production的复数形式 ); 产量; 产品; 出示
par|标准, 票面价值, 平均数量, 同等水平
picks|凿；选择；精华；收获量（pick的复数）
prohibited|禁止, 被禁止的（prohibite的过去分词形式）
participating|由多人一起参加的, 由多方一起参加的, 股票使持有人有权参与分享的
passing|通过, 逝去, 死, 流逝
permitted|允许( permit的过去式和过去分词 ); 许可; 许用
priced|有定价的, 定价的
placement|放置, 布置, 工作安排, 编班, 定位球
presentations|介绍( presentation的复数形式 ); 报告; 提供; 展示会
pci|[计] 外部控制器接口, 构成控制器接口, 可编程通信接口
purchases|购买；进货（purchase的第三人称单数形式）
phil|哲学（philosophy）
pdas|(PDA 的复数) [计] 个人数字助手
plates|板材；平板；盘子（plate的复数）
philips|飞利浦（荷兰公司名）
pupils|学生( pupil的复数形式 ); 瞳孔; 弟子; 门生
pills|丸剂；药丸（pill的复数）
physicians|医生, 内科医生( physician的复数形式 )
pl|[化] 磷脂
producing|生产的
promotions|促销；升职（promotion复数）
patches|修补程序；补丁；斑块（patch的复数）
processed|处理的, 加工过的
platforms|台( platform的复数形式 ); 站台; （公开表达意见或在某方面发展的）机会; 纲领
promotional|增进的
portions|一部分( portion的名词复数 ); 一份遗产（或赠与的财产）; 分享的部份; 嫁妆
promoting|<正>促进( promote的现在分词 ); 提升; 推销; 使 （学生）升级
profits|收益, 红利；盈利（profit的复数）
pee|(英)便士, 小便
packard|帕卡德（姓氏）
payday|发薪日, 发工资日, 交割日, 过户结帐日
philip|菲利普（男子名）
poems|诗歌, 诗集（poem复数形式）
preparing|准备的
parker|停放车辆的人
personalized|个人化的；个性化的
partnerships|伙伴关系( partnership的复数形式 ); 合伙人身份; 合作关系
punk|废物, 小阿飞
pi|圆周率
producers|生产者, 制造者( producer的复数形式 ); 制片人
peripherals|（计算机的）外围设备, 周边设备( peripheral的复数形式 )
picked|精选的, 采摘的, 已收获的, 截出的, 已清除的, 有尖头的, 多刺的
podcast|播客
pissing|撒尿( piss的现在分词 ); 倾盆而下
plugin|相关插件；插件
polyphonic|多音的, 有多种声音的
packs|生存集群；包裹；资料袋（pack的复数）
phd|哲学博士学位（Doctor of Philosophy）
pe|[计] 相位编码
pentium|[计] 奔腾处理器
