internet|互联网
increased|增加
institutions|机构
if|如果
instincts|本能
increasingly|日益
it|它
included|包含
its|它的
identified|认出
including|包括
issues|问题
itself|它自己
instead|代替
indeed|确实
inexhaustible|用不完的
imminent|即将来临的
irrational|不合理的
inherent|固有的
ineffective|无效的
imbalance|不平衡
irrigation|灌溉
ideological|意识形态的
inaction|不作为
irony|讽刺
insurer|保险公司
inanimate|无生命的
ideologically|意识形态上地
industrious|勤奋的
injustice|不公正
irrelevant|无关的
interactive|〔人与计算机程序、电视系统等〕交互的
infectious|感染的
isolation|隔绝
incidence|发生率
immensely|非常
inescapable|不可避免的
impair|损害
intertwine|交织
inhale|吸入
indiscriminately|不加选择地
indicative|指示的
incompetence|无能
incalculable|不可估量的
indifferent|冷漠的
incentive|刺激
invasion|入侵
interaction|相互影响
inferior|比……差
imperial|帝国的
instant|立即的
ingenuity|创造力
intensely|强烈地
instinctively|本能地
intriguing|有趣的
interference|干涉
incompatibility|不兼容
intrinsic|本质的
instantaneous|即时的
inheritance|继承
incidentally|顺便地
incompetent|无能力的
immersive|沉浸的
intolerant|无法容忍的
imperative|必须的
impart|传授
intervention|干涉
intuitive|直觉的
irreversible|不可逆的
interracial|种族间的
indispensable|必不可少的
immigration|移民
initially|最初
intonation|语调
ignite|引燃
inasmuch|因为
instrumental|器乐的
islam|伊斯兰教
ivory|象牙（质）
incense|香
inversely|相反地
intake|吸入
ignorance|无知
insignificant|无意义的
indefinite|无限期的
infinitely|无限地
infinite|无限
innumerable|无数的
inorganic|无生物的
incapable|无能力的
illiterate|文盲的 n. 文盲
idealism|唯心主义
inference|推论
insulate|使绝缘
interconnect|使互相联系
ice|使成冰
identification|身份证
inclination|倾斜
implore|乞求
intent|目不转睛的
intellect|理智
ideally|理想地
ion|离子
idleness|懒惰
inaugurate|使就职
induction|就职
inlet|水湾
intercourse|交际
inspector|检查员
insistent|坚持的
ingenious|精巧制成的
illusion|幻想
inertia|惯性
impartial|公正的
insulator|隔离者
indignation|愤怒
installment|分期付款
imitation|仿制品
infinity|无穷大
inaccessible|达不到的
immortal|不朽的
incompatible|不相容的
instability|不稳定性
inevitably|不可避免地
irrespective|不考虑的
inaccurate|不精密的
irregularity|不规则
impurity|杂质
invariably|不变地
invalid|病人
icy|冰冷的
inclusive|包括的
idiot|白痴
immigrate|（使）移居入境
indication|指出
intimidate|vt. 恐吓
inferiority|自卑
invaluable|非常宝贵的
impulsive|冲动的
involvement|连累
interpersonal|人与人之间的
idiom|习语
intensive|加强的
independence|独立
invert|vt. 使倒转
imaginary|想象中的
isle|小岛
indignant|愤怒的
instructional|指导的
insane|极蠢的
implicit|不言明的
intrigue|vi. 耍阴谋
intelligible|可理解的
intricate|错综复杂的
intermittent|间歇的
inventory|详细目录
intricacy|错综复杂
inhabitant|居民
impetus|推动
insulation|绝缘
interim|暂时的
inverse|相反的
illustration|插图
introduction|(to)介绍
impressive|感人的
impression|印象
inch|英寸
instruction|指令
infrared|红外线 adj. 红外线的
installation|安装
illness|病
invariable|始终如一的
inn|小旅馆
instalment|分期付款
inward|向内
idle|空闲的
incorrect|不正确的
iceberg|冰山
introductory|引导的
industrialization|工业化
isotope|同位素
investigation|调查
investigator|调查人
investor|投资者
islander|岛上居民
invertebrate|无脊椎的
infantile|幼稚的
imprint|留下烙印
indicator|指示器
ichthyosaur|鱼龙
inexpensive|廉价的
interplay|相互影响
icebox|冷藏库
invader|侵略者
inclusion|包含
indiana|印地安那州
illumination|阐明
igneous|(指岩石)火成的
interlock|互锁
illinois|伊利诺斯州(美国州名)
inability|无能
incubation|孵化
inscription|题字
interstellar|星际的
inequality|不平等
immobile|不动的
impressionist|印象主义者
intensively|加强地
internally|内部地
intrinsically|内在地
inferential|推理的
individualistic|个人主义的
informant|通知者
imitative|仿制的
incubate|孵卵
interglacial|间冰期的
incise|切入
igloo|圆顶建筑
inefficient|效率低的
individualism|个人主义
instinctive|本能的
imagist|意像派者(的)
inca|印加人(古代秘鲁土著人)
incursion|侵犯
industrialism|产业主义
identifiable|可辨认的
inscribe|题写
intercity|城市间的
influx|流入
impend|迫近
interrelationship|相互关系
ionize|使离子化
integration|综合
invoke|恳求
inuit|因纽特人
imposition|强迫接受
inactivity|不活动
indus|印度河（印度西北部的河流）
incidental|偶然的
intruder|入侵者
intentionally|有意地
impractical|不切实际的
immaturity|不成熟
imagery|意象
insecure|不安全的
improvise|即兴创作
immeasurably|无法计量地
icicle|冰柱
inhospitable|不好客的
incongruous|不协调的
infrequent|不频发的
ironwork|铁制品
indirectly|间接地
isotopic|同位素的
instructive|有益的
instigate|鼓动
inadequacy|不充分
inconclusive|非决定性的
intestine|内部的
iroquois|易洛魁族人
invisibly|看不见地
instrumentalist|乐器演奏家
inedible|不能吃的
ibex|野生山羊
iridescent|闪光的
illusory|虚幻的
imitator|模仿者
incandescent|遇热发光的
implicitly|含蓄地
infusion|灌输
infancy|幼年
inspection|检查
innermost|最里面的
inactive|不活动的
intergalactic|银河间的
id|abbr. 身份 (identification
incomprehensible|费解的
intoxication|陶醉
immersion|沉浸
improvisation|即席创作
instantly|立即地
ingoing|进入的 n. 进入
inconspicuous|不显眼的
interplanetary|太阳系内的
impersonation|扮演
inadvertently|非故意地
incubator|培养的器具
individually|个别地
individuality|个性
impersonal|客观的
indigestible|不吸收的
inception|起初
indecipherable|无法解释的
internationally|国际性地
impressionistic|印象派的
interchangeable|可互换的
inducible|可诱导的
ingot|[冶]锭铁
insoluble|不能溶解的
immobility|牢固
irresponsibly|不负责任地
impediment|妨碍
inborn|天生的
immutable|不变的
imperfect|有缺点的
intentional|故意的
incinerate|把烧成灰
inconvenient|不便的
inducement|诱因
intestinal|肠的
idealization|理想化
interdependent|相互依赖的
infiltration|渗透
importation|进口
intaglio|凹雕
incorrectly|错误地
impressively|令人难忘地
infinitesimally|极小地
impermeable|不能渗透的
insistence|坚持
indeterminate|不确定的
inflection|变形
incoming|引入的
immature|不成熟的
interdependence|互相依赖
inappropriate|不适当的
intermittently|间歇地
impermanence|暂时
impenetrable|不能穿过的
infertile|贫瘠的
implicate|含意
idiomatic|地道的 成语的
intimacy|亲密
ironically|具有讽刺意味地
inter|埋葬
iconography|肖像学
innate|先天的
indigenous|本地的
incessant|不断的
interviewer|会见者
inhibition|禁止
inconsistency|矛盾
incompletely|不完全地
intellectually|理智地
incessantly|不间断地
intercommunity|共同性
insightful|有深刻见解的
intently|专心地
inflow|流入
incapacitated|使不能
industrialist|工业家
interstitial|空隙的
intertidal|潮间带(的)
inflexibly|不弯曲地
implausible|难信的
invigorate|鼓舞
intelligently|聪明地
indigo|靛
irritability|过敏性
irresponsible|不负责任的
incorporation|合并
inconspicuously|难以觉察地
irreparable|无法修复的
indiscernible|看不清的
ignition|点火
idyllic|田园短诗的
iconographic|肖像的
introspective|反省的
inundate|淹没
idealistic|理想主义的
impinge|撞击
indebted|受惠的
insatiable|不知足的
impervious|不透的
indefinitely|不确定地
interstate|州际的
irregularly|不规则地
insensitivity|感觉迟钝
incipient|初期的
irresistible|不可抵抗的
intrusion|闯入
inactivate|使不活泼
impartially|公平地
irrationally|无理性地
inoffensive|不触犯人的
impregnate|使怀孕
immobilize|固定不动
infest|骚扰
ingeniously|贤明地
incongruity|不调和的
induct|感应
insurmountable|不能克服的
instantaneously|即刻
insanity|精神错乱
infrequently|罕见地
inanity|空虚
irreverence|不尊敬的
irreverent|不敬的
importer|输入者
intimately|密切地
innkeeper|旅馆主人
intricately|杂乱地
interferometer|干涉计
imbibe|吸收
inchworm|[昆] 尺蠖
indifference|不关心
inflexible|不可弯曲的
inexplicable|无法解释的
improbable|不大可能的
imprisonment|关押
illustrator|插图画家
inadequately|不够地
inextricably|分不开地
imprecise|不精确的
irritable|急躁的
infiltrate|渗入
inflate|充气
impel|驱使
influenza|流行性感冒
indict|控诉
inviting|动人的
insolvent|财力不足的
impending|即将发生的
indolent|懒惰的
indigestion|消化不良
incredulous|怀疑的
inert|无活动的
idealize|将…理想化
infuriate|激怒
intern|实习生 vt.  拘禁
interrogate|审问
incapacitate|使无资格
infirm|虚弱的
injurious|侮辱的
ideomotor|观念运动的
illustrative|作为例证的
interrelate|相互关联
interweave|交织
impede|妨碍
intrepid|勇敢的
insulin|胰岛素
ironic|说反话的
intervening|介于中间的
instill|慢慢灌输
innovate|革新
internship|实习期
increment|增加
indigent|贫困的
infatuate|使迷恋
illegible|难以辨认的
informed|有学识的
instinctual|本能的
i|我
info|信息
items|项目；名目；所有物品（item的复数形式）
ii|微光（Image Intensification）
images|图片；意象（image的复数）
includes|包含；包住（include的三单形式）
inc|根据法律组成的公司, 公司
ip|[计] 初始排列, 指令指示器, 互连网协议
ie|[计] 中断启动
iii|num. 罗马数字3
il|[计] 指令表, 中间语言, 解释语言
int|[计] 整数, 中断
incest|近亲相奸, 乱伦
instructions|指令；说明（instruction的复数形式）
isbn|[计] 国际标准书号
instruments|乐器；工具；仪器（instrument的复数）
ibm|美国国际商用机器公司
interests|兴趣( interest的名词复数 ); 利益; 利息; 关注
immediately|直接地, 立刻, 立即
integrated|综合的, 完整的, 互相协调的
im|[计] 中断屏蔽, 指令存储器
ipod|苹果公司音乐播放器
intended|有意的, 故意的
issued|发布, 发行（issue的过去分词形式）
iv|输入阀；交互式视讯；自变量（Independent Variable）
installed|安装的；已装入的
iowa|衣阿华州
industries|行业, 工业；实业公司（industry的复数）
intel|美国英特尔公司（财富500强公司之一, 以生产CPU芯片著称）
inches|英寸（inch的复数）
interviews|接见( interview的名词复数 ); 采访; 面谈; 会谈
indicated|表明的; 指示的
increases|增加量( increase的名词复数 )
idaho|爱达荷州
ia|[计] 指令地址, 集成转接器
indicates|指示, 显示；表明（indicate的第三人称单数形式）
iso|[计] 国际标准化组织
indexed|编入索引的；有索引的
implemented|执行；实施（implement的过去分词形式）
investments|投资, 投资的财产；投资学（investment的复数形式）
improvements|增加或修改( improvement的复数形式 ); 改进; 改善; 改良
ing|惯性导航与制导（Inertial Navigation and Guidance）；强中子发生器（Intense Neutron Generator）
injuries|伤害, 损害( injury的名词复数 ); 受伤处
imaging|[计] 成象
investors|投资者, 出资者( investor的复数形式 )
incorporated|根据法律组成的公司, 公司
involving|包括；涉及；使陷于（involve的ing形式）
investing|[医] 包埋, 围模
initiatives|主动性( initiative的复数形式 ); 主动的行动; 初步; 主动权
ian|伊恩（男子名）
invited|邀请；引起, 招致（invite的过去分词）
institutional|制度的, 公共机构的, 学会的
indicators|（仪器上显示温度、压力、耗油量等的）指针( indicator的复数形式 ); 指示物; （车辆上的）转弯指示灯; 指示信号
icons|核标准情报中心[美]（Information Center on Nuclear Standards）
implementing|实现；实施, 执行
ingredients|材料；作料
insider|内部的人, 权威人士, 知道内情的人
implications|蕴涵式；卷入（implication的复数）
img|美国国际管理集团（International Management Group）
involves|包含；牵涉（involve的第三人称单数形式）
illustrated|有插画的报章杂志
impacts|影响, 作用( impact的名词复数 ); 碰撞; 冲击; 撞击
induced|感应的；诱发型
islamic|伊斯兰教的, 穆斯林的
ieee|[计] 标准总线接口, 电气电子工程师学会
integer|完整的事物, 整体, 整数
interfaces|界面( interface的复数形式 ); <计>接口（连接两装置的电路, 可使数据从一种代码转换成另一种代码）; 交界; 联系
inkjet|喷墨打印机；喷墨
ic|集成电路
interactions|一起活动( interaction的复数形式 ); 合作; 互相影响; 互动
intro|介绍
identifying|识别, 标识；标识关系
installing|安装；插入；任命
inspired|得到灵感的, 有灵感的, 官方授意的
indianapolis|印第安纳波利斯（美国印第安纳州首府）
isp|[医] 同位素分离率
ins|惯性导航系统（Inertial Navigation System）；国际新闻社（International News Service）；信息网络系统（Information Network System）
ir|[化] 红外光谱法
informational|信息的, 情报的, 提供消息的, 介绍情况的, 提供情报的
imports|进口商品；进口总额（import的复数）
indians|印第安人；印度人（Indian的复数）
ist|胰岛素休克疗法（insulin shock therapy）；星际航行（Interplanetary Space Travel）；独立悬挂减震系统（Independent Suspension Technology）
investigations|（正式的）调查( investigation的复数形式 ); 侦查; 科学研究; 学术研究
icq|网路呼叫器（一种网络通讯软件, 等于I Seek You）
imposed|强加的；施加的；应用的
implied|暗指的, 含蓄的
inns|国际神经网络协会（International Nerve Network Society）
instances|例子, 实例( instance的名词复数 )
incentives|激励某人做某事的事物( incentive的复数形式 ); 刺激; 诱因; 动机
indicating|指示；表明
inquiries|调查( inquiry的名词复数 ); 疑问; 探究; 打听
infected|被感染的
irc|国际红十字会
infections|传染病；口腔病害（infection复数形式）
inline|[计] 内联
ide|集成电路设备
illustrations|插图；插画（illustration的复数）
identifier|检验人, 标识符
introducing|介绍；引介（introduce的现在分词形式）
inputs|输入；投入（input的复数）
indie|独立制片人, 独立制作的影(唱)片
ignored|忽略；不理会；不顾（ignore的过去分词）
ict|结缔组织炎症（Inflammation of Connective Tissue）；粘土工艺学会（Ins-tit
insights|洞察力；眼力；深刻见解（insight的复数）
initiated|开始( initiate的过去式和过去分词 ); 传授; 发起; 接纳新成员
independently|独立地, 自立地
itunes|苹果公司最热门音乐软件（苹果公司开发的与iPod搭配的在电脑上使用的音乐播放器和音乐管理器）
implies|暗示, 暗指( imply的第三人称单数 ); 必然包含; 说明, 表明
ix|离子交换（Ion Exchange）
inherited|遗传的；继承权的；通过继承得到的
insured|被保险人
infants|婴儿, 幼儿( infant的复数形式 )
italiano|（意）意大利语
incurred|遭受；招致（incur的过去分词）
identifies|认出( identify的第三人称单数 ); 支持; 确认; 辨认
indexes|指数；索引；标准（index的复数）
introduces|介绍
irs|美国国税局（Internal Revenue Service）
innovations|改革( innovation的复数形式 ); 新观念; 新事物; 新设施
influenced|影响性的
italic|斜体的
incidents|发生的事( incident的复数形式 ); 小插曲; 敌对行动; 骚乱
inf|中程核力量（Intermediate-range Nuclear Forces）
investigated|调查( investigate的过去式和过去分词 ); 审查; 侦查; 研究
issn|[计] 国际连续出版物编号码
integrating|整合；积分；集成化（integrate的ing形式）
institutes|学院（institute的复数）
instructors|指导者, 教师( instructor的名词复数 )
io|[计] 输入输出
inbox|[计] 入站
incl|包括（including, included）；包括的（inclusive）；包围（enclosure）
influences|影响( influence的名词复数 ); 势力; 有影响的人（或事物）; [占星学]星力
inspections|检查( inspection的复数形式 ); 检验; 视察; 检阅
intervals|[军事]间隔( interval的复数形式 ); 间隔时间; [数学]区间; （戏剧、电影或音乐会的）幕间休息
investigators|调查者, 审查者( investigator的名词复数 )
isa|[计] 指令系统体系结构, 工业标准结构
inserted|插入的；嵌入的；著生的；附着的
invitations|（口头或书面的）邀请( invitation的复数形式 ); 请柬; 鼓励; （尤指）怂恿
impaired|受损的
interpreted|解释( interpret的过去式和过去分词 ); 理解; 把…理解为; 演绎（按自己的感觉演奏音乐或表现角色）
immigrants|移民（immigrant的复数）
italia|意大利
installations|装置( installation的复数形式 ); 安装; 就职; 军事设施
intranet|[计]内联网；企业内部网
isaac|艾萨克（男人名）；以撒（希伯来族长, 犹太人的始祖亚伯拉罕和萨拉的儿子）
ips|[计] 英寸/秒
ira|爱尔兰共和军（Irish Republican Army）；个人退休帐户（Individual Retirement Account）
istanbul|伊斯坦布尔
interventions|介入, 干涉, 干预( intervention的复数形式 )
immunology|免疫学
ind|印度；印第安纳州
indices|pl. 索引, 指针, 指数, 指标
intl|[经] 国际的
insects|昆虫；昆虫类, 昆虫纲（insect的复数形式）
insertion|插入, 刊载, 插入物
instrumentation|乐器法, 仪器制造学, 仪表化
ids|标识部分（Identification Section）
infringement|违犯, 侵害, 违反, 侵犯
iridauxesis|[医] 虹膜肥厚
interstation|[计] 台间
iodous|亚碘的
idolatrously|idolatrous的变形
icarus|[希神]伊卡洛斯（代达罗斯的儿子）
issuance|发行, 发布
includible|可包括在内的
instigative|instigation的变形
insouciance|无忧无虑
intransigent|非妥协性的
indigofera|[医]槐蓝属
illuminating|有启发性的
inveighing|猛烈抨击, 痛骂, 谩骂( inveigh的现在分词 )
interwrought|互相作用, 使交织在一起( interwork的过去式和过去分词 )
incendiarism|放火, 煽动
infallibly|绝对无误地
imbittering|加苦味于；使难受；使受苦；加重（等于embitter）
insomnolence|失眠
insection|齿纹；切开, 切口
inexhaustive|不详尽的, 不彻底的
inhabitance|住所（等于inhabitancy）
inurn|把骨灰装罐, 埋葬
insulators|绝缘、隔热或隔音等的物质或装置( insulator的复数形式 )
isoseismic|等震的
imburse|放入钱袋, 付还
impassive|无感情的, 冷淡的, 无感觉的, 不能伤害的
inseparable|不能分的
impiously|不信神地, 不虔诚地
incisiveness|敏锐, 深刻
immodesty|无礼
innovational|革新的, 富有革新精神的
infuriately|狂怒地
imbeciles|低能者, 傻瓜( imbecile的复数形式 )
isomere|同质异能素
inheriting|继承( inherit的现在分词 ); 经遗传获得（品质、身体特征等）接替（责任等）, 继任
imogen|伊莫金(女子名)
ischiatic|[医] 坐骨的
intermissive|间歇的, 断断续续的
interbranch|分行往来
indwells|（精神、原则等）永存（indwell的第三人称单数形式）
insolence|傲慢, 无耻, 傲慢态度
interrogates|询问( interrogate的名词复数 ); 审问; （在计算机或其他机器上）查询
intitle|取名, 给予称号
interspecies|种间
inductivity|诱导性, 感应率
ignipuncture|[医] 火针术
inquinate|[医]（拉inquinatus）污浊的, 淡黑色的
intussuscept|摄取,吸收
isoteniscope|液体蒸气压力计
intradural|[医] 硬膜内的
incases|装进箱（incase的第三人称单数形式）
irritants|刺激物, 刺激因素( irritant的复数形式 )
iridal|[医] 虹膜的
isthmian|地峡区域之居民
intuitively|[计] 直觉地
imago|意象, 成虫
iodol|碘末防腐剂
initializes|初始化（initialize的第三人称单数）
indurates|& vi. （使）坚硬, 变得坚硬（indurate的第三人称单数形式）
interphone|对讲机
interisland|岛与岛之间的,岛际的
iconoscope|光电摄像管
immures|禁闭, 监禁（immure的第三人称单数形式）
irrigates|灌溉( irrigate的第三人称单数 ); 冲洗（伤口）
invading|侵入, 侵略( invade的现在分词 ); 涌入; 侵袭; 侵犯
intervallum|内外墙间隔带
intenerate|使变软,软化
intima|[解]内膜
inclining|倾向；爱好
incurvity|内弯；内曲线球 (incurve的变形)
imploratory|implore的变形
insetting|插图, 插页；插入物
injects|（给…）注射（药物等）( inject的第三人称单数 ); （给…）注射（液体）; （给…）添加; （给…）投入（资金）
iodized|用碘处理, 使碘化( iodize的过去式和过去分词 )
inciters|(inciter 的复数) 教唆犯
idioglossia|自我语法, 自语症
ingester|摄食者
ironmonger|金属器具商, 五金商
ideograph|表意文字
inexertion|不努力,不使劲,无行动
isolette|不足月婴儿人工抚育器
immitted|引入, 注入
interiors|内部( interior的复数形式 ); 里面; 内地; （国家的）内政
interneural|[医] 神经间的
interminated|[古语]无终止的；无限制的
insufflate|喷酒, 吹入, 对...吹气
infamized|使声名狼藉
indicatives|陈述语气的动词形式( indicative的名词复数 )
interaural|耳间的
insipience|愚蠢
ignorantness|无知
interfluve|河间地,分野
inviolacy|未亵渎的, 未受侵犯的, 无污点的
instructing|教( instruct的现在分词 ); 通知; 教授; 命令
implacental|无胎盘动物
iguanodon|禽龙
impedance|阻抗
isoseismal|等震线的
irenical|促使和解的, 有助于和平的, 和平的
innocency|无罪, 洁白
ineffably|难以言喻地, 因神圣而不容称呼地
idiogenous|同成的
impresa|箴言, 箴言牌, 题铭
impassioning|激动, 激起热情( impassion的现在分词 )
irking|<正, 文>使烦恼, 激怒( irk的现在分词 )
inwardness|本质, 深意, 灵性, 精神性, 思想的深度, 诚挚, 感情的深度
immutability|不变, 不变性
ingestible|可摄取的
inalimental|[医] 无营养的
irons|镣铐
isogam|等重(力)线, 等磁场强度线
inundating|淹没( inundate的现在分词 ); （洪水般地）涌来; 充满; 给予或交予（太多事物）使难以应付
irradicably|irradicable的变形
infixation|infix（钉牢, 钉进）的变形
imbosom|(=embosom)拥抱, 怀抱
innocuous|无害的, 无伤大雅的
iconic|[计] 图标的
ilicin|冬青(苦)素
itinerated|巡回( itinerate的过去式和过去分词 )
intermedia|媒介物
infaust|不利的, 不吉的
iridous|[化]亚铱的,三价铱的
ionization|离子化, 电离
iterates|重复（iterate的第三人称单数形式）
ischiopubis|[医] 坐耻骨连接处, 坐耻骨
ichnolite|[地]足迹化石,化石足迹
immoralism|对传统道德的漠视[反对],非道德论
incapacities|(incapacity 的复数) n. 无能力, 不适当
inveiglement|[法] 诱骗, 骗取, 笼络
indiscreetly|轻率地
integrities|正直( integrity的名词复数 )；完整；[计算机]保存；健全
ilk|相同的
ilmenites|(ilmenite 的复数) n.[矿]钛铁矿
incrassative|增厚的 (incrassate的变形)
inextirpable|无法根除的, 无法消灭的
irrupting|突然冲入( irrupt的现在分词 )
infantryman|步兵
improvidence|无先见之明, 浅见, 浪费
inheritances|继承物( inheritance的复数形式 ); 遗产; 遗传特征
isostemonous|[医] 同基数雄蕊的
inurbane|粗野的, 无礼的, 粗鄙的
interjected|插入的, 居间的, 补入的
indulgency|任性, 着迷, 沉溺, 放肆, 纵容, 娇养, 嗜好, 付款延期, 恩惠, 免罪, 特惠
incandescing|（使）白热化( incandesce的现在分词 )
intercadence|[医] 介脉, 脉间脉
inners|内部, 里面（inner的复数形式）
inelastic|无弹性的, 无弹力的, 无适应性的
iodizes|用碘处理, 使碘化（iodize的第三人称单数形式）
igraine|伊格赖因(英国亚瑟王传奇中的母后, 亦作Ygerne)
insculp|<古>在…上雕刻, 雕塑
impenitency|不悔悟, 顽固
isthmectomy|[医]峡部切除术, 甲状腺切除术
inurned|把骨灰装罐, 埋葬( inurn的过去式和过去分词 )
idiopathetic|[医] 自发的, 特发的
infraocular|[医]眼下的
inactivating|使不活泼, 阻止活动( inactivate的现在分词 )
interlacing|[计] 交错, 交叉存取, 隔行扫描
interlinkage|[计] 链接, 互连, 联接, 链环, 交链
icicled|挂着冰柱的
intercessor|仲裁者, 调解人
ingate|[机] 进模口
impalpably|不能感知地, 难以理解地
isoemodin|异大黄素
inkiness|漆黑, 涂有墨水, 墨水污染
isochronal|等时的
impugn|责难, 抨击, 攻击
ingle|炉火, 壁炉
incorrection|不正确, 不对, 错误；失礼；失礼的言行
improvers|(improver 的复数) n. 改良者, 改善者
interscene|插入镜头
infinitum|永远（无限地；以至无穷大）
incubuses|梦淫妖( incubus的名词复数 ); 噩梦; 像噩梦压迫着人的事物; 精神压力
isogametic|[医]同配生殖的, 同形接合的：以生成同样大小配子为特征的
interstitium|[医] 小间隙
imprest|预付款
ichthyism|[医] 鱼中毒
increments|增长( increment的复数形式 ); 增量; 增额; 定期的加薪
inclasp|(=enclasp)抱住
ingurgitated|狼吞虎咽, 大吃大喝( ingurgitate的过去式和过去分词 )
identifiers|标示符；标识符；识别码（identifier的复数）
issuant|[罕] 发表的, 发行的
initialling|用姓名的首字母作标记（或签名）于( initial的现在分词 ); 草签; 用姓名的首字母作标记（或签名）于( initial的现在分词 ); 草签
inking|[计] 墨迹式画图
impotency|无力, 虚弱, 软弱无能, 无能力, 无效, 无法可想, 阳萎
insipidness|没有味道, 清淡
interstates|(interstate 的复数) a. 州际的
instigation|鼓动, 煽动, 教唆
insnaring|落于陷阱, 诱入圈套( insnare的现在分词 )
inadmissibly|inadmissible的变形
irredentist|民族统一主义者
insults|侮辱；辱骂（insult的第三人称单数）
inspirited|激励( inspirit的过去式和过去分词 )
inlook|内心省察, 向内看
irreligion|无宗教, 反宗教
insensibly|不知不觉地, 徐徐地
ingulfing|吸进；卷入；投入深渊
impinger|[化] 冲击器; 冲击雾化器
insularism|岛国根性;褊狭性
inpatient|住院病人
immolating|宰杀…作祭品( immolate的现在分词 )
ideates|形成概念（ideate的第三人称单数形式）
