new|新的
nyc|纽约市（New York City）
nike|胜利女神, 奈克导弹
ncaa|（美国）全国大学生体育协会（National Collegiate Athletic Association）
ng|[化] 硝化甘油
neil|尼尔（男子名）
netscape|美国网景公司
nodes|节点（node的复数形式）
nissan|尼桑（日产汽车名）
norton|诺顿（男子名）；诺顿公司（美国一软件公司）
nurses|护士；褓姆, 看护（nurse的复数）
norfolk|诺福克(英格兰郡名)
nhl|全国曲棍球联合会（National Hockey League）
ni|[医] 镍(28号元素)
nn|neural network 神经网络；Network Node 网络结点
newton|牛顿
newport|新港；纽波特（美国罗得岛之避暑胜地）
nascar|全国运动汽车竞赛协会（National Association of Stock Car Auto Racing）
nav|资产净值（net asset value）
newcastle|纽卡斯尔（英国港市）
nuts|狂热的, 发狂的, 疯的
np|[医] 镎(93号元素)
negotiations|磋商；谈判（negotiation的复数）
namibia|纳米比亚
nano|[计] 纳, 毫微
notified|通知, 告知, 报告( notify的过去式和过去分词 )
nb|注意, 留心
neighbors|街坊邻里, 邻居；邻国；邻元素（neighbor的复数）
nuke|核武器, 核电厂, 原子核
nicole|尼科尔（女子名, 等于Nichole）
notifications|通知；通告；[法] 告示（notification的复数）
nu|希腊字母第13字
nipple|乳头, 奶头, 奶嘴
nonprofit|非赢利的, 无利可图的
novels|小说（novel的复数）
nasdaq|全国证券交易商自动报价系统协会（National Association of Securities Dealers Automated Quotation）
nhs|国家医疗保健机构
nicholas|尼古拉斯（男子名）
naturals|非常适合或肯定成功的人或事物( natural的复数形式 )
neo|[计] 最新式
nat|守护神, 精灵
newbie|[计] 新成员
newer|更新的, 更新
nam|全国制造商协会(美国)
nightlife|夜生活
nicaragua|[经] 尼加拉瓜
nudist|裸体主义者
nottingham|诺丁汉郡(英格兰郡名), 诺丁汉市
nathan|南森（男子名）
nails|钉子（nail的复数）
niagara|尼亚加拉, 尼亚加拉河, 急流, 泛滥的洪水
newfoundland|纽芬兰
nudity|裸露, 裸露物, 裸体像
nvidia|恩威迪亚（芯片厂方）
nbc|全国广播公司(美国)
nomination|提名, 任命, 提名权
nirvana|天堂
nato|北大西洋公约组织, 北约组织
nominations|提名, 任命( nomination的复数形式 )
namespace|[计]命名空间
nominated|被任命的；被提名的
niger|尼日尔
ntsc|[电] 国际电视系统
naples|那不勒斯
newark|纽瓦克市（美国新泽西州港市）
neural|神经的, 神经系统的, 神经中枢的, 背的
nested|嵌套的
notre|（法）我们的
newman|[计] 牛曼
nereids|涅瑞伊得斯（海仙女）；日本原装美腹精华（产品名）
nold|nonlinear optical laser device 非线性光学激光器件
nympholeptic|nympholepsy的变形
neuropteran|脉翅目昆虫adj.脉翅目的
nutritiously|有营养成份地；营养丰富地
naphthol|萘酚
neurotherapy|[医] 神经病疗法
nemertinean|& adj.[动] 纽虫(=nemertean)
nostalgy|[医] 怀乡病
nasciturus|[法] 胎儿
nazism|纳粹主义
nickels|<化>镍( nickel的名词复数 ); （美国和加拿大的）五分镍币, 五分钱
naturalize|授与...以国籍, 使入国籍, 移植, 移养, 采纳, 顺化, 归化
neuromalakia|[医] 神经软化
notopterid|弓背鱼
niantic|[地名] [美国] 奈安蒂克
nonstorage|非积[存]储式
nozzles|管嘴, 喷嘴( nozzle的复数形式 ); 火嘴
nomenclature|命名法, 专门语, 术语
neutrodyne|[电] 平差式
nosetiology|病因学, 病原学
nyctinasty|[植]感夜性,就眠性
neurons|神经元（neuron的复数形式）
nektonic|[生物] 自游的
nonworker|[网络] 非工作
nonmiscible|不混合的, 不容易混合的
nother|[俚]各异的, 不同的
necrotic|坏死的, 枯斑的
nibbing|钢笔尖；嘴；鹅管笔的尖端
northings|(northing 的复数) n. 北向纬度差, (天体的)北偏, 北航
neuroblast|[生]成神经细胞
nonmembers|(nonmember 的复数) n. 非会员
nullifying|使抵消( nullify的现在分词 ); 使无效
navahos|纳瓦霍人（美国最大的印第安部落）( Navaho的名词复数 )
noncrossover|[生]非交换型的
nightspot|夜总会; 夜点
nirvanic|涅槃的
neutered|无性动物；中性名词；阉割动物
nycteribiid|蛛蝇
newsroom|新闻编辑部, 报刊阅览室, 售报处
nitrobenzol|[化] 硝基苯
nudism|裸体主义
nodular|小节的, 地核状的, 小结节的
negativist|否定论者, 怀疑主义者
nitridize|氮化
nephrogenic|[医]肾原性的,肾发生的
nomenclator|命名者, 词汇手册
northland|北国, 北部地方, 北部地带
namesakes|同姓的人( namesake的复数形式 ); 同名的人; 同姓名的人; 同名的事物
numerously|多数地;无数地
newsboard|布告牌
nonresistant|不抵抗的, 不抵抗主义者的
nexus|连结, 关系
nitrile|[化]腈
nonstriated|(=smooth muscle)无横纹的(指肌肉)的
nonautomatic|非自动的
nocturn|夜祷, 夜礼拜, 夜曲, 夜景画, 梦幻曲
nepotism|偏袒亲属, 起用亲戚
necrophiliac|, n. necrophilia的变形
nosogenic|[医] 发病的, 病原的
norbert|诺伯特(m.)
nitrified|使与氮化合, 用氮饱和, 硝化( nitrify的过去式和过去分词 )
noncontent|英国上议院中投反对票的议员(活动)
nucleotide|核苷酸
natch|<口>当然地
notating|以符号表示, 把…写成记号（或标志）( notate的现在分词 )
nyanza|湖泊(位于非洲东南部的)尼亚萨湖
nonprinting|不打印
nagual|(墨西哥和中美洲印第安人信奉的)守护神
northering|来自北方的大风(或风暴)；[美国英语]强(冷)北风
nigger|黑人, 社会地位低下的人, 深棕色
numina|numen的复数
normality|常态
nourishes|养育( nourish的第三人称单数 ); 喂养; 保持; 增长（情绪等）
nachus|<意第绪> n.(尤指因他人或本人的成就而引起的)得意
noumena|noumenon 的复数
nake|耐克
naysayer|拒绝者, 否认者, 老是唱反调的人
nyctalopy|夜盲；夜盲症 (nyctalopia的变形)
namaste|(印度)合十礼
neckerchiefs|围巾, 颈巾( neckerchief的复数形式 )
necropsy|验尸
nonoperative|不工作的, 无效的
narked|恼火的；烦恼的
nightclub|夜总会
nebenkern|[生]副核
nephrostoma|[医] 肾孔(胚胎)
notoungulate|[古生]南美有蹄动物(古哺乳动物)
nitrosoamine|[化] 亚硝胺
nanticoke|[地名] [加拿大、美国] 楠蒂科克
nervus|[医] 神经
nostocaceae|[医] 念珠藻科
nonsystem|缺乏有效组织的体系
nantokite|铜盐, 氯化亚铜 矿
nemertine|& adj.[动] 纽虫(=nemertean)
nuttalliosis|[医] 纳脱原虫病
nonstriker|不参加罢工的人, 没有接到对方来球的击球员, 陪跑员
nautiloid|[动] 鹦鹉螺目软体动物
nemertoid|纽形虫
naric|[医][=National Rehabilitation Information Center]全国康复情报中心
nonhazardous|无危险的, 安全的
nonpsychotic|非(患)精神病的
neckcloth|围巾, 领饰
netsuke|悬锤, 坠子
natator|游泳者
naissant|(纹章中的兽)初生渐升的(指仅以上半身出现在盾的水平线上的)
nitride|氮化物
naysay|拒绝, 否认
neri|(Neri)人名；(意、法、西)内里
nautophone|电雾笛, 电雾号
numerically|数字, 数值, 用数字表示
notehead|小型的信笺上方印刷文句
nodulus|[医] 结, 小结
nelsonite|钛铁磷灰岩
nonsolvent|[化] 非溶剂
nominalize|使转变为名词, 使名词化
nonnuclear|非核的, 无核武器的, 不产生核爆炸的
nacreous|真珠质的, 有光彩的
naphthene|[化] (石油)环烷, 环烷(属)
nullipara|从未生育过的人, 未产妇
neuratrophic|[医] 神经萎缩的, 神经营养不良的; 神经萎缩者
normative|合乎规范的, 标准的, 规范的
napoleonite|[矿]球状辉长岩, 球状闪长岩
neurosuture|[医] 神经缝术
naiads|(naiad 的复数) n. 水中的仙女, 女游泳家
nonane|[化]壬烷
neotenous|neoteny的变形
neuropterous|脉翅目(昆虫)的
nutricial|[网络] 营养
noctilucence|生物发光
notarized|对…公证( notarize的过去式和过去分词 )
natricinae|游蛇亚科
narrational|narration的变形
nondriver|不驾车的人
nascence|发生, 起源
noctilucent|生物发光的, 夜发光的
notochordal|[医] 脊索的
needly|如针的, 充满针的
nelumbo|[植] 莲属
nighest|nigh（接近地）的最高级形式
nihilists|(nihilist 的复数) n. 虚无主义者
navajos|(navajo 的复数) n. 纳瓦霍人（美国最大的印第安部落）
nitrolic|[化] 硝基亚硝基化成物的
newing|酒花酵母
netsukes|(netsuke 的复数) n.悬锤, 坠子
nou|努美阿（地名）；国家臭氧机构
neglected|被忽视的, 未被好好照管的
nonradiable|[医] 不透放射线的
nihil|无, 虚无
neurokeratin|神经角蛋白
nativities|（尤指）基督的诞生，圣诞节( nativity的名词复数 ); 出生
nautiform|舟形的
nimblest|nimble（灵活的）的最高级形式
nonignitable|不可燃的, 耐[防]火的
notandum|备忘录, 值得注意的事项(记录)
nocks|作凹痕于( nock的名词复数 )
num|号码（number）；数字（numeral）
norsk|挪威人的
napoleonism|拿破仑主义
neediest|贫困的；贫穷的；生活艰苦的 (needy的变形)
napping|起绒, 拉绒, 拉毛
nonbearing|不承重的
norcamphane|[化] 降莰烷
nanosomus|[医] 矮小, 侏儒
nekton|自泳动物
nydia|尼迪亚(f.)
nongraduate|非毕业生,本科生
nuncio|罗马教廷大使
naillike|像指甲的, 像钉的
nasality|鼻音性, 鼻声
nannette|纳内特(Anna 的昵称)(f.)
narcoma|[医] 昏睡, 麻醉性昏睡(麻醉后所产生的)
nosings|(nosing 的复数) n. 楼梯踏级的前缘
nonpolitical|非政治性的
noninitial|不是起首字母的, 不是最早的
nol|海军机械研究所（Naval Ordnance Laboratory）；正常运行损失（Normal Operation Loss）；海皇轮船
nickered|嘶, 闷笑( nicker的过去式和过去分词 )
nitridation|[化] 渗氮
numen|神, 天才, 守护神
nidificated|筑巢
nauseatingly|使人恶心地
nerviduct|神经管
nonsparkling|不燃的, 不产生火花的
nosology|疾病分类学
notungulate|[古生]南美有蹄动物(古哺乳动物)
noncombining|[网络] 非结合
nematology|[动]线虫学
nemesia|[植]龙面花
nidamental|[动] 生卵膜的,缠卵的
nubeculae|麦哲伦云
neath|在...之下
nominals|(nominal 的复数) a. 名义上的, 名字的, 有名无实的, 稍许的
nycturia|[医] 夜尿症
nonradiating|不辐射的
nymphos|（女子）慕男狂( nympho的复数形式 )
naivety|无邪的行为；天真烂漫（等于naivete）
naphthionate|对氨基萘磺酸盐
neology|(=neologism)新词(或旧词新义)的使用,新词,旧词新义
noses|鼻子（nose复数）
nonlethal|不致命的
nervimotion|[医] 神经[兴奋性]运动
nonfatal|非致命的
negroes|黑种人, 黑人( Negro的名词复数 )
noisomely|noisome的变形
niaiserie|<法>无知, 愚笨
nonionizing|不电离的
nacrite|[矿]珍珠陶土
negroize|使成为黑人, 使成为有黑人的特点, 灌输应与黑人平等的思想
nurturant|抚育的；抚养的
ninja|（受过偷窃技术专门训练被雇作间谍或刺客的）日本武士
nitpick|挑剔；吹毛求疵
nasobuccal|[医] 鼻颊的
negrophil|亲近黑人的人
nigrosin|[医] 苯胺黑
necrobiotic|[医] 渐进性坏死的
nattiest|整洁漂亮的( natty的最高级 ); 潇洒的, 灵巧的
nablus|纳布卢斯(西南亚巴勒斯坦地区的城市,在约旦河西岸)
naveta|[网络] 巨石碑
nicer|良好的
necromania|恋尸狂, 恋尸癖
negation|否定, 反面, 不存在
nonpigmented|无色素的
nightcaps|睡帽, 睡前饮料( nightcap的复数形式 )
numbingly|使麻木地, 使失去感觉地
nonsoluble|不溶解的, 不可溶的
noncyclical|adj. 非循环的
necessitated|使…成为必要, 需要( necessitate的过去式和过去分词 )
nephradenoma|[医] 肾腺瘤
neurotropism|[生]神经亲和力, 趋向神经性
nanowatt|[计] 纳瓦, 毫微瓦
nett|[经] 净余, 净额
nitromersol|[化] 硝甲酚汞; 米他芬
nagor|[动]小苇羚(产于非洲塞内加尔)
nassau|拿索（巴哈马群岛之首都）
nilgau|[动]蓝牛(羚的一种,分布于印度,因其雄者毛色呈蓝灰而得名)
nonconscious|潜意识; 非意识
nucleosidase|[化] 核蛋白质分解酵素
nonassertive|非断言性的
nauseated|作呕的, 厌恶的
nabobery|财主常去的地方, 大富翁光临之地
nailrod|[网络] 制钉用铁
nonwashable|[网络] 不可洗
nutmeggy|[医] 肉豆蔻样的
niding|(尤指野鸡的)巢, 孵卵窝；同窝, 胞窝
neighing|（马）嘶( neigh的现在分词 )
nae|<苏> 不的, 决不的(=no,=not)
nonsteroidal|非甾类化合物的, 非类固醇的
neoteny|[动] 性早熟, 幼态持续
nappies|尿布( nappy的名词复数 )
nonbudding|不发芽的, 不发育的
napless|没有绒毛的, 磨破了的
neuromatosis|[医] 神经瘤病
navarin|<法> n.[烹]洋葱马铃薯炖羊肉
nursling|婴儿, 被精心培育的东西或人
nerved|有勇气的,有精力的, [植]有叶脉的,[昆]有翅膀的
nematodiasis|线虫病
nave|(教堂)中殿, 中央广场, 轮毂
nunneries|尼姑庵；女修道院
nominalist|唯名论, 名义主义者
neurochitin|[医] 神经壳质
nunataks|(nunatak 的复数) n.[地质]冰原岛峰
navarchy|古希腊舰队指挥官职务, 舰队
nakedness|裸, 明显, 赤身裸体
nabalus|[医] 那芭拉菊, 福王草
neighbored|<美>邻居, 邻国( neighbor的过去式和过去分词 ); 邻近的, 邻接的
nonfouling|未污染的, 未弄脏的, 无污垢的, 无污泥的
niggra|<美俚>老黑,黑人
nappes|(nappe 的复数) n. (圆锥曲面的)叶
normed|[数]赋范的
nutrilite|营养物
narcotics|麻醉毒品；麻醉剂（narcotic的复数）
newsmagazine|新闻杂志
nitrator|[化] 硝化器
noctilucidae|夜光虫科
naively|无邪地；天真烂漫地
navigability|适航性, 耐航性
nickers|嘶, 闷笑( nicker的第三人称单数 )
negus|尼格斯酒
nonpartizan|无党无派的, 超乎党派的
nitryl|[化] 硝基,硝酰
nodosity|有结节, 多结节, 节
nailers|(nailer 的复数) n. 制钉者, 敲钉者, 自动敲钉机
nationhood|国家地位
noisome|有害的, 恶臭的, 有毒的, 可厌的, 令人不快的
neuters|无性动物；中性名词；阉割动物
nylghai|[动] (=nilgai)印度大羚羊
neoplatonic|Neoplatonism的变形
norna|[女子名] 诺娜来源于日耳曼语, 含义是“命运三女神之一”(a Norn)
nester|穴居的兽；筑巢的鸟；放牧地自耕农；试验筛组的单位筛
nasopharynx|[医] 鼻咽
needlecord|优质灯芯绒, 细条灯芯绒
nidificating|筑巢
nonhistone|[生化]非组蛋白的(指富有芳香氨基酸的)
nectarium|蜜腺
notelet|短柬
noric|[网络] 诺利克；诺利语；诺里语
napes|(鱼去鳃开腹后)腹壁
nannie|乳母, 奶妈
natiform|臀形的
neurochemist|神经化学专家,神经化学研究者
nubilose|喷雾干燥器
nonresilient|[网络] 非敏感
nomeus|双鳍鲳属
nigrify|使黑, 使变黑
notommatidae|椎轮虫科
neutrophilic|(细胞等)嗜中性的
nock|作凹痕于
nonbinding|adj. 无约束力的
noncompliant|不顺从的人, 固执的人
nightstick|警棍
nonmalignant|[医] 非恶性的, 良性的
nonclaim|在期限内未提出要求
niggard|吝啬鬼
nucleonic|核子的, 核物理的
neurochord|神经索
nubbly|多瘤的, 块状的
nies|(nie 的复数) abbr. 新工业化经济（newly-industrializing economy）
necrophily|恋尸狂, 恋尸癖
nonaction|无为
noncongruent|不同余的
northwester|西北大风
noseband|鼻羁
nonaromatic|非芳香性的
nonvoter|不投票者, 投票弃权者
narsarsukite|[矿]短柱石
nematocystic|刺细胞的
neustonic|adj. neuston的变形
nephrogenous|[医] 肾原性的, 肾发生的
nemathecium|生殖瘤
ngoma|恩戈麦鼓(东非的一种鼓)
nectars|(nectar 的复数) n. 神酒, 甜美饮料, 甘露
nicene|小亚细亚旧都尼西亚的
noncandidate|非实际候选人
narrowness|狭小, 小气
neuritic|神经炎的
neurodynia|神经痛
nonreading|nonreader的变形
nevermore|决不再
nutlet|小坚果, 果仁
nephridial|肾的, 肾管的
ninevite|(古代亚述首都)尼尼微人
nipper|镊子, 手铐
noising|谣传（noise的现在分词形式）
nameplate|名牌, 标示牌
necropolis|大墓地, 史前坟场
nonmarine|非海成的
nervation|脉序
neritidae|蜒螺科
northen|[人名] [英格兰人、爱尔兰人姓氏] 诺森 North的变体
niersteiner|尼尔施泰因白葡萄酒
nannandrium|[网络] 矮雄体
nectarine|蜜桃
nonmaskable|不可屏敝的
neuroptera|[医] 脉翅目(昆虫)
nori|[医] 海苔, 紫菜(可用以制培养基)
nonviable|无法生活的
neurosensory|[解]感觉神经的
nucleotides|[医]核苷酸
nobbler|毒马者, 诈骗者, 击昏
newmown|刚割的;新割的[草等]
notelessness|noteless的变形
narcolepsy|嗜眠发作
nares|[解]鼻孔
nonfissile|un. 非裂变的
nook|角落, 躲蔽处, 隐匿处, 凹处
noctis|[医]（拉）夜晚的，夜的，（拉）夜晚的夜的
neurosis|神经症, 神经机能病
niveau|水平
neuroplasmic|[医] 神经浆的, 神经胞质的
netlike|网状的
natron|泡碱
nonparty|不偏不倚的, 无党派的, 不受任何党派控制的
nearnesses|(nearness 的复数) n. 接近；密切；近似
niceties|微妙( nicety的名词复数 ); 细微; 细微之处; 细节
nightchurr|欧洲夜鹰
neutretto|中介子, 中性介子
nailsick|因钉眼过多而疏松的
nonlocal|[计] 非局部的
nataraja|舞王(印度教神名), 舞王像
nonlegal|非法律的, 与法律无关的
nictitation|[医] 瞬眼(眨眼)
nodules|（尤指植物上的）节结, 小瘤( nodule的复数形式 )
nonearning|无收益的
nostoc|[植] 念珠藻属
nonintrusive|adj. 无干扰的，免侵入的
niblicks|(niblick 的第三人称 -s形式) n. 九号铁头球棒
nurserymen|花圃工人, 园丁, 苗木培育工( nurseryman的名词复数 )
nonrated|不列等级的,(尤指美国海军中)非军士级的
naevus|痣
nonobservant|不遵守习俗、法律的
neuridine|[生化] 精液素, 纽利定
nubs|粗节
noontime|中午
nonirritant|无刺激性
nematoid|线虫
normalized|规格化的；标准化的；正规化的
nonoperating|非营业性的, 营业外的, 非作业的
nonuplet|一胎九婴
nyctalopia|夜盲症
nuculoid|[网络] 核红细胞
numberless|无数的, 无号数的
nurseryman|苗木培养工
neossology|幼鸟学
nonparabolic|非抛物线形的
numeration|计算, 命数法, 数字的读法
nieces|侄女, 外甥女( niece的复数形式 )
necremia|血液[细胞]活力丧失
nailer|制钉者, 敲钉者, 自动敲钉机
naphthosalol|水杨酸β-萘基酯
norsemen|古代挪威人, 古代斯堪地那维亚人( Norseman的名词复数 )
narcotise|, vi. [主英国英语]=narcotize
neophyte|新入教者, 新信徒
nullifies|使抵消( nullify的第三人称单数 ); 使无效
noddle|头
nympha|蛹, 小阴唇
nebiim|[网络] 先知书；防吞；智慧文学
nightcapped|戴着睡帽的
nilled|不想, 不愿( nill的过去式和过去分词 )
nathaniel|纳撒尼尔（男子名）
nogai|高加索东北的一种鞑靼族
nephalist|禁酒主义者, 完全戒酒论者
nietzschean|尼采哲学的
necrolatry|对死人的崇拜
notabilities|显著( notability的名词复数 ); 值得注意; 显著的人; 名人
nonowner|[法] 非所有人
neurofil|[医] 轴索细网
nontidal|非潮汐的
nee|娘家姓
novatian|(Novatian)人名；(意)诺瓦蒂安；(约200-258)诺瓦替安〈意〉第二代敌对教皇。
nouns|名词; 名词( noun的复数形式 )
nonsemantic|非语义的
nagyagite|叶碲矿
nitrotoluene|[化] 硝基甲苯
neptunism|[地]水成论
nephrolith|肾结石
nibbler|切片机；毛坯下料机, 步冲轮廓机
ninefold|九倍的, 九重的
noncorroding|不腐蚀的
novelwright|[蔑]小说家
noodlehead|笨蛋, 傻瓜
nicaraguan|尼加拉瓜人
neem|[地名] 角（爱沙尼亚语）
nettlefish|[动] 海蜇, 水母
nettler|nettle的变形
nisi|[法] 除非, 不然则
nahua|(pl. Nahuas, [集合词] Nahua)=Nahuatl
noctograph|盲人写字框
nematocyst|[动] 刺丝囊,刺细胞
neoned|【化学】氖[符号 Ne]；氖灯, 霓虹灯
nepit|(虱等的)幼虫, 卵, <英口>糊涂虫, 傻瓜
nurtured|养育( nurture的过去式和过去分词 ); 培育; 滋长; 助长
nidifugous|(鸡等)孵出后立即离巢的
nidi|nidus的复数
neomorph|新变体
natal|出生的, 诞生的
numberer|号码器示号器；输入器
noumenalism|实体主义, 本体主义
