tree|树
tehranly|德黑兰地
tel|特拉
tels|特拉
telly|特拉地
town|敦
towns|敦
townly|敦地
tunis|突尼斯
tripoli|的黎波里
tripolis|的黎波里
tripolitan|的黎波里的
tripolitanly|的黎波里地
toronto|多伦多
torontos|多伦多
torontoly|多伦多地
tax|税
teamwork|团队合作
trend|趋势
task|任务
transparency|透明度
trademark|商标
testimony|证词
termination|终止
temperament|气质
trauma|创伤
tolerance|宽容
technique|技巧
texture|纹理
tempo|速度
theme|主题
team|团队
training|训练
tournament|锦标赛
trophy|奖杯
tactics|战术
tennis|网球
testing|测试
tracking|追踪
threat|威胁
title|头衔
territory|领土
target|目标
thrill|刺激
trainer|培训师
taxpayer|纳税人
tornado|龙卷风
tsunami|海啸
textile|纺织品
tape|胶带
thread|线
tourist|游客
tug|猛拉
tooth|牙齿
thinking|思考
tasty|好吃的
terminal|终点站
trail|小径
toll|收费站
tar|焦油
toner|碳粉
trunk|箱子
tension|紧张
tendency|倾向
terror|恐怖
therefore|因此
thesis|论文
threshold|门槛
tide|潮汐
tissue|组织
tobacco|烟草
tolerant|宽容的
tone|音调
topic|主题
torch|火炬
torture|折磨
tragedy|悲剧
trait|特征
transaction|交易
transition|过渡
treasure|宝藏
trial|审判
tribe|部落
tribute|贡品
troop|部队
tube|管
turbine|涡轮机
term|学期
taken|拿
taking|拿
teenagers|青少年
teens|十几岁
takes|拿
them|他们
top|顶部
things|事物
toward|向
there|在那里
that|那
this|这
teachers|教师
through|通过
they|他们
than|/比
the|这
turned|转动
twice|两次
these|这些
technologies|技术
their|他们的
themselves|他们自己
terms|条款
types|类型
together|一起
tests|测验
thus|因此
though|虽然
took|拿取
trying|令人厌烦的
too|太
then|然后
total|总的
told|告诉
thing|东西
towards|向
talking|谈话
tasks|任务
to|向
teams|队
text|文本
tourists|旅游者
those|那些
times|时期
tend|倾向于
tank|水箱
tempting|吸引人的
trade-off|权衡
temptation|诱惑
turbulent|动荡的
transcend|超越
testify|作证
tedious|冗长的
tangled|纠缠的
tasteless|没有味道的
tutor|辅导
throne|王位
thrilling|令人兴奋的
turbulence|气流
torque|转（力）矩
tensile|张力的
therein|在那里
tulip|郁金香
torpedo|鱼雷
tanker|油船
transmission|传播
token|辅币
taper|细小的蜡烛
theatre|剧场
trifle|玩忽
tile|瓷砖
torment|痛苦 v. 折磨
thrash|痛打
thereof|它的
treasurer|司库
terminology|术语学
trolley|手推车
tiresome|使人厌倦的
trench|深沟
tradesman|商人
trader|商人
triangular|三角的
thermal|热的
tropic|回归线
thoughtless|欠考虑的
tack|平头钉 v. 钉住
terrace|平台
tranquil|平静的
tickle|挠
twilight|黄昏
troublesome|困难的
terrorist|恐怖分子
tightly|紧地
tuna|金枪鱼
tuberculosis|结核病
thrifty|节俭的
timely|及时的
tact|机敏
traverse|横越
transverse|横的
thigh|股
tower|高耸
thanksgiving|感恩节
theorem|定理
telex|电传
triumphant|得胜的
thresh|打谷
thereafter|此后
toad|蟾蜍
tragic|悲惨的
tyranny|暴政
tyrant|暴君
tramp|以沉重的脚步走（过） n. 跋涉
trample|践踏
transplant|移植（器官、皮肤等）
trot|（马）小跑 n. （马）小跑
tow|拖引
temper|韧度
timid|羞怯的
tub|桶
tariff|关税
tenant|房客
telecommunications|通信
transit|运输
tract|传单
terrain|地形
tentative|试探的
transistor|晶体管
transient|短暂的
thorn|刺
turnover|营业额
tan|vi. 晒成棕褐色 vt. 使晒成棕褐色
treaty|条约
technical|技术(性)的
thermometer|温度计
timber|木材
tomb|坟
trumpet|喇叭
tractor|拖拉机
tactic|(s)策略
technician|技术员
teenager|十几岁的青少年
tip|给小费
tolerate|忍受
throat|喉咙
thirty|三十年代 num. 三十 adj. 三十个的
thumb|翻阅
typewriter|打字机
tv|abbr. 电视（television）
tailor|剪裁
till|[地理][水文] 冰碛
ton|吨
thrift|节俭
tuesday|星期二
toast|干杯
treason|[法] 叛国罪
twin|使成对 n. 双胞胎中一人 adj. 双胞胎的
thirteen|十三
torrent|奔流
triangle|三角（形）
tag|标签
typhoon|[气象] 台风
tonight|在今晚 n. 今晚
telegram|电报 vt. 用电报发送 vi. 发电报
typist|打字员
tender|温柔的
thief|小偷
telegraph|[通信] 电报机
twinkle|闪烁
thunder|雷
tale|故事
traitor|叛徒
tram|电车轨道
tray|托盘
thursday|星期四
toe|脚趾
toy|玩具
tumour|[肿瘤] 瘤
thirst|渴
tent|帐篷
toil|艰难地进行
turmoil|混乱
thereby|因此
telescope|望远镜
tumor|肿瘤
taboo|禁忌
trolly|手推车
twentieth|第二十
throughout|遍及
timberline|树带界线
twenty|二十
tail|尾巴 v. 跟踪
transformation|变化
texas|德克萨斯州(美国州名)
tennessee|田纳西州
turnpike|收费公路
twig|嫩枝
tribal|部落的
tiredness|疲劳
topi|遮阳帽
tectonic|构造的
telecommuting|远程联机
trillion|万亿
tasmania|塔斯马尼亚岛
twelve|十二
totally|完全地
toddler|初学走路的孩子
territorial|领土的
thickness|厚度
termite|白蚁
tentacle|(动物)触角
tundra|苔原
thoroughly|十分地
transitional|变迁的
theorist|理论家
tethys|古地中海
tidal|潮汐的
tannin|[化]丹宁酸
tourism|旅游业
timescale|时标
tutelage|监护
trance|恍惚
telecommunication|电信
tine|(尖)齿
taxes|赋税
toolmaker|精密工具制造者
timer|计时员
tenement|公寓
thunderstorm|雷暴雨
typify|代表
tapestry|挂毯
translucent|半透明的
topsoil|表层土
treeless|没有树木的
twain|两
tertiary|第三的
tally|记分  vi符合
trilobite|[古生]三叶虫
temporal|现世的
tenth|第十
talbot|[动]塔尔博特提猎狗
tricycle|三轮车
temporarily|临时
tavern|酒馆
tenfold|十倍的 ad成十倍
tang|有浓味 n特殊气味
tapeworm|[动]绦虫
tributary|支流(的)
televise|广播
tempera|蛋彩画
tentatively|试验性地
theropod|兽性的
tenon|[木工]榫 vt. 接榫
treasury|财政部
torrid|晒热的
toolmaking|工具(或刀具)制造
textural|组织的
tusk|长牙 v. 以牙刺戳
thriller|使人毛骨悚然的东西
transmitter|转送者
triassic|[地]三叠纪的 n. 三叠纪
thinly|稀疏地
talented|有才能的
thousandfold|千倍地 adj. 千倍的
thresher|打谷者
topographical|地志的
tonal|音调的
taproot|[植]主根
taut|(绳子)拉紧的
tourniquet|止血带
teem|大量出现
tremendously|非常地
telescopic|望远镜的
thinker|思想者
tressed|有一绺绺长发的
tollgate|征收通行税的关卡
teacup|茶杯
thwart|阻挠
tambourine|小手鼓
turkic|土耳其语(的)
tribespeople|[复]n. 部落(或宗族等)成员
topography|地形学
turnip|[植]芜箐(甘蓝)
tenet|原则
tantamount|同等的
taro|芋头
tepee|美国印第安人的圆锥形帐篷
totality|全部
toehold|（攀岩时的）立足点
tieback|牵索
tiffany|纱的一种
tedium|厌烦
townspeople|市民
thimble|顶针
totemism|对图腾的信仰
tendon|[解]腱
telltale|泄密的
tether|范围
trickle|滴流
therapist|临床医学家
terylene|涤纶
turmeric|[植]姜黄
teller|讲话的人
threadlike|线状的
theological|神学(上)的
televisual|电视的
tint|色彩
thunderous|打雷的
trapper|捕兽者
trestle|架柱
trespasser|侵入者
tapir|[动]貘
trainload|装载量
troupe|剧团
tern|三个一组
tadpole|[动]蝌蚪
trespass|侵犯
telecommuter|远程工作者
tardiness|缓慢
transpose|调换
topical|有关时事的
terrifyingly|恐怖地
torpor|麻木
trumpeter|喇叭手
tenuous|纤细的
trove|被发现的东西
tableland|高原
treetop|树稍
twine|合股线 v织
torrential|猛烈的
tranquillity|宁静
teapot|茶壶
tinplate|镀锡铁皮
timidity|胆怯
thorny|多刺的
thames|泰晤士河(流经牛津
tessellation|棋盘形嵌石饰
ted|翻晒 n. 泰德
tele|电视
tycoon|企业界大亨
tingle|造成麻刺的感觉
traction|牵引
thousandth|第一千的
topographically|地形地
tyrannical|暴虐的
trilogy|三部剧
taxonomy|分类法
tonnage|登记吨位
tavernkeeper|小餐馆老板
thermodynamic|热力学的
twinkling|闪光的 n. 瞬间
tinker|做焊锅匠
tangent|切线的
turnout|出席人数
toed|有趾的
transact|交易
tortuous|折磨人的
tout|吹捧
terminus|终点站
troposphere|对流层
toady|谄媚
tantalizing|诱人的
trek|艰苦跋涉
treadmill|踏车
tactile|触觉的
tangible|可触摸的
tectonics|构造地质学
trivialize|使显得琐碎
terrorism|恐怖主义
tolerable|可忍受的
tremulous|发抖的
transcendent|卓越的
tarnish|失去光泽
towering|高耸的
template|模板
throng|群集
t|[计] 表, 终端, 测试, 磁道, 树, 真, 太, 万亿
tools|工具, 工具菜单；工具箱（tool的复数形式）
teen|愤怒, 悲哀
tickets|票；罚单（ticket的复数）
topics|总联机程序和信息控制系统（Total On-line Program and Information Control System）
tips|秘诀, 技巧；小贴士, 小窍门
tech|技术学院或学校
toys|玩具（toy的复数）
thomas|多马(耶稣十二门徒之一)
tool|工具, 机床, 傀儡
tue|星期二（Tuesday）
thu|星期四（Thursday）
tx|[计] 终端执行程序
trademarks|（注册）商标( trademark的复数形式 ); （人的行为或衣着的）特征, 标记
tom|雄性动物, 雄猫
th|[医] 钍(90号元素)
titles|标题；字幕；主题（title复数形式）
trading|[经] 交易
techniques|方法；技巧；技术（technique的复数）
thousands|数千（thousand的复数）
thoughts|思想；思维；想法（thought的复数）
tours|图尔斯（姓氏）；图尔市（法国城市名）
tags|标签；（机动车）牌照；称呼（tag的复数）
tits|以牙还牙( tit的复数形式 ); <古>小马; 山雀; 奶头
tables|桌子；附录；表格（table的复数）
tried|试验过的, 可靠的
trees|树木；乔木；树状结构（tree的复数）
taylor|泰勒
trackback|引用；引用通知
tim|蒂姆（男子名）
trends|动态, 趋势
tn|[计] 终端节点, 传送网络
tony|高贵的, 时髦的
tracks|轮胎；磁道；轨道（track的复数）
transactions|处理, 会报；汇报（transaction复数）
tm|商标
treated|对待；招待；治疗（treat的过去分词）
tested|经过试验的, 经受过考验的, 经验定的, 检验无病的
threads|线；相关串连；线程（thread的复数）
taiwan|台湾
themes|主题（theme的复数）；布景主题；桌面主题
textbooks|教科书, 课本( textbook的复数形式 )
templates|模板；属性单元；范本（template的复数）
tab|制表(键), 搭襻, 标号, 调整片, (易拉罐)拉环, 帐单, 标签, 制表符
toshiba|东芝（公司名, 财富500强公司之一, 总部所在地日本, 主要经营电子电气）
typically|代表性地；作为特色地
trailer|追踪者, 拖车
tampa|坦帕市（美国佛罗里达州西部港市）
tutorial|个别指导, 论文, 学习指南, 指导手册
tutorials|导师的个别指导( tutorial的复数形式 ); 教程; 辅导材料; 使用说明书
trips|与贸易有关的知识产权（Agreement On Trade-related Aspects of Intellectual Property Right）
turns|转弯；匝数；圈数（turn的复数形式）；手动车床
thongs|丁字裤；平底人字拖鞋（thong的复数形式）
taught|teach的过去式和过去分词
toyota|日本丰田汽车（公司名）
turning|旋转, 转弯处, 车削工作
tr|[计] 磁带记录器, 磁道, 磁带驻留, 故障报告
tells|告诉；说（tell的第三人称单数）
talks|会谈
testimonials|推荐书( testimonial的复数形式 ); 证明书; 鉴定书; 表扬信
trials|尝试, 努力；考验；审判；顿顽（trial的复数）
thompson|汤普森（姓）
te|[医] 碲(52号元素); 破伤风
tion|象征式互动；支票电托收
targets|目标；枪靶；投放范围（target的复数）
trusted|可信的；受信任的
thumbnail|大拇指指甲, 极小之物
trans|[电] transimitter的简写
telling|有效的, 显著的, 显露内心活动的
traveler|旅行者, 游客, 旅客, 旅行推销员, 活动起重架, 行车, 临时记帐单
trailers|篇身片；追踪者；拖车（trailer的复数形式）
terry|毛圈, 毛圈织物
tabs|跳格设定, 制表符
troops|军队, 装甲部队, 骑兵队, 部队
trucks|卡车（truck的复数）
telecom|telecommunication 电信
tranny|半导体收音机；晶体管收音机
trained|训练过的, 受过培训的；培训
td|（美）财政部（Treasury Department）；任务说明书（Task Description）；反坦克自行火炮（Tank Destroyer）
tones|声调；基本音色（tone的复数）
ta|interj. 谢谢
tvs|瞬变电压抑制二极管（Transient Voltage Suppressors）；电视观察系统（Television Viewing Systems）
teenage|十三岁到十九岁的
toolbar|[计] 工具栏
titans|[希神]泰坦巨神；（美）大力神Ⅱ型洲际导弹（Titan的复数）
treatments|处理( treatment的复数形式 ); 对待; 治疗; 疗法
texts|课文, 文字（text复数形式）
tit|山雀, 打击, 轻佻女人, 奶头, 按钮
temp|[口]临时雇员
tramadol|[化] 曲马朵; 反胺苯环醇
tracked|有履带的
tops|第一流的, 最上等的
ts|[计] 正文段
thou|汝, 你, 尔
tt|电汇
tee|T字形, T字形之物, 发球区, 球座, 目标
township|小镇, 镇区
tcp|[计] 终端控制程序, 测试检验程序, 传输控制协议
transfers|迁移；传输（tansfer的复数）
timing|时间选择, 时间测定, 定时, 调速
tales|候补陪审员召集令
tu|工会, 训练单位
thumbs|拇指( thumb的名词复数 ); （手套的）拇指部份
targeted|[医]定向的
tons|吨；大量；许多（ton的复数形式）
tracker|追踪者, 跟踪雷达, 拉纤者
transferred|呼叫转移；已转运
tc|[计] 任务控制, 终端控制, 传输控制
tagged|标记的；示踪的；加标记的
ties|结
territories|领土( territory的名词复数 ); （某人负责的）地区; （个人、群体、动物等占据的）领域; 地盘
thru|穿越, 从头至尾
totals|总量；总计（total的复数）
turner|车工, 体育协会会员
ti|[计] 终端接口, 得州仪器公司, 变换实现
todd|托德（姓氏, 英国化学家, 曾获1957年诺贝尔化学奖）
turbo|涡轮增压器
thinks|想( think的第三人称单数 ); 思索; 以为; 认为
tricks|技巧, 诀窍；骗局（trick的复数形式）
thy|你的
tri|[计] 三
transmitted|传输；传送（transmit的过去分词）
tapes|录音带, 胶纸带；条带, 边带
traveling|旅行的, 旅行用的, 移动的
toilet|厕所, 梳妆
tied|系（tie的过去式和过去分词）
talked|讲话, 交谈 talk的过去式
theaters|剧场( theater的复数形式 ); 戏剧界; 戏剧效果; [军]战区
threaded|有线状图案装饰的
trails|山径；游径；踪迹（trail的复数）
tommy|配给面包, 实物工资制
tears|眼泪；泪水（tear复数形式）
thomson|汤姆森（①姓氏 ②Sir George Paget, 1892-1975, 英国物理学家, 曾获1937年诺贝尔物理学奖 ③Sir Joseph John, 1856-1940, 英国物理学家, 曾获1906年诺贝尔物理学奖）
thumbnails|拇指甲, 极小的东西( thumbnail的复数形式 )
temperatures|温度( temperature的复数形式 ); 气温; 高烧; 发烧
tft|薄膜晶体管, 薄膜工艺（thin film transistor）
theories|理论（theory的复数形式）
tribune|护民官, 军团指挥官, 公民权利保护者, 讲坛
taxation|课税, 征税, 抽税, 税款, 估定的税额
transcript|抄本, 副本, 成绩单
thee|你
topless|无顶的, 袒胸的
tanks|坦克；贮水池；大容器（tank的复数）
twinks|(twink 的第三人称 -s形式) n. （游戏用语） 高等级带练低等级玩家, 通常通过给与该等级通常无法获得的强力盔甲和武器。
techno|[计] 技术
travelers|旅行者；旅客（traveler的复数形式）
trains|火车；行列（train的复数形式）
threesome|三人一组, 三人的竞赛
tries|尝试, 试验（try的复数）
tucson|图森（美国亚利桑那州南部城市）
timothy|梯牧草
translated|译本
trivia|琐事
tires|轮胎（tire的复数）
tgp|三峡工程（Three Gorges Project）；白芍总苷（total glycosides of paeony）
trinidad|特立尼达拉岛
trades|交易；商业, 各种营业；贸易（trade的复数）
trinity|三人一组, 三个一组的东西, 三位一体
troy|金衡, 金衡制, 特洛伊城
twins|双子座, 双子宫
thong|装皮带, 用皮鞭打
transexual|有异性转化欲的
toolbox|工具箱
traditions|传统( tradition的复数形式 ); 惯例
throws|曲拐（throw的复数形式）
tablets|药片( tablet的名词复数 ); （木、竹）简; 碑; 一块肥皂
tuning|调音, 调谐, 协调
tyler|泰勒（男子名）；秘密会所看守人（共济会的）
towers|塔；塔器；空中跳台（tower的复数）
trustees|受托人( trustee的复数形式 ); 信托公司; （公司、学院）理事; （慈善事业或其他机构的）受托人
tubes|管子, 导管；管状虫；伦敦地铁（tube的复数）
treo|[医][=tandem Romberg eyes open]罗姆伯格（氏）病的串联性眼开合
tex|[化] 特; 特克斯
tp|[计] 磁带, 终端打印机, 终端处理器, 终端协议, 测试程序, 事务处理
testament|遗嘱, <<圣约书>>
tournaments|锦标赛, 联赛( tournament的复数形式 ); 中世纪的骑士比武
trio|三重唱
terrorists|恐怖分子；恐吓者（terrorist的复数）
thesaurus|专类辞典, 宝库, 知识宝库, 叙词表, 主题词表
tier|排, 层, 等级
tigers|老虎（tiger复数）
tb|结核, 肺结核, 结核病, 结核杆菌
treating|[机] 处理
tribes|部落( tribe的复数形式 ); （动、植物的）族; （一）帮; 大群
tattoo|归营号, 连续有节奏的敲击, 文身, 矮种马
timeline|时间轴, 时间表
telephony|电话学, 电话通信, 电话制造
translations|译文；翻译（translation的复数形式）
tba|电视广播台协会（Television Broadcasters Association）；应予宣布（to be announced）
tunes|曲调, 曲子( tune的名词复数 )
typing|打字, 键入
tobago|多巴哥岛（南美洲特立尼达和多巴哥的第二大岛）
troubleshooting|发现并修理故障, 解决纷争
theology|神学
twisted|扭曲的
transsexual|换性者
trainers|训练员；运动鞋；练习器（trainer的复数）
trusts|信任( trust的名词复数 ); 信托; 照管; 受托基金机构
travelling|旅行的, 旅行用的, 移动的
tuner|调音师, 调音的人, 调节器
thrown|throw的过去分词
trustee|受托人, 理事
tracy|特蕾西（女子名）
tmp|[计] 终端监控程序
traveller|旅行者
tomatoes|蕃茄（tomato的复数形式）
televisions|电视( television的复数形式 ); 电视机; 电视台; 电视系统
thinkpad|ThinkPad 在2005年以前是IBMPC事业部旗下的便携式计算机品牌; 凭借坚固和可靠的特性在业界享有很高声誉。在Lenovo收购IBMPC事业部之后; ThinkPad商标为Lenovo所有。ThinkPad自问世以来一直保持着黑色的经典外观并对技术有着自己独到的见解; 如：TrackPoint（指点杆，俗称小红点）、ThinkLight键盘灯、全尺寸键盘和APS(Active Protection System,主动保护系统)。
tions|(tion 的复数) n. 象征式互动；支票电托收
til|芝麻
touring|游览
travels|旅途, (非正式)旅行笔记, 游记
teddy|连衫衬裤；泰迪玩具熊
teaches|教( teach的第三人称单数 ); 教书; 训练; 教育
tribunal|法庭, 法官席, 裁决
titled|有头衔的
ty|总产量；总收率（total yield）
tulsa|塔尔萨（美国俄克拉菏马州东北部城市）
tahoe|美国塔霍湖
tf|[化] 转移因子
travis|崔维斯合唱团；特拉维斯（男子名）
textiles|纺织品；纺织面料；纺织业；纺织品类（textile的复数）
treasures|金银财宝( treasure的名词复数 ); 宝藏; 珍宝; 不可多得的人才
transcripts|抄本（ transcript的复数形式 ）; 转写本; 文字本; 副本
tiles|瓷砖（tile的复数形式）
tamil|泰米尔人, 泰米尔语
toolkit|[计] 工具包
throwing|投掷
threatening|胁迫的, 危险的
terminals|终端；终端机；接线端子；终止节点（terminal的复数）
touched|精神不太正常的, 受感动的
theta|希腊字母的第八字
trimestral|每三个月一次的, 每季的
trochantine|基转节
telexing|用直通电报拍发（telex的现在分词形式）
tanghan|(西藏产的)健壮小马
thrum|回丝, 花丝, 线头, 纱头, 乱弹
traceried|(tracery 的过去时) n. 窗花格, 装饰线条
thrummed|指弹( thrum的过去式和过去分词 ); 敲打; 乱弹; 轻敲
temin|(Temin)人名；(法)特曼；(英)特明
thiophenol|[化]苯硫酚
truxillin|组丝古柯碱
trypsinize|[生化]使胰蛋白酶化,使受胰蛋白酶作用
thermoscope|验温器, 测温锥
tasteful|有鉴赏力的, 趣味高雅的, 雅观的
tozer|[人名] [英格兰人姓氏] 托泽职业名称，梳理羊毛者，来源于中世纪英语，含义是“梳理”(to tease)
trice|吊起, 扯起并用绳缚住
tammany|坦慕尼派
tessella|特塞拉,小块镶嵌大理石(或玻璃),镶嵌地砖
thiazole|噻唑, 间硫氮茂
trigon|三角形, 三角竖琴
thema|拜占庭帝国的行政区
tuts|发出嘘声( tut的第三人称单数 )
teasle|川续断
trifler|闹着玩的人, 吊儿郎当的人
turbot|大菱鲆
triol|[化]三元醇(如甘油等)
thiaminase|[生化]硫胺酶
tallage|佃户缴的税
tid|每日三次
twirlers|<美><加>军乐队（女）领队（或指挥）( twirler的名词复数 )
tuberosities|结节；有块茎；块茎状物
thwacked|强打；拍地一声打
tantalised|(tantalise 的过去分词) vt. 诱发无法实现的希望, 使干着急, 惹弄, 逗惹, 逗弄
tutelary|保护的, 监护的, 监护人的
tsars|俄国沙皇( tsar的复数形式 ); 专制独裁者
trine|三倍的, 三重的
tenpence|十便士
terrains|(terrain 的复数) n. 地带, 地区, 地形, 领域, 范围
tricorporal|(纹章学用语)三体一头的
throes|阵痛, 临死的苦痛, 垂死的挣扎, 剧痛, 痛苦, 苦闷, 苦难, 艰苦的奋斗
tryma|[植]核果
threadfish|[鱼]短吻丝鲹
tasteable|可尝的, 有滋味的
tilak|(印度男女点在额头的)小红点
trouping|巡回演出（troupe的现在分词形式）
truckmaster|( 美洲早期移民中主管与印第安人贸易的)商务官
throttled|扼杀( throttle的过去式和过去分词 ); 勒死; 使窒息; 压制
thylacine|[动]袋狼
truvat|割绒刀
tromp|践踏, 跺脚
tiglinic|[化]巴豆的
toxitabellae|[医] 毒片剂
tainture|污染(处),污点,瑕疵
tactometer|触觉测量器
thiothrix|[医] 丝硫细菌属
tupian|图皮人的, 图皮语的
tritoconid|[医] 下前第三尖(下前磨牙远中颊尖)
ticklish|易倒的, 不稳定的, 难对付的, 怕痒的
talite|[化] 塔罗糖醇
tolane|[化]二苯乙炔
trull|娼妓
tetradic|四阶张量
thelitis|[医]乳头炎
taxidea|[网络] 美洲獾属
tenuously|薄地; 细地; 空洞无物地; 无关紧要地
talismanical|护符的, 有护符般效力的
talose|塔罗糖(一种己醛糖)
thring|[人名] 思林
tenio|毛子万恩曼(南美洲南部的一种材用树), 该树的红棕色木材
torpedinidae|[网络] 电鳐科；电鱝科；双鳍电鳐科
tricksy|淘气的, 欺骗的, 狡猾的, 恶作剧的
toho|东航船务有限公司；东邦（日本公司名）
trammels|限制( trammel的名词复数 ); 渔网; 椭圆规; 量规
tinmen|洋铁器商；洋铁匠
tailforemost|尾在前地
tattooed|刺青, 文身( tattoo的过去式和过去分词 ); 连续有节奏地敲击; 作连续有节奏的敲击
tufthunting|攀附权贵, 阿谀奉承
threepenny|三便士的, 无价值的, 便宜的
tamper|干预, 拨弄, 贿赂, 损害, 篡改
traveltime|走时
thrombosis|血栓形成
traversals|(traversal 的复数) [计] 遍历
titaniferous|[化]含钛的,产钛的
theatregoing|看戏
triumphing|获胜( triumph的现在分词 ); 克服; 打败; 战胜
thankless|不感谢的, 忘恩的, 不知感恩的
topophobia|特殊场所恐怖
thysanura|[医] 弹尾目, 缨尾目
truantly|truant的变形
tournois|(硬币)在(法国)图尔城铸造的
traceback|Virus回溯病毒
tiresias|[希神]提瑞西阿斯(古希腊城邦 Thebes 的一位盲人先知)
teleutosorus|冬孢子堆
tachisme|塔西抽象绘画法
toled|transparent organic light-emitting diode 透明有机发光二极管
tinwork|锡工, 锡制品
trochophore|[动]担轮幼虫
termor|定期租户
trias|三叠纪
trimaran|三体船
tamely|驯服地, 温顺地, 没有骨气地
trancing|使恍惚（trance的现在分词形式）
trendle|[英方]木制大而浅的圆形或椭圆形盆[槽]
tantrism|密宗, 密教（也叫怛特罗教）
topographist|地形测量员
tracheophyte|[植]导管植物,维管植物
tigrinya|提格里尼亚语(属闪含语系,埃塞俄比亚提格雷省通用的语言)
therology|哺乳动物学
trigram|三字母一音
transversus|[医] 横的; 横肌
toastmasters|主持人, 致敬酒辞者( toastmaster的复数形式 )
temporalty|俗人
trombone|长号
teleseism|远震
testitis|睾丸炎
tetrazine|四嗪
twelfths|（与the连用）第十二（个）, 月的第十二日( twelfth的名词复数 )
