old|旧的
omissions|省略( omission的复数形式 ); 删节; 遗漏; 略去或漏掉的事（或人）
og|奥运会（Olympic Games）
owns|属于自己的东西（own的复数）
opponents|对手（opponent的复数形式）
orgasm|极度兴奋, 兴奋的高潮, (感情等的)爆发
oaks|橡树（oak的复数）
ours|我们的
ob|养地（Ocean Bottom）；实况无线电广播（Outside Broadcasting）；向船外（Out Board）
outlets|出路；排水口；销售点；批发商点（outlet的复数形式）
oscillating|[计] 振荡的
overcoil|摆轮游丝的末圈
oophorectomy|[医]卵巢切除术
overlord|大君主, 最高君主, 霸主
opinionative|固执己见的, 武断的
overproof|酒精含量超标的
oxygenerator|制氧机
oilhole|油孔
orthodromic|[生理](神经纤维等)顺行的, 顺向传导的
outgun|在武器上超过
oligocarpous|[植]几乎没有果实的,果实不多的
ordinant|命令的,指示的,规定的
orchectomy|[医]睾丸切除术
overrefined|对…作过分的精炼( overrefine的过去式和过去分词 ); 区分过于琐细
ophthalmitis|[医] 眼炎
ovoflavin|[生化]核黄素
outhit|在击球技术上胜过
ooplasm|蛋细胞质, 卵浆
outvied|在竞争中胜过
osmometric|osmometer的变形
orchiopexy|[医] 睾丸固定术
overtakes|追上, 赶上, 超过( overtake的第三人称单数 ); （不愉快的事情）突然发生; 突然降临; （在数量或重要性方面）大于
omnivore|不偏食的人, 杂食动物
ovations|热烈欢迎( ovation的复数形式 )
ooporphyrin|蛋壳色素, 蛋壳卟啉
overexposed|使感光过度( overexpose的过去式和过去分词 )
oka|奥卡（土耳其及其周边国家的重量单位）；奥卡河（俄罗斯欧洲部分中部河流）
outfoxing|<非正>智胜, 以计谋胜过, 比…更狡猾( outfox的现在分词 )
overstore|商品过剩
overbooking|(overbook 的现在分词) vt. 使过量预订；超额订出
orrhotherapy|[医] 血清疗法
ogams|(ogam 的复数) (=ogham) n.欧甘文字(古爱尔兰人用的一种文字,共20个字母), 欧甘碑铭
oxidase|[化] 氧化酶
oversleeve|袖套
overcheck|[纺]套格子花纹
ozonizes|以臭氧处理, 使含臭氧, 变成臭氧( ozonize的第三人称单数 )
overcalls|(overcall 的复数) vt. (桥牌中)争叫
osculate|接吻, 接触, 与...有共同特性
overthrew|overthrow的过去式
oxycephalic|[医] 尖头的
oscheoplasty|[医] 阴囊成形术
oviparous|卵生的
overraking|浪过艏部（海浪越过船的艏部）
overdoer|overdo的变形
osteoblastic|[医] 成骨细胞的
octine|[机] 辛炔
outbound|开往国外的
ozoniferous|含臭氧的, 产生臭氧的
offenses|进攻( offense的复数形式 ); （球队的）前锋; 进攻方法; 攻势
overmodest|过分谦虚的, 过分羞怯的
outsizes|(outsize 的第三人称 -s形式) a. 特大的
ondograph|[电] 频率图
osseofibrous|[医] 骨[与]纤维组织的
outbidder|outbid的变形
oxides|氧化物( oxide的复数形式 )
onychosis|[医] 甲病
overvaluing|对…估价过高( overvalue的现在分词 ); 对…看得过重
obligately|obligate（使负有义务）的变形
ozocerite|[矿]地蜡, 石蜡
orcharding|果树栽培
octosyllabic|八音节的
oratorial|演说的, 雄辩的
onflow|奔流, 洪流
obsolesce|成为过时, 成为废物
overspending|超支的, 花钱过多的
ochreate|[医]具托叶鞘的, 具鞘状菌托的
opines|认为, 以为( opine的第三人称单数 )
overwind|(把发条等)旋得太紧
overstayed|逗留过久, 停留超过（时间）( overstay的过去式和过去分词 )
obsessions|使人痴迷的人（或物）( obsession的复数形式 ); 着魔; 困扰
obadiah|<<俄巴底亚书>>(<<圣经>>中的一卷)
oligopsychia|[医] 精神薄弱
overmixing|过度混合
overlarge|过大的, 超大的
omalgia|[医] 肩痛
omenta|omentum的复数
opiomaniac|有鸦片瘾者
obliquitous|倾斜的, 转弯抹角的
olericulture|蔬菜栽培, 蔬菜园艺
oldwench|[网络] 老爷爷
oedogonium|鞘藻属
osteopath|整骨医生
obligational|obligation（义务, 责任）的变形
orbicularis|[解]轮匝肌
ord|研究与开发处（Office for Research and Development）；运筹学部（Operational Research Division0；旋光色散谱, 旋光分散作用（Optical Rotatory Dispersion）
odorless|无嗅的, 没有气味的
omnibuses|<正>公共汽车( omnibus的复数形式 ); 文库; 选集; 汇编
oenomania|[医] 震颤谵妄, 间发性酒狂
optimizes|使最优化, 使尽可能有效( optimize的第三人称单数 )
oximetry|[医] 血氧定量法
orchitis|睾丸炎
oligophagy|寡食性
oxytylote|尖圆端骨针
onychophora|有爪动物门
osages|（美）奥色治人的；奥塞奇人的
outpaces|超过…速度, 赶过( outpace的第三人称单数 )
overprinting|[计] 附加印刷
overeater|overeat的变形
osteostracan|[网络] 骨质疏松
oncography|[医] 器官体积描记法
orthotonus|[医]挺直性痉挛, 身体强直
overmasters|压倒, 征服, 制服( overmaster的第三人称单数 )
okolehao|夏威夷烧酒, 芋薯烧酒
oarlock|桨架
oneiromancy|解梦, 圆梦, 占梦
ocotea|[医] 樟桂属
oncologist|肿瘤学家；肿瘤医师
officiation|执行职务
orogen|造山带
obstetrics|产科学
overruler|overrule的变形
octanol|[化]辛醇
overacting|过火地表演（角色）( overact的现在分词 )
observingly|注意地
owleries|猫头鹰栖息地
outsight|对外界事物的观察
overwrote|overwrite的过去式
overabounds|过量存在, 过于富足（overabound的第三人称单数形式）
orpharion|[音]奥法里昂琴
overlight|使受强光照明, 用强光给…照明
overarched|在…上方成拱形( overarch的过去式和过去分词 )
oquassa|[鱼]蓝背红点鲑(产于美国缅因州西部奥夸萨湖)
oligarchical|寡头政治的, 主张寡头政治的
obligable|使负有义务; 必要的; 有义务的; 强迫
ovulation|[医] 排卵
oxygeusia|[医] 味觉锐敏
obconic|[植](果实等)倒圆锥形的
outbid|出高于...的价钱
ochroleucous|【生物学】淡赭石色的
outpushing|[网络] 外推
overturnable|overturn的变形
outsideness|在外，在局外，不熟悉
orbiter|轨道飞行器, 人造卫星
offsprings|(offspring 的复数) n. 子孙, 后代, 产物
oestrum|牛虻, 强烈的欲望, 狂热, 机能亢进, (动物的)动情, 动情期
opalesce|发出乳白色光
overturned|（使）翻倒( overturn的过去式和过去分词 ); 使垮台, 推翻; 撤销（判决等）
overglazes|釉彩上面再涂一层釉( overglaze的名词复数 )
overpowered|压服( overpower的过去式和过去分词 ); 击败; （感情等）压倒; 使无法忍受
orolingual|口与舌的
ovism|卵源学说
orality|口头形态
ochlocratic|暴民政治的
orator|演说者, 演讲者, 雄辩家, 原告, 请愿人
overlordship|霸主地位, 霸权
overzeal|过分热忱
overstain|[医] 染色过度
outshoot|在射击效果上超过, 射出
orpheus|奥菲士(希腊神话人物)
oxygens|(oxygen 的复数) n. 氧
orthopnea|[医]端坐呼吸
oilbird|(=guacharo) n.(南美产的)大怪鸱
oxid|[化]氧化物
overpays|多付给（某人）钱, 给（某人）过高报酬( overpay的第三人称单数 )
ops|（美国）物价管制局（Office of Price Stabilization）；管道安全处（Office of Pipeline Safety）
overcooled|过冷却的
orrisroot|鸢尾草根
orthoaxis|[晶]正轴
overboil|[网络] 过度燃烧
opusculum|小品, 小曲
oversnow|雪上交通的
outguard|警戒哨
oestrogen|雌激素
overdelicate|过于纤弱的, 过于微妙的
orthopnoea|[医] 端坐呼吸
oarage|划桨, 划桨装置
obsoleted|(obsolete 的过去分词) a. 荒废的, 成废物的, 陈旧的, 老式的
occipitalis|[医] 枕肌
oktastylos|[建]八柱式建筑物
omental|[解]网膜的
odontic|[医] 牙的
outliers|(outlier 的复数) n. 露宿者
octyne|[化] 辛炔
obdurately|顽固地, 执拗地
openhearted|坦率的, 慈善的, 和善的, 直率的
orogenies|(orogeny 的复数) n. 造山运动, 造山作用
orchises|红门兰；兰花
overtask|使工作过度
osmolal|osmolality的变形
offshoots|枝条, 枝杈( offshoot的复数形式 )
ouija|占卜板
ossiform|骨形的, 顶端突起的
obtains|获得( obtain的第三人称单数 ); 买到; （规则、制度、习俗等）存在; 流行
outbuild|比...建得更多(或更好)
oubliette|地下密牢
overdrank|overdrink的过去式
opiliaceae|山柚子科
osphradium|嗅检器
osteogen|成骨质
odoriphore|[医] 生臭基, 生臭团
oxfordian|牛津阶
operoseness|operose的变形
orthros|(东正教的)晨祷
ossuaries|(ossuary 的复数) n. 藏骨堂, 骨灰瓮, 骨穴
orthotist|矫正器修配者
octroi|<法>货物入市税, 入市税征收处
ossification|成骨, 变骨, 骨化, (思想的)僵化
obsidians|(obsidian 的复数) n. 黑曜石
ocular|眼睛的, 用眼的, 凭视觉的, 目击的
ourari|[植]箭毒马鞍子,箭毒(箭毒马鞍子的毒素,南美印地安人用以浸制毒箭)
octamerous|(花的)八基数的, 分成八部分的
orthoscope|[医]水检眼镜(19世纪检查眼底的一种仪器, 现已废弃)
oxpecker|[鸟]黄嘴(或红嘴)牛椋鸟
orodiagnosis|[医] 血清诊断法
octuplicate|[经] 一式八份
obstructor|妨害者, 妨碍物, 阻碍者
outlasts|比…长久, 比…活得长( outlast的第三人称单数 )
oozy|潮湿的, 湿淋淋的, 渗出的
outnumbers|数量多于, 比…多( outnumber的第三人称单数 )
outworker|外勤工作人员
octagons|<几>八边形, 八角形( octagon的复数形式 )
oftener|经常, 常常；往往, 在许多场合
occipita|occiput的复数
olden|古时的, 从前的
overcritical|苛求的, 吹毛求疵的
olaf|奥拉夫（男子名）
oligonite|[化] 菱锰铁矿
outworks|(outwork 的复数) n. 户外工作, 外勤工作
oncosphere|[医] 六钩蚴, 钩球蚴
oculus|[医] 眼
orally|口头, 口语, 口述, 口, 用口发声, 口部
onopordon|[网络] 菊科大翅蓟属
oxyfluoride|氟氧化物
okays|同意, 认可( okay的第三人称单数 )
overregulate|过调节
ovariotubal|[医] 卵巢输卵管的
ojibwa|奥吉布瓦（印第安族之一）
overbridge|天桥, 旱桥
outagami|[网络] 荒原
ostreidae|牡蛎科
oxyiodide|氧碘化物
overrated|对（质量、能力等）估价过高( overrate的过去式和过去分词 )
odontotechny|[医] 牙科技术学, 牙科学
oncogenic|[医]瘤原性的,致瘤的
obligatory|义务的, 必须的, 强制性的
overexposing|使感光过度( overexpose的现在分词 )
overidentify|[网络] 重新认识
ophiolite|[地]蛇绿岩,蛇纹石
outman|(outmanned, outmanning)人数胜过, 在数量上超过
oppresses|使烦恼( oppress的第三人称单数 ); 压迫, 压制
olent|<古>有香味的,有气味的
oscillatoria|[医]颤藻属
overcalled|（桥牌）叫牌叫得高( overcall的过去式和过去分词 )
outages|（尤指电力的）断供期, 断供( outage的复数形式 )
operatically|歌剧[风格] 地
overvalued|对…估价过高( overvalue的过去式和过去分词 ); 对…看得过重
omophagic|omophagia的变形
outgrew|outgrow的过去式
ondometer|[无]波长计,频率计
octavius|奥克塔维厄斯(m.)
oystered|牡蛎, 蚝, 沉默者
obrien|[人名] 奥布赖恩
oophoroma|[医] 恶性卵巢瘤
offlet|放水管
oversharp|过于敏锐的, 轮廓过于清晰的
outdrop|[棒球] 界外
outfights|打败( outfight的第三人称单数 )
overtide|倍潮
oiltight|[机] 油密对
overanxiety|过虑,杞忧
oxidating|氧化
orthosis|[医] 整直法, 矫正法
overwinding|附加绕组
orthonectida|直泳目
oafishness|oafish的变形
outargue|在辩论中胜过,驳倒
oblateness|扁率, 扁球形, 扁圆形
ostraciidae|[网络] 箱鲀科；箱魨科；箱鮠科
operons|(operon 的复数) n.[生]操纵子
orad|向口,向口区
obverting|将…的正面转向, 将…换置( obvert的现在分词 )
orchioplasty|[医] 睾丸成形术
oceangoing|远洋航行的, 海上旅行的
oversized|过大的, 极大的
orphic|奥菲士的, 奥菲士教的, 神秘的
outyell|喊叫得比…响
outroaring|咆哮声高于, 吼叫得比…响( outroar的现在分词 )
oporto|(=Porto)波尔图(葡萄牙港市)
outpoint|得分多于..., 比...更能逆风航行
overdrove|overdrive的过去式
orcs|奥克斯（半兽人）
opilia|山柚子属
outsweeten|比…更甜
obturated|闭塞, 封闭( obturate的过去式和过去分词 )
osteolysis|骨质溶解
onomastic|专有名称的, 亲自签名的
overexert|用力过度,用力过猛
opodidymus|[医] 双面畸胎
oxygon|锐角三角形
overmanning|(overman 的现在分词) n. 工头, 师傅, 仲裁人
oxycoccus|酸果蔓属
oversway|支配, 控制
opportunists|<贬>机会主义者( opportunist的复数形式 )
overpricing|将…标价过高, 索价过高( overprice的现在分词 )
oda|[计] ODA标准, 办公文档结构标准
oligochrome|(装饰物等)只用少数颜色的
overdye|把...染得过深
osmograph|渗透压记录仪
oxygenating|以氧处理, 氧化( oxygenate的现在分词 )
oblate|献身于修会的俗人
outbloom|开花比....茂盛
outfront|adj. 坦白的; 直率的; 真诚的
offeree|[经] 被发价人
overseer|监督, 工头
ossa|[希神]奥萨山(希腊神话中巨人们妄图升天去进攻天上诸神, 把 Pelion 山叠于 Ossa 山之上, 借以攀登 Olimpus 山)
ominously|恶兆地, 不吉利地; 预示地
overlays|把一物置于…之上；覆盖；镶；遮掩（overlay的三单形式）
ostensible|表面的, 假装的, 看得出的
overinsure|给…超额保险
onyxis|[医]嵌甲
officialism|机关制度, 官僚主义, 文牍主义
ovicapsule|[医] 卵被膜
oversights|疏忽( oversight的复数形式 ); 忽略; 失察; 负责
otomassage|[医] 耳按摩
opercular|[植]有蒴盖的
onychotrophy|[医] 甲营养
overtones|暗示, 含意, 弦外之音; 暗示, 含义, 弦外之音( overtone的复数形式 )
outruns|跑得比…快( outrun的第三人称单数 ); 逃脱; 逃走; 超出
osiered|osier的变形
obliquity|倾斜, 精神错乱, 不坦率, 偏斜度
ozonolysis|[化]臭氧分解
ordeals|严峻的考验, 苦难的经历( ordeal的复数形式 )
orfe|[鱼]圆腹雅罗鱼(一种观赏鱼)
oilfield|油田
ooblast|成卵细胞
obviousness|显而易见；明显；显著性
optimums|最佳, 最适当的食物量, 最适条件, 最适度
obsesses|时刻困扰( obsess的第三人称单数 ); 缠住; 使痴迷; 使迷恋
obfuscation|困惑, 模糊
ozs|(oz 的复数) abbr. 盎司（ounce）
orthocresol|邻甲酚
overflying|飞跃( overfly的现在分词 )
ooidal|鲕粒的, 鲕石的
overacted|过火地表演（角色）( overact的过去式和过去分词 )
oolith|[地]鲕粒(指构成鲕粒岩的基本粒子)
overgenerous|（施与某物时）过于慷慨的, 过分大方的
otoneuralgia|[医] 耳神经痛
overtalk|讲话太多
outbraving|在勇气上超过( outbrave的现在分词 )
osmate|[化]锇酸盐
oviposition|产卵, 下子
outflown|在飞行速度上胜过( outfly的过去分词 )
outbred|outbreed的过去式和过去分词
obmutescence|死不吭声
otoneurology|[医] 耳神经学
ogress|食人女妖
ozonide|[化]臭氧化物
outshining|比…更出色, 更优异( outshine的现在分词 )
obloquy|辱骂, 毁谤, 耻辱
oculomotor|眼球运动的
ottar|花油, 玫瑰油
oppressed|受压制的, 受压迫的
osteogenic|[医] 成骨的
oppugns|责难( oppugn的第三人称单数 ); 反驳; 质疑; 抗击
obliterating|除去( obliterate的现在分词 ); 涂去; 擦掉; 彻底破坏或毁灭
observance|观察, 遵守, 仪式, 风俗习惯
osteography|[解]骨论
outring|比...更响, 响彻四方
outvoting|以票数胜过( outvote的现在分词 )
oversoul|上帝, 超灵
olivinite|橄榄岩
okras|黄秋葵, 秋葵荚( okra的名词复数 )
overweary|过度疲劳的,筋疲力尽的
ogygian|史前的, 太古时代的
orphanhood|孤儿的身份, 孤儿
ontically|ontic的变形
opposer|反对者
operon|[生]操纵子
orchichorea|[医] 睾丸颤搐
operameter|运转计, 运数计
ostension|明示, 示意
otocranial|[医] 耳颅的
othematoma|[医] 耳血肿
osteomalacic|[医]骨软化的
offerers|(offerer 的复数) [经] 发价人
octahydrate|八水氢氧化钡
outwall|外墙；外表
oophyte|[植](蕨、苔藓等的)有性世代
ostemia|[医] 骨充血
oscines|【鸟类】
oroanal|[动]口肛门的
oxazole|唑, 1,3-氧氮杂茂
oligochaete|& adj.寡毛纲( 环节) 动物( 的)
outcast|被逐出的, 被遗弃的, 无家可归的
oversees|监督, 监视( oversee的第三人称单数 )
overmaturity|[网络] 过度成熟
orthopterous|直翅类的
obscenities|淫秽( obscenity的名词复数 ); 猥亵; 下流; 淫秽的词语或行为
ostertagia|[医] 胃线虫属
opulent|富裕的, 豪华的, 奢侈的, 丰富的, 大量的
ojibway|美国印地安族之一
oxyesthesia|感觉锐敏
ochrea|=ocrea [变体]
osmolality|[机] 同渗重量莫耳浓度
octaploid|[生]n.& adj.八倍体( 的)
overflight|飞越上空
ossia|[音]或,或者
orchestic|舞蹈的
oxtongue|牛舌, 牛舌草
offenceless|不冒犯人的, 无力进攻的
outstaying|逗留太久（而不受欢迎等）( outstay的现在分词 ); （客人）呆得太久而不受欢迎
orderlies|看护人（orderly复数）
ophthalmite|眼球混合岩
omnifocal|双光镜片的
oculospinal|[医] 眼[与]脊髓的
obelize|指出...为谬误, 加疑问号
overfold|[地] n.倒转褶皱,倒转褶曲
oleostearate|[医] 油硬脂酸盐
oophorocele|[医] 卵巢突出
optime|<英>(旧时英国剑桥大学的)数学荣誉学位考试第二、三名
outputting|output的现在分词形式；出产；生产；输出
outpatients|(outpatient 的复数) n. 门诊病人
odontalgic|牙痛的, 患牙痛的
overweather|高于气象现象的,高于云层的,高于风暴的
obtected|有角质外壳的, 有皮壳的
oviger|携卵足
osteectomy|[医]骨切除术
ophidion|[医]鼬？
outdrive|驾车快于, 驾车技术胜过
olio|什锦菜, 混杂物, 杂烩
octopodes|octopus的复数
obelisks|方尖石塔, 短剑号, 疑问记号( obelisk的复数形式 )
overboot|胶皮套鞋,高腰套靴
opiate|鸦片制剂, 镇静剂
outstretches|伸出, 伸展( outstretch的第三人称单数 )
osseter|(居住在高加索奥塞梯地区的) 奥塞梯人 [亦作 Ossete, Ossetian]
overbias|过偏压
outcroppings|(outcropping 的复数)  出露地表; 矿苗
