world|世界
wma|美国威廉·莫里斯经纪公司（William Morris Agency）；世界医学协会（World Medical Association）；美国专精于野外急救的教育机构（Wilderness Medical Associates）；音频媒体（Window Media Audio）
westminster|威斯敏斯特
warned|已警告的
workflow|工作流程
wu|西联（Western Union）；工作单位（Work Unit）；武汉航空公司
whore|娼妓
webcast|网路广播；网络广播；网络直播
wiley|威利（姓氏）
wagner|[电] 瓦格纳接地法
wishing|期盼着, 希望；愿望
wiggery|[集合词]假发
wadder|填充物（wad的变体）
woolliness|棉性, 羊毛性
wantonly|嬉闹地；放纵地；繁茂地
watchmakers|(watchmaker 的复数) n. 钟表匠
whiteness|白, 苍白, 洁白
whitens|（使某物）变白或更白( whiten的第三人称单数 )
woodsmen|护林者, 伐木者( woodsman的名词复数 )
wept|weep的过去式和过去分词
whiffing|些微的气味、空气或烟( whiff的现在分词 ); （呼吸时）吸入的少量的某物; <口>难闻的气味
whiting|白粉, 白垩
wonna|<英方> = will not
winnie|维尼（迪斯尼卡通角色名）；温妮（人名）
wallowed|<喻>沉迷( wallow的过去式和过去分词 ); 热中于; 在海浪中颠簸; 快活地在泥沼中打滚
wayland|韦兰（日耳曼和英国民间传说中的隐身铁匠）；卫兰德
wapiti|美洲赤鹿, 马鹿
wobblies|(wobbly 的复数) a. 摆动的, 不稳定的
williwaws|(williwaw 的第三人称 -s形式) 威利瓦飑
washery|洗涤处
weensy|微小的, 细小的
workbenches|工作台, 作业台( workbench的复数形式 )
woolgrower|牧羊业者
wrested|（用力）拧( wrest的过去式和过去分词 ); <文>费力取得; （从…）攫取; （ 从… ） 强行取去…
winsome|引人注目的, 迷人的, 可爱的
wistfulness|惆怅; 渴望; 思念
wonting|使习惯于( wont的现在分词 ); 习惯, 惯常
watermanship|水上职业, 划船技术, 水性
wriggled|扭动, 蠕动, 蜿蜒行进( wriggle的过去式和过去分词 ); （使身体某一部位）扭动; 耍滑不做, 逃避（应做的事等）
wyte|[主苏格兰英语] ＝wite
woodwinds|木管乐器( woodwind的复数形式 )
waspy|似黄蜂的
washland|泛滥地,河漫滩
whirly|回旋的, 旋转的
webwork|网络系统
windbag|空话连篇的人, 风囊
whipt|vbl.whip的过去式及过去分词
wedgelike|楔形的
wertherism|少年维特式的性格, 多愁善感
widowhood|寡妇身分, 守寡
warison|报酬；奖赏; 呐喊, 冲锋的信号声
wastes|废物, 废料
weaving|[机] 织动
whets|（在石头上）磨（刀、斧等）( whet的第三人称单数 ); 引起, 刺激（食欲、欲望、兴趣等）
werewolves|（故事中）变成狼的人, 狼人( werewolf的名词复数 )
woodie|斑尾林鸽（等于wood pigeon）
widened|放宽, 加宽, （使）变宽( widen的过去式和过去分词 )
wedgewise|呈楔形地
waff|(作为信号的)挥动, 流浪汉, 没有价值的
waistcoated|waistcoat的变形
weening|(ween 的现在分词) vt. 料想, 以为
worshipped|☉对神的崇拜(或崇敬)；礼拜；礼拜仪式
waterproofer|防水层[布, 材料]
wentletrap|[动]梯螺
weatherhead|(Weatherhead)人名；(英)韦瑟黑德
witless|无才智的, 不机敏的, 愚蠢的, 糊涂的, 无知的
whinchats|(whinchat 的第三人称 -s形式) n.[鸟]野翁之类
weariest|weary（疲倦的）的最高级形式
wrongs|罪过( wrong的名词复数 ); 不义的行为; 不义行为; 犯罪
wherefore|为此, 因此
wrathy|盛怒的, 激怒的
wrings|绞( wring的第三人称单数 ); 握紧（尤指别人的手）; 把（湿衣服）拧干; 绞掉（水）
whiles|当……的时间；尽管
waterbuck|非洲大羚羊
wadna|<苏格兰> = would not
widows|寡妇, 遗孀( widow的名词复数 )
weatherworn|风雨侵蚀的
whirred|呼呼声( whirr的过去式和过去分词 )
wawa|瓦瓦（多哥省份名）
whitter|[人名] 惠特
waggishly|waggish（滑稽的, 诙谐的）的变形
wank|手淫
wiggler|摇摆的人, 蠕动的东西, 孑孓
whiffet|小狗, 无名小卒, 轻轻一吹
wicketwork|(=widework)房柱式采煤法
wheelless|无轮的
wali|[人名] 瓦利
watercart|卖水车, 洒水车
whalehead|[鸟]鲸头鹳
wobbler|摇摇晃晃的人, 思想动摇的人
wormholes|虫洞（wormhole 的复数形式）
wrangled|争吵, 争论, 口角( wrangle的过去式和过去分词 )
wir|War Information Report 战争信息报告; weekly intelligence review 每周情报评论; West Indian Regiment 西印度群岛军团; Weekly Intelligence Report <情报周报>
wintriness|寒冷, 冷淡
waking|醒着的
waggonage|<主英> = wagonage
wheeziness|气喘状
weans|使断奶( wean的第三人称单数 ); （从早年）了解; 经历过; （使）逐渐戒除恶习（或避免依赖…）
whalery|鲸鱼加工站, 鲸鱼加工船
worldlet|小世界
wensleydale|(英国 Yorkshire 产的)温斯利代干酪, 英国产的一种长毛羊
witchetty|grub [昆]木蠹蛾幼虫( 澳大利亚土著居民作食用)
wealthiness|wealthy的变形
whirs|呼呼作声地飞（或转）, 作呼呼声( whir的第三人称单数 ); 使呼呼地飞（或转）, 呼地一声把…带走
weepiness|[网络] 。iness
wheelchair|轮椅
waveoff|[空](信号或指令用语)禁止着陆,复飞
wagga|[亦作 w-]<澳俚>(把麻袋拆开后缝制而成的)麻袋毯子, 麻袋地毯, 麻袋床罩
whoosis|不知其名的或一时想不起名字的人或物
whistleable|可用口哨吹的,适合于用口哨吹的
willowing|(willow 的现在分词) n. 柳树, 柳木制品
wist|wit的过去式和过去分词
waterdog|na. 会游水的狗；熟习水性的人；【动】(美洲)大蝾螈；〈俚〉老练的水手
wheelbarrow|手推车, 独轮车
wallful|一墙面的量；墙面面积
washbasin|脸盆
wreaker|wreak的变形
webber|韦伯（姓氏）
whoredom|卖淫
wheres|地方, 场所（where的复数形式）
wrangle|争论, 口角
waught|<苏格兰> n.大口的吞饮
weatherology|气象学, 气象状态
wisplike|wisp的变形
whipcrack|抽响鞭
widders|威德斯
waxings|(waxing 的复数) [医] 上蜡, 蜡膜形成
weimaraner|[动](德国产)魏玛(猎)狗
welter|翻滚, 滚动, 沉溺, 浸湿, 起伏
widgeon|[鸟]野鸭,赤颈凫, 水凫
wrathless|没有怒气的, 不动怒的
woodenness|粗鲁的人
wicky|山月桂, 美国产的桂树(叶有粗长毛, 开粉红色小花)
welsbach|burner韦耳斯拔煤气喷嘴
wafture|飘荡[浮], 飘送
weanling|断奶婴儿
whitest|苍白的；白的（white的最高级）
whiggish|辉格党主义的
worktable|工作台
wuchereria|[医] 吴策线虫属
warmongers|战争贩子( warmonger的复数形式 )
worldlier|(worldly 的比较级) a. 世间的, 世俗的, 世上的
wielders|(wielder 的复数) n. 行使者
wellhole|井道; 井底水仓; 垂直大炮眼; 井筒
windbound|因逆风不能航行的
wettish|有点湿的, 潮湿的, 有湿气的
whereat|在那里, 为何
wirephotos|有线传真( wirephoto的名词复数 )
wight|人类,人
whiteheart|白色尖果樱桃
wyke|(Wyke)人名；(英、瑞典)威克
wirehair|粗毛狐梗
wordsmanship|写作艺术(或技巧)
whitechapel|白教堂；白教堂血案（电视剧名）；怀特查佩尔（英国伦敦斯特普尼市区）
whooshing|（使）飞快移动( whoosh的现在分词 )
weighings|(weighing 的复数) [化] 称量
whereness|就地, 此地；位置
wides|大口径肠衣；广阔的土地；[板球]坏球（wide的复数）
wilton|威尔顿机织绒头地毯
wainable|<废>(土地等)可耕种的,可耕作的
whitewing|道路清洁工, 清道夫
waxing|[医] 上蜡, 蜡膜形成
wergild|[法] 赎罪金, 恤金, 被杀赔偿金
wifeliness|wifely的变形
whacky|怪诞的, 发狂的
wavelengths|<物>波长( wavelength的复数形式 ); 具有相同的/不同的思路; 合拍; 不合拍
worksheets|(worksheet 的复数) [计] 工作表
worshippers|崇拜者；礼拜者；爱慕者
wistful|渴望的, 想望的
weepers|(weeper 的复数) n. 哭泣者
waistcoats|马甲, 西装背心( waistcoat的复数形式 )
workingman|劳动者, 工人
weaseling|[俗]狡猾, 诡计, 模棱两可的话, 狡猾的, 诡诈的
worldward|& adj.面向世界(的),朝着世界(的)
whoosy|不知其名的或一时想不起名字的人或物
wanigan|贮物箱
wheatland|小麦地, 适宜种小麦的地
whiner|哀呜者, 哀诉者, 嘀咕者
wreaked|诉诸（武力）, 施行（暴力）, 发（脾气）( wreak的过去式和过去分词 )
whomever|（作动词或介词的宾语时, 有时候用来替代whoever）
wonderwork|奇迹, 惊人的东西, 奇异的事物
witney|威特尼厚绒毛毯
waferer|压片机, 切片机
widthwise|横着, 纬向地
wiseman|怀斯曼(姓氏)
wraf|（英国）皇家空军女子服务队（Woman's Royal Air Force）
wonted|习惯的, 平常的, 惯例的
whiskered|有须的
whinge|喋喋不休地抱怨; 哭诉
wallonian|& adj.瓦龙语(的),瓦龙人(的)
wop|(美国)意大利移民
wordy|罗唆的, 口头的, 多言的
wonderberry|[网络] 奇迹
warders|监狱看守( warder的复数形式 ); 法警; 狱吏; 杖
womenkind|妇女们, 女性
whitefish|白鲑, 白鲸
whinnying|发出轻微的嘶声( whinny的现在分词 )
warrantor|保证人
woolman|羊毛商
wienerwurst|维也纳香肠
wardroom|军官公共生活室, 全体军官
whoremonger|拉皮条者, 嫖客
wipes|抹布( wipe的名词复数 ); （湿）纸巾
weevilly|为象鼻虫蛀的
wenonah|威诺娜(亦作Wenona)(f.)
worriment|烦恼, 焦虑
wavenumber|[化] 波数
waterflood|洪水
wallaroo|岩大袋鼠
woundable|会受伤的, 易受伤的
whimbrel|杓鹬
witcher|[人名] 威彻
wasteland|荒地, 未开垦地
wirepuller|幕后之操纵者,背后牵线者
wakeful|觉醒的, 警觉的, 戒备的, 不能入睡的, 失眠的, 不眠的
wister|威斯特(姓氏)
weller|美国威乐（公司名）；韦勒（姓氏）
wei|魏（姓氏）；魏（朝代）；渭河
worthies|应得某事物( worthy的名词复数 ); 值得做某事; 可尊敬的; 有（某人或事物）的典型特征
witched|女巫, 巫婆( witch的过去式和过去分词 ); <贬>讨人嫌的丑女人
whinny|马嘶声
wyclifite|(英国神学家)威克里夫的信徒
whitewall|白胎壁轮胎
wilted|枯萎的；萎蔫的
wrangles|（尤指长时间的）激烈争吵, 口角, 吵嘴( wrangle的名词复数 )
whitecap|白帽队队员, 浪端的白泡沫
waxwork|蜡制品, 蜡像
whistly|似口哨(或哨子、汽笛)声的,似哨子(或汽笛)的
winers|(winer 的复数) n. 维纳（姓氏）
workableness|可行; 可使用
whelping|下崽( whelp的现在分词 )
warehoused|仓库；货栈；大商店
wots|(wot 的复数) vbl.wit的第1、3人称单数现在式
wraparounds|面罩型太阳眼镜
wristdrop|[医](因铅毒而生的)腕垂症,手垂症
woodnotes|(woodnote 的第三人称 -s形式) n. 林中鸟叫声
woodland|林区, 林地
wicket|小门, 腰门, 售票窗
waggly|摇摇晃晃的
winnow|簸, 扬(谷), 吹掉, 把挑出来, 精选
wolver|猎狼者
windlasses|卷扬机, 辘轳, 绞盘( windlass的复数形式 ); 用绞盘吊起
wany|不等径的；缺棱的；不齐的（等于waney）
woodwardia|[医] 狗脊蕨属
wronger|不确实的( wrong的比较级 ); 不道德的; 出错; 不合要求的
womanist|<美>妇女权利支持者
whitehead|怀特黑德(①姓氏 ②Alfred North, 1861-1947, 1924年移居美国的英国哲学家、数学家)
winkelman|[人名] 温克尔曼; [地名] [美国] 温克尔曼
woodcarver|木雕艺人,木雕家
wanderers|游荡、漫游的人, 各处走动的动物( wanderer的复数形式 )
wineglassful|一酒杯的量
wolfhound|猎狼狗
wending|行( wend的现在分词 ); 走; 往; 回（家）
withes|藤条, 细枝( withe的名词复数 )
wringers|(wringer 的复数) n. 绞扭的人, 绞拧机, 勒索者
welf|韦尔夫（姓氏）
weedicide|除草剂
wingback|[美橄]助攻边卫
waveringly|摇摆着, 摇动着, 犹豫着
wellnigh|adv 几乎
whirlicote|豪华型大马车
whaleboat|捕鲸小艇, 尖尾长艇
waxplant|[植]球兰
wiry|金属线制的, 瘦长结实的
whines|悲嗥声( whine的名词复数 ); 哀鸣者
wigglers|(wiggler 的复数) n. 摇摆的人, 蠕动的东西, 孑孓
wellsite|[矿]钡钙十字石,钙交沸石
wryness|扭曲（wry的名词）
weaker|[经] 下跌
weakhearted|胆怯的, 怯懦的; 好心的, 心软的
wheelchairs|轮椅( wheelchair的复数形式 )
willows|柳树( willow的复数形式 ); 柳木
writs|书面命令, 令状( writ的复数形式 )
wreak|发泄(怒火), 报仇
widthways|横向地,横着
wineless|无酒的
writhen|纠缠的, 扭转的
willfully|故意地；任性固执地
waler|新南威尔士(New South Wales)产的马, 澳洲马
willes|(wille 的复数)  [人名] 威尔
wapato|[地名] [美国] 沃帕托
withdrawment|<罕>= withdrawal
wannigan|贮物箱
wagoned|用运货马车运输货物（wagon的过去式与过去分词形式）
wahabi|（伊斯兰教）瓦哈比教派的教徒
woomera|澳洲土人用以发射矛箭或标枪的一种器具
whiteware|[总称]白色陶瓷(器),卫生陶瓷(器)(如抽水马桶、 餐具和绝缘陶瓷)
waviest|波状的, 有波纹的, 起伏的( wavy的最高级 )
weaners|(weaner 的复数)  断奶的幼畜, 断奶器
workaholic|工作迷, 醉心于工作的人
wauling|痛哭；哇哇叫
wristbands|(wristband 的复数) n. 袖口
woolded|卷缠
winnings|赢得的钱
womanfolk|妇女们, 女子们
wayang|哇扬戏(印度尼西亚爪哇的一种古典木偶戏)
windship|帆船
worming|[化] 龟裂
woolpack|卷毛云
whanging|鞭打, 重击, 重击声( whang的现在分词 )
wadsetter|抵押人, 典当人; 承受抵押者, 受押权人
washability|[化] 可洗性
waterfinder|探测水源的人
whispery|轻声的
woodbines|(Woodbine 的复数) n.忍冬属植物,<澳俚>英国人
wot|vbl.wit的第1、3人称单数现在式
witted|有...智能的, 有...才智的
wireways|[电] 线路
wreaths|花环( wreath的名词复数 ); 花圈; （烟、云等的）圈状物; 环状物
whisperously|whisperous的变形
waterily|水的；淡的；湿的；松软的；有雨意的 (watery的变形)
warlike|准备战斗的, 好战的, 尚武的, 勇于作战的, 军事的
wristband|袖口
wilkinson|威尔金森（姓氏）
weftwise|[纺]纬向地,横向地
wardmote|[英史](尤指伦敦等地由高级市政官主持的)区市民会议
warpath|征途, 敌对行动, 敌对情绪
whetters|磨刀人, 刺激物, 增强物( whetter的名词复数 )
wolfers|沃尔弗斯
wellaway|int. 呜呼, 哀哉
westwardly|向西的, 自西的
windflaw|(突如其来的)一阵狂风
watchfully|警惕地, 留心地
whiptails|(whiptail 的复数)  鞭尾症
wigless|无假发的, 不戴假发(套)的
worries|忧虑, 担心；烦恼
wayside|路旁
warrantless|warrant的变形；无保证的；未经授权的；无法辩解的；不正当的
wicks|蜡烛芯( wick的复数形式 ); （油灯的）灯芯; <英俚>不断烦扰某人; 激怒某人
wimbled|锥；钻孔器；从钻孔中清除碎石的工具
wanned|（使）变苍白, （使）呈病态( wan的过去式和过去分词 )
wahlenbergia|[医] 兰花参属(桔梗科)
womanlike|象女人的, 女子似的, 有女子气质的
waggoner|御夫（星）座
wolfish|狼似的, 贪得无厌的, 残暴的
whelk|酒刺, 峨螺
walkers|步行者（walker的复数）
womenswear|妇女服装
whitetip|白尾尖蜂鸟
wooler|毛用动物
wyandotte|怀恩多特鸡(美国卵肉兼用品种鸡)
withinside|在…之内
wadi|干河床, 河道, 干谷, 流经干谷的溪流
wifely|妻的, 像妻的, 适于妻子的
woos|（向女子）求爱, 求婚( woo的第三人称单数 ); （尤用于报纸）争取得到…的支持
whangs|皮鞭( whang的名词复数 )
wooziness|woozy的变形
waits|等候( wait的第三人称单数 ); 等待; （尤指长期地）希望; 盼望
warts|疣( wart的复数形式 ); 肉赘; <植>树瘤; 缺点
weathertight|防风雨的
wardship|监护
wormiest|有虫的, 虫蛀的；似虫的；卑躬屈膝的 (wormy的变形)
wrying|& vi. 歪曲, 扭曲（wry的现在分词形式）
wooing|（向女子）求爱, 求婚( woo的现在分词 ); （尤用于报纸）争取得到…的支持
waveless|无波的, 平静的
woks|锅, 炒菜锅( wok的复数形式 )
whereinto|进入什么地方, 进入那个地方
wainer|wain（马车，四轮运货马车）的变形
wildwoods|(wildwood 的复数) n. 天然林
whickers|马嘶声
whimpers|啜泣声, 呜咽声( whimper的名词复数 ); 啜泣者
wirebird|[鸟]圣赫勒拿鸻
welcher|骗人, 诈欺者；哪个
wheezily|气喘地
windowpane|窗玻璃
willy|阴茎；阳物；柳树（等于willow）
walloped|猛击, 击败( wallop的过去式和过去分词 ); 冲过去; 打滚; 颠簸
waucht|<苏格兰> n.大口的吞饮
wakamba|[医] 瓦坎巴(一种非洲箭毒)
watchable|值得注意的, 值得注视的
weevily|生满象甲的
warhorses|(warhorse 的复数) n. 军马, <口>老兵, 老练的人
wielding|手持着使用（武器、工具等）( wield的现在分词 ); 具有; 运用（权力）; 施加（影响）
windier|有风的( windy的比较级 ); 受风吹的; 废话连篇; 心情紧张的
woollies|羊毛制的( woolly的复数形式 ); 像羊毛的; <贬>（人或其思想）糊涂的; 不清楚的
wads|一卷( wad的名词复数 ); 一叠; 小块软物; <美><口>大量（尤指金钱）
